invoice_number,vendor_id,what_for,amount_usd,invoice_date,approval_path
INV-2026-02999,VEN071,IT support,10369.78,2025-05-02,manager_under_25k
INV-2026-01501,VEN003,marketing services,22024.6,2025-05-03,manager_under_25k
INV-2026-01543,VEN079,software licenses,18542.67,2025-05-03,manager_under_25k
INV-2026-01679,VEN033,audit and tax,33572.5,2025-05-03,cfo_over_25k
INV-2026-01685,VEN004,legal advisory,35317.63,2025-05-03,cfo_over_25k
INV-2026-02473,VEN015,fleet lease,30392.94,2025-05-03,cfo_over_25k
INV-2026-02845,VEN042,audit and tax,35024.98,2025-05-03,cfo_over_25k
INV-2026-00349,VEN008,telecoms,42788.36,2025-05-04,cfo_over_25k
INV-2026-00966,VEN054,marketing services,38859.4,2025-05-04,cfo_over_25k
INV-2026-01100,VEN004,legal advisory,56613.3,2025-05-04,cfo_over_25k
INV-2026-01257,VEN013,audit and tax,60163.71,2025-05-04,cfo_over_25k
INV-2026-01342,VEN024,marketing services,13428.52,2025-05-04,manager_under_25k
INV-2026-01454,VEN005,managed print,5955.75,2025-05-04,manager_under_25k
INV-2026-01878,VEN026,cloud hosting,21366.65,2025-05-04,manager_under_25k
INV-2026-02044,VEN028,strategy consulting,59233.67,2025-05-04,cfo_over_25k
INV-2026-02096,VEN004,legal advisory,30477.47,2025-05-04,cfo_over_25k
INV-2026-02117,VEN002,software licenses,19703.05,2025-05-04,manager_under_25k
INV-2026-02712,VEN003,marketing services,20346.58,2025-05-04,manager_under_25k
INV-2026-02806,VEN066,couriers,6052.71,2025-05-04,manager_under_25k
INV-2026-00203,VEN063,cloud hosting,28753.47,2025-05-05,cfo_over_25k
INV-2026-00256,VEN024,marketing services,21682.92,2025-05-05,manager_under_25k
INV-2026-00624,VEN060,legal advisory,32731.69,2025-05-05,cfo_over_25k
INV-2026-01814,VEN039,training services,17153.09,2025-05-05,manager_under_25k
INV-2026-02507,VEN054,marketing services,33681.92,2025-05-05,cfo_over_25k
INV-2026-02789,VEN063,cloud hosting,14828.67,2025-05-05,manager_under_25k
INV-2026-00262,VEN054,marketing services,29587.9,2025-05-06,cfo_over_25k
INV-2026-00446,VEN080,HR advisory,13228.98,2025-05-06,manager_under_25k
INV-2026-00752,VEN023,IT support,13445.84,2025-05-06,manager_under_25k
INV-2026-00818,VEN027,corporate travel,19233.17,2025-05-06,manager_under_25k
INV-2026-01019,VEN006,strategy consulting,79249.9,2025-05-06,cfo_over_25k
INV-2026-01274,VEN011,market research,7732.85,2025-05-06,manager_under_25k
INV-2026-01559,VEN018,recruitment,28731.75,2025-05-06,cfo_over_25k
INV-2026-02568,VEN006,strategy consulting,44606.06,2025-05-06,cfo_over_25k
INV-2026-00180,VEN040,HR advisory,13294.78,2025-05-07,manager_under_25k
INV-2026-00358,VEN026,cloud hosting,36679.92,2025-05-07,cfo_over_25k
INV-2026-00703,VEN010,cloud hosting,32664.17,2025-05-07,cfo_over_25k
INV-2026-00951,VEN078,legal advisory,18820.73,2025-05-07,manager_under_25k
INV-2026-02049,VEN016,utilities,29604.29,2025-05-07,cfo_over_25k
INV-2026-00292,VEN054,marketing services,29047.21,2025-05-08,cfo_over_25k
INV-2026-00744,VEN080,HR advisory,10836.72,2025-05-08,manager_under_25k
INV-2026-01506,VEN006,strategy consulting,59893.16,2025-05-08,cfo_over_25k
INV-2026-01595,VEN006,strategy consulting,90686.82,2025-05-08,cfo_over_25k
INV-2026-01786,VEN023,IT support,23761.13,2025-05-08,manager_under_25k
INV-2026-02713,VEN010,cloud hosting,34899.08,2025-05-08,cfo_over_25k
INV-2026-00086,VEN067,insurance broking,13615.11,2025-05-09,manager_under_25k
INV-2026-00107,VEN006,strategy consulting,50484.75,2025-05-09,cfo_over_25k
INV-2026-00670,VEN043,utilities,22149.0,2025-05-09,manager_under_25k
INV-2026-01261,VEN068,industrial consumables,13413.32,2025-05-09,manager_under_25k
INV-2026-01374,VEN038,marketing services,28656.63,2025-05-09,cfo_over_25k
INV-2026-02039,VEN078,legal advisory,21074.28,2025-05-09,manager_under_25k
INV-2026-02589,VEN004,legal advisory,64526.97,2025-05-09,cfo_over_25k
INV-2026-02772,VEN030,cloud hosting,31988.07,2025-05-09,cfo_over_25k
INV-2026-02949,VEN060,legal advisory,39512.62,2025-05-09,cfo_over_25k
INV-2026-00051,VEN028,strategy consulting,49325.36,2025-05-10,manager_under_25k
INV-2026-00057,VEN076,utilities,29080.4,2025-05-10,cfo_over_25k
INV-2026-00614,VEN063,cloud hosting,13426.22,2025-05-10,manager_under_25k
INV-2026-00679,VEN047,insurance broking,12980.53,2025-05-10,manager_under_25k
INV-2026-01034,VEN070,recruitment,12380.83,2025-05-10,manager_under_25k
INV-2026-01346,VEN015,fleet lease,32111.79,2025-05-10,cfo_over_25k
INV-2026-01368,VEN059,corporate travel,14386.69,2025-05-10,manager_under_25k
INV-2026-01570,VEN065,office supplies,10288.95,2025-05-10,manager_under_25k
INV-2026-01901,VEN004,legal advisory,31088.95,2025-05-10,cfo_over_25k
INV-2026-02278,VEN007,industrial consumables,21711.02,2025-05-10,manager_under_25k
INV-2026-02515,VEN045,software licenses,16359.51,2025-05-10,manager_under_25k
INV-2026-02998,VEN060,legal advisory,13820.64,2025-05-10,manager_under_25k
INV-2026-00124,VEN029,HR advisory,8643.76,2025-05-11,manager_under_25k
INV-2026-00136,VEN068,industrial consumables,14393.85,2025-05-11,manager_under_25k
INV-2026-00199,VEN057,marketing services,11486.22,2025-05-11,manager_under_25k
INV-2026-00406,VEN032,software licenses,22290.08,2025-05-11,manager_under_25k
INV-2026-00504,VEN043,utilities,16365.8,2025-05-11,manager_under_25k
INV-2026-00791,VEN068,industrial consumables,15477.01,2025-05-11,manager_under_25k
INV-2026-00816,VEN020,catering,11977.94,2025-05-11,manager_under_25k
INV-2026-01239,VEN001,office supplies,23363.04,2025-05-11,manager_under_25k
INV-2026-01303,VEN033,audit and tax,32238.55,2025-05-11,cfo_over_25k
INV-2026-02142,VEN013,audit and tax,43202.18,2025-05-11,cfo_over_25k
INV-2026-02234,VEN045,software licenses,15173.0,2025-05-11,manager_under_25k
INV-2026-02554,VEN067,insurance broking,11020.86,2025-05-11,manager_under_25k
INV-2026-00285,VEN040,HR advisory,18273.02,2025-05-12,manager_under_25k
INV-2026-00672,VEN015,fleet lease,57043.47,2025-05-12,cfo_over_25k
INV-2026-00767,VEN067,insurance broking,18393.1,2025-05-12,manager_under_25k
INV-2026-00851,VEN008,telecoms,24072.84,2025-05-12,manager_under_25k
INV-2026-00987,VEN013,audit and tax,57687.86,2025-05-12,cfo_over_25k
INV-2026-01328,VEN078,legal advisory,29844.04,2025-05-12,cfo_over_25k
INV-2026-01377,VEN043,utilities,20422.94,2025-05-12,manager_under_25k
INV-2026-01855,VEN007,industrial consumables,27530.23,2025-05-12,cfo_over_25k
INV-2026-02315,VEN013,audit and tax,42763.64,2025-05-12,cfo_over_25k
INV-2026-02564,VEN040,HR advisory,8481.95,2025-05-12,manager_under_25k
INV-2026-02665,VEN013,audit and tax,59281.35,2025-05-12,cfo_over_25k
INV-2026-02769,VEN060,legal advisory,34870.45,2025-05-12,cfo_over_25k
INV-2026-00305,VEN011,market research,18630.68,2025-05-13,manager_under_25k
INV-2026-00489,VEN061,software licenses,15025.01,2025-05-13,manager_under_25k
INV-2026-00847,VEN046,legal advisory,49126.73,2025-05-13,cfo_over_25k
INV-2026-00976,VEN036,security services,9687.63,2025-05-13,manager_under_25k
INV-2026-01090,VEN004,legal advisory,34910.77,2025-05-13,cfo_over_25k
INV-2026-02265,VEN019,security services,18825.14,2025-05-13,manager_under_25k
INV-2026-02291,VEN038,marketing services,19604.82,2025-05-13,manager_under_25k
INV-2026-02310,VEN045,software licenses,29623.03,2025-05-13,cfo_over_25k
INV-2026-02353,VEN034,legal advisory,17810.96,2025-05-13,manager_under_25k
INV-2026-02356,VEN017,translation services,7940.68,2025-05-13,manager_under_25k
INV-2026-02681,VEN013,audit and tax,36763.86,2025-05-13,cfo_over_25k
INV-2026-02802,VEN032,software licenses,35495.03,2025-05-13,cfo_over_25k
INV-2026-00334,VEN032,software licenses,43834.81,2025-05-14,cfo_over_25k
INV-2026-00581,VEN035,couriers,14940.48,2025-05-14,manager_under_25k
INV-2026-00908,VEN071,IT support,8235.72,2025-05-14,manager_under_25k
INV-2026-00997,VEN022,legal advisory,25333.49,2025-05-14,cfo_over_25k
INV-2026-01322,VEN046,legal advisory,24544.15,2025-05-14,manager_under_25k
INV-2026-01673,VEN024,marketing services,15996.57,2025-05-14,manager_under_25k
INV-2026-01676,VEN011,market research,15154.53,2025-05-14,manager_under_25k
INV-2026-02378,VEN051,recruitment,22533.36,2025-05-14,manager_under_25k
INV-2026-02600,VEN004,legal advisory,57460.62,2025-05-14,cfo_over_25k
INV-2026-02754,VEN013,audit and tax,55816.18,2025-05-14,cfo_over_25k
INV-2026-02912,VEN016,utilities,56007.11,2025-05-14,cfo_over_25k
INV-2026-00238,VEN065,office supplies,11587.77,2025-05-15,manager_under_25k
INV-2026-00807,VEN029,HR advisory,16458.87,2025-05-15,manager_under_25k
INV-2026-01496,VEN047,insurance broking,18264.23,2025-05-15,manager_under_25k
INV-2026-02894,VEN012,insurance broking,33454.29,2025-05-15,cfo_over_25k
INV-2026-01191,VEN029,HR advisory,10413.68,2025-05-16,manager_under_25k
INV-2026-01209,VEN026,cloud hosting,14672.26,2025-05-16,manager_under_25k
INV-2026-01544,VEN015,fleet lease,19452.65,2025-05-16,manager_under_25k
INV-2026-02034,VEN016,utilities,57789.67,2025-05-16,cfo_over_25k
INV-2026-02603,VEN004,legal advisory,42278.59,2025-05-16,cfo_over_25k
INV-2026-02697,VEN070,recruitment,20100.71,2025-05-16,manager_under_25k
INV-2026-00678,VEN016,utilities,63977.98,2025-05-17,cfo_over_25k
INV-2026-00784,VEN018,recruitment,27009.78,2025-05-17,cfo_over_25k
INV-2026-00793,VEN016,utilities,62439.65,2025-05-17,cfo_over_25k
INV-2026-00854,VEN026,cloud hosting,29742.89,2025-05-17,cfo_over_25k
INV-2026-00959,VEN072,marketing services,17897.46,2025-05-17,manager_under_25k
INV-2026-01866,VEN020,catering,19799.73,2025-05-17,manager_under_25k
INV-2026-02089,VEN044,managed print,11075.88,2025-05-17,manager_under_25k
INV-2026-02843,VEN065,office supplies,9996.22,2025-05-17,manager_under_25k
INV-2026-00724,VEN030,cloud hosting,14551.6,2025-05-18,manager_under_25k
INV-2026-00850,VEN021,training services,10709.39,2025-05-18,manager_under_25k
INV-2026-00945,VEN013,audit and tax,53710.32,2025-05-18,cfo_over_25k
INV-2026-01265,VEN049,corporate travel,15146.39,2025-05-18,manager_under_25k
INV-2026-01277,VEN016,utilities,31004.3,2025-05-18,cfo_over_25k
INV-2026-01738,VEN003,marketing services,17569.53,2025-05-18,manager_under_25k
INV-2026-02701,VEN040,HR advisory,15430.09,2025-05-18,manager_under_25k
INV-2026-02853,VEN060,legal advisory,18320.35,2025-05-18,manager_under_25k
INV-2026-01278,VEN024,marketing services,13025.09,2025-05-19,manager_under_25k
INV-2026-01651,VEN076,utilities,23698.29,2025-05-19,manager_under_25k
INV-2026-01771,VEN010,cloud hosting,61953.53,2025-05-19,cfo_over_25k
INV-2026-02148,VEN038,marketing services,16612.98,2025-05-19,manager_under_25k
INV-2026-02493,VEN026,cloud hosting,24526.18,2025-05-19,manager_under_25k
INV-2026-02511,VEN061,software licenses,18634.1,2025-05-19,manager_under_25k
INV-2026-02601,VEN056,training services,10989.49,2025-05-19,manager_under_25k
INV-2026-00056,VEN004,legal advisory,27944.38,2025-05-20,cfo_over_25k
INV-2026-01661,VEN051,recruitment,25215.54,2025-05-20,cfo_over_25k
INV-2026-02502,VEN031,managed print,5990.81,2025-05-20,manager_under_25k
INV-2026-02862,VEN032,software licenses,37525.31,2025-05-20,cfo_over_25k
INV-2026-00111,VEN041,translation services,9417.82,2025-05-21,manager_under_25k
INV-2026-00825,VEN070,recruitment,17843.33,2025-05-21,manager_under_25k
INV-2026-01029,VEN060,legal advisory,36924.08,2025-05-21,cfo_over_25k
INV-2026-02946,VEN076,utilities,33356.94,2025-05-21,cfo_over_25k
INV-2026-00654,VEN015,fleet lease,57774.63,2025-05-22,cfo_over_25k
INV-2026-00836,VEN006,strategy consulting,85246.79,2025-05-22,cfo_over_25k
INV-2026-01129,VEN032,software licenses,57903.94,2025-05-22,cfo_over_25k
INV-2026-01159,VEN016,utilities,26319.76,2025-05-22,cfo_over_25k
INV-2026-01189,VEN023,IT support,19198.42,2025-05-22,manager_under_25k
INV-2026-01480,VEN059,corporate travel,22563.26,2025-05-22,manager_under_25k
INV-2026-01574,VEN013,audit and tax,37362.53,2025-05-22,cfo_over_25k
INV-2026-02305,VEN003,marketing services,27800.05,2025-05-22,cfo_over_25k
INV-2026-02385,VEN017,translation services,12577.64,2025-05-22,manager_under_25k
INV-2026-02417,VEN006,strategy consulting,108924.03,2025-05-22,cfo_over_25k
INV-2026-02785,VEN029,HR advisory,19425.49,2025-05-22,manager_under_25k
INV-2026-00748,VEN008,telecoms,35104.02,2025-05-23,cfo_over_25k
INV-2026-00954,VEN028,strategy consulting,25373.13,2025-05-23,cfo_over_25k
INV-2026-01068,VEN009,corporate travel,32318.73,2025-05-23,cfo_over_25k
INV-2026-01113,VEN016,utilities,43949.29,2025-05-23,cfo_over_25k
INV-2026-01316,VEN069,audit and tax,8831.11,2025-05-23,manager_under_25k
INV-2026-02070,VEN076,utilities,28733.25,2025-05-23,cfo_over_25k
INV-2026-02814,VEN013,audit and tax,45765.66,2025-05-23,cfo_over_25k
INV-2026-02899,VEN072,marketing services,22265.76,2025-05-23,manager_under_25k
INV-2026-00135,VEN078,legal advisory,26790.78,2025-05-24,cfo_over_25k
INV-2026-00197,VEN013,audit and tax,34107.99,2025-05-24,cfo_over_25k
INV-2026-00531,VEN005,managed print,11650.49,2025-05-24,manager_under_25k
INV-2026-00680,VEN028,strategy consulting,39282.35,2025-05-24,cfo_over_25k
INV-2026-00768,VEN035,couriers,18285.64,2025-05-24,manager_under_25k
INV-2026-01953,VEN075,training services,12096.15,2025-05-24,manager_under_25k
INV-2026-02811,VEN016,utilities,64652.09,2025-05-24,cfo_over_25k
INV-2026-00364,VEN006,strategy consulting,129254.77,2025-05-25,cfo_over_25k
INV-2026-00372,VEN033,audit and tax,29101.39,2025-05-25,cfo_over_25k
INV-2026-00735,VEN006,strategy consulting,56623.25,2025-05-25,cfo_over_25k
INV-2026-01000,VEN003,marketing services,41252.02,2025-05-25,cfo_over_25k
INV-2026-01351,VEN004,legal advisory,32088.91,2025-05-25,cfo_over_25k
INV-2026-01664,VEN060,legal advisory,29958.12,2025-05-25,cfo_over_25k
INV-2026-01770,VEN074,cleaning services,6761.96,2025-05-25,manager_under_25k
INV-2026-00083,VEN049,corporate travel,10315.54,2025-05-26,manager_under_25k
INV-2026-00391,VEN001,office supplies,13393.79,2025-05-26,manager_under_25k
INV-2026-00432,VEN050,industrial consumables,18052.83,2025-05-26,manager_under_25k
INV-2026-00757,VEN006,strategy consulting,71789.76,2025-05-26,cfo_over_25k
INV-2026-01490,VEN050,industrial consumables,7337.6,2025-05-26,manager_under_25k
INV-2026-01932,VEN064,managed print,7917.57,2025-05-26,manager_under_25k
INV-2026-02459,VEN052,IT support,21315.92,2025-05-26,manager_under_25k
INV-2026-02626,VEN019,security services,33564.85,2025-05-26,cfo_over_25k
INV-2026-00263,VEN059,corporate travel,14676.84,2025-05-27,manager_under_25k
INV-2026-01124,VEN013,audit and tax,34833.35,2025-05-27,cfo_over_25k
INV-2026-01982,VEN020,catering,23373.21,2025-05-27,manager_under_25k
INV-2026-02447,VEN003,marketing services,49940.26,2025-05-27,cfo_over_25k
INV-2026-00388,VEN060,legal advisory,27042.18,2025-05-28,manager_under_25k
INV-2026-01588,VEN020,catering,12209.6,2025-05-28,manager_under_25k
INV-2026-01905,VEN016,utilities,45666.41,2025-05-28,cfo_over_25k
INV-2026-02223,VEN072,marketing services,25419.91,2025-05-28,cfo_over_25k
INV-2026-02363,VEN018,recruitment,45708.67,2025-05-28,cfo_over_25k
INV-2026-02496,VEN015,fleet lease,59268.02,2025-05-28,cfo_over_25k
INV-2026-02926,VEN047,insurance broking,19630.65,2025-05-28,manager_under_25k
INV-2026-00146,VEN056,training services,13829.97,2025-05-29,manager_under_25k
INV-2026-00237,VEN018,recruitment,34666.02,2025-05-29,cfo_over_25k
INV-2026-01018,VEN044,managed print,12012.78,2025-05-29,manager_under_25k
INV-2026-01199,VEN010,cloud hosting,37958.38,2025-05-29,cfo_over_25k
INV-2026-01478,VEN034,legal advisory,30869.21,2025-05-29,cfo_over_25k
INV-2026-02483,VEN020,catering,21239.76,2025-05-29,manager_under_25k
INV-2026-02651,VEN060,legal advisory,23863.49,2025-05-29,manager_under_25k
INV-2026-00215,VEN002,software licenses,20624.41,2025-05-30,manager_under_25k
INV-2026-01022,VEN062,HR advisory,13933.07,2025-05-30,manager_under_25k
INV-2026-01232,VEN003,marketing services,27786.62,2025-05-30,cfo_over_25k
INV-2026-01504,VEN068,industrial consumables,8729.45,2025-05-30,manager_under_25k
INV-2026-01753,VEN010,cloud hosting,68030.97,2025-05-30,cfo_over_25k
INV-2026-02099,VEN004,legal advisory,29386.02,2025-05-30,cfo_over_25k
INV-2026-02243,VEN034,legal advisory,27691.17,2025-05-30,cfo_over_25k
INV-2026-02382,VEN030,cloud hosting,18637.95,2025-05-30,manager_under_25k
INV-2026-02617,VEN076,utilities,26469.64,2025-05-30,cfo_over_25k
INV-2026-02664,VEN002,software licenses,23963.16,2025-05-30,manager_under_25k
INV-2026-02819,VEN043,utilities,30548.18,2025-05-30,cfo_over_25k
INV-2026-00103,VEN030,cloud hosting,23123.02,2025-05-31,manager_under_25k
INV-2026-00696,VEN076,utilities,29070.3,2025-05-31,cfo_over_25k
INV-2026-00843,VEN046,legal advisory,23701.99,2025-05-31,manager_under_25k
INV-2026-01706,VEN004,legal advisory,28434.92,2025-05-31,cfo_over_25k
INV-2026-02114,VEN010,cloud hosting,53911.65,2025-05-31,cfo_over_25k
INV-2026-02146,VEN014,cleaning services,16020.29,2025-05-31,manager_under_25k
INV-2026-02578,VEN013,audit and tax,29051.04,2025-05-31,cfo_over_25k
INV-2026-00532,VEN042,audit and tax,21598.74,2025-06-01,manager_under_25k
INV-2026-02178,VEN024,marketing services,33355.61,2025-06-01,cfo_over_25k
INV-2026-02246,VEN016,utilities,53257.78,2025-06-01,cfo_over_25k
INV-2026-02334,VEN036,security services,12616.32,2025-06-01,manager_under_25k
INV-2026-02641,VEN051,recruitment,18154.93,2025-06-01,manager_under_25k
INV-2026-01003,VEN010,cloud hosting,55772.11,2025-06-02,cfo_over_25k
INV-2026-01163,VEN020,catering,13351.31,2025-06-02,manager_under_25k
INV-2026-02229,VEN016,utilities,33460.09,2025-06-02,cfo_over_25k
INV-2026-02249,VEN069,audit and tax,26398.46,2025-06-02,cfo_over_25k
INV-2026-02700,VEN009,corporate travel,33202.09,2025-06-02,cfo_over_25k
INV-2026-02778,VEN015,fleet lease,30065.15,2025-06-02,cfo_over_25k
INV-2026-00061,VEN069,audit and tax,19354.9,2025-06-03,manager_under_25k
INV-2026-00225,VEN018,recruitment,29307.07,2025-06-03,cfo_over_25k
INV-2026-00422,VEN012,insurance broking,32059.23,2025-06-03,cfo_over_25k
INV-2026-00619,VEN030,cloud hosting,17120.76,2025-06-03,manager_under_25k
INV-2026-01317,VEN052,IT support,25343.61,2025-06-03,cfo_over_25k
INV-2026-01378,VEN020,catering,10314.71,2025-06-03,manager_under_25k
INV-2026-01531,VEN016,utilities,38619.59,2025-06-03,cfo_over_25k
INV-2026-01863,VEN012,insurance broking,18098.45,2025-06-03,manager_under_25k
INV-2026-01883,VEN005,managed print,10146.68,2025-06-03,manager_under_25k
INV-2026-01925,VEN027,corporate travel,13515.63,2025-06-03,manager_under_25k
INV-2026-01984,VEN021,training services,22907.18,2025-06-03,manager_under_25k
INV-2026-02469,VEN063,cloud hosting,14206.7,2025-06-03,manager_under_25k
INV-2026-02973,VEN034,legal advisory,18704.92,2025-06-03,manager_under_25k
INV-2026-00134,VEN076,utilities,27025.78,2025-06-04,cfo_over_25k
INV-2026-00798,VEN064,managed print,6431.05,2025-06-04,manager_under_25k
INV-2026-00940,VEN006,strategy consulting,43613.36,2025-06-04,cfo_over_25k
INV-2026-01829,VEN008,telecoms,41060.02,2025-06-04,cfo_over_25k
INV-2026-01907,VEN063,cloud hosting,22057.51,2025-06-04,manager_under_25k
INV-2026-01989,VEN018,recruitment,22114.99,2025-06-04,manager_under_25k
INV-2026-02084,VEN010,cloud hosting,63820.24,2025-06-04,cfo_over_25k
INV-2026-02693,VEN023,IT support,23681.44,2025-06-04,manager_under_25k
INV-2026-00002,VEN018,recruitment,44084.97,2025-06-05,cfo_over_25k
INV-2026-00023,VEN012,insurance broking,18183.59,2025-06-05,manager_under_25k
INV-2026-00783,VEN056,training services,14928.68,2025-06-05,manager_under_25k
INV-2026-01575,VEN056,training services,15898.95,2025-06-05,manager_under_25k
INV-2026-01632,VEN013,audit and tax,19499.03,2025-06-05,manager_under_25k
INV-2026-01845,VEN043,utilities,37682.22,2025-06-05,cfo_over_25k
INV-2026-02346,VEN019,security services,18080.68,2025-06-05,manager_under_25k
INV-2026-00394,VEN052,IT support,9474.53,2025-06-06,manager_under_25k
INV-2026-01056,VEN019,security services,29219.18,2025-06-06,cfo_over_25k
INV-2026-01213,VEN021,training services,11215.2,2025-06-06,manager_under_25k
INV-2026-01452,VEN018,recruitment,27980.45,2025-06-06,cfo_over_25k
INV-2026-01969,VEN016,utilities,65326.7,2025-06-06,cfo_over_25k
INV-2026-02045,VEN070,recruitment,12723.11,2025-06-06,manager_under_25k
INV-2026-02481,VEN010,cloud hosting,27192.16,2025-06-06,cfo_over_25k
INV-2026-00309,VEN015,fleet lease,36673.46,2025-06-07,cfo_over_25k
INV-2026-01122,VEN015,fleet lease,40656.66,2025-06-07,cfo_over_25k
INV-2026-01816,VEN046,legal advisory,36816.6,2025-06-07,cfo_over_25k
INV-2026-01871,VEN003,marketing services,42974.8,2025-06-07,cfo_over_25k
