po_number,supplier_id,item,units,total_usd,po_date
PO-DM-01099,SUP006,plastic pellets,1198,2312.14,2025-05-07
PO-DM-01347,SUP004,chip A,1116,12063.96,2025-05-07
PO-DM-01349,SUP035,precision shaft,647,63994.77,2025-05-07
PO-DM-01646,SUP011,steel plate,142,127315.78,2025-05-07
PO-DM-01726,SUP011,steel plate,553,426595.26,2025-05-07
PO-DM-02105,SUP038,PCB assembly type B,487,61600.63,2025-05-07
PO-DM-02156,SUP046,diecast housing,1291,80132.37,2025-05-07
PO-DM-02303,SUP021,stamped bracket,1281,27631.17,2025-05-07
PO-DM-02440,SUP006,plastic pellets,712,1053.76,2025-05-07
PO-DM-00840,SUP009,resistor pack,76,10.64,2025-05-08
PO-DM-01159,SUP007,stamped clip,446,2680.46,2025-05-08
PO-DM-01279,SUP017,polypropylene resin,336,510.72,2025-05-08
PO-DM-01329,SUP004,chip B,1218,15517.32,2025-05-08
PO-DM-01691,SUP013,forged steel arm,217,57116.57,2025-05-08
PO-DM-01694,SUP029,chip A,107,954.44,2025-05-08
PO-DM-00114,SUP001,steel coil,1262,1519422.76,2025-05-09
PO-DM-00236,SUP049,brass valve body,407,17794.04,2025-05-09
PO-DM-00360,SUP049,brass connector,534,13163.1,2025-05-09
PO-DM-00529,SUP006,plastic resin,1446,3354.72,2025-05-09
PO-DM-01564,SUP005,casting body,1475,321019.0,2025-05-09
PO-DM-02054,SUP048,steel plate,343,291886.14,2025-05-09
PO-DM-02134,SUP031,steel sheets,899,774434.56,2025-05-09
PO-DM-02142,SUP004,chip B,467,4422.49,2025-05-09
PO-DM-02255,SUP048,steel coil,106,144228.9,2025-05-09
PO-DM-00177,SUP046,diecast bracket,1480,95075.2,2025-05-10
PO-DM-01385,SUP015,memory chip 8GB,1458,27935.28,2025-05-10
PO-DM-01402,SUP022,plastic pellets,402,699.48,2025-05-10
PO-DM-01410,SUP026,gear set A,428,62941.68,2025-05-10
PO-DM-01878,SUP031,steel sheets,940,1125819.2,2025-05-10
PO-DM-02338,SUP046,diecast bracket,1260,64045.8,2025-05-10
PO-DM-00002,SUP035,precision shaft,1259,153837.21,2025-05-11
PO-DM-01197,SUP005,casting bracket,715,87036.95,2025-05-11
PO-DM-01759,SUP015,memory chip 8GB,971,20216.22,2025-05-11
PO-DM-00501,SUP031,steel coil,1162,1398559.96,2025-05-12
PO-DM-00570,SUP002,aluminum profile,659,74130.91,2025-05-12
PO-DM-00843,SUP041,composite tube,467,154446.24,2025-05-12
PO-DM-01019,SUP011,steel coil,810,938514.6,2025-05-12
PO-DM-01118,SUP021,stamped bracket,385,6433.35,2025-05-12
PO-DM-01317,SUP029,chip B,464,4955.52,2025-05-12
PO-DM-01437,SUP011,steel plate,1169,826564.83,2025-05-12
PO-DM-02336,SUP031,steel plate,157,151373.12,2025-05-12
PO-DM-00696,SUP030,plastic resin,383,743.02,2025-05-13
PO-DM-00715,SUP019,brass sheet,858,146932.5,2025-05-13
PO-DM-00946,SUP001,steel plate,1111,904798.4,2025-05-13
PO-DM-01023,SUP013,forged steel arm,556,135258.12,2025-05-13
PO-DM-02332,SUP017,ABS resin,283,515.06,2025-05-13
PO-DM-00629,SUP013,forged steel hub,416,128539.84,2025-05-14
PO-DM-00816,SUP035,precision shaft,260,31288.4,2025-05-14
PO-DM-00947,SUP037,plastic resin,1309,2094.4,2025-05-14
PO-DM-01150,SUP005,casting bracket,1235,142284.35,2025-05-14
PO-DM-01285,SUP004,chip C,527,11198.75,2025-05-14
PO-DM-01471,SUP018,casting bracket,914,123645.92,2025-05-14
PO-DM-01603,SUP049,brass connector,938,12175.24,2025-05-14
PO-DM-00392,SUP006,plastic pellets,1074,1224.36,2025-05-15
PO-DM-00419,SUP030,plastic resin,1145,2622.05,2025-05-15
PO-DM-00726,SUP004,chip C,1444,27349.36,2025-05-15
PO-DM-00770,SUP016,bearing 6206,1027,17838.99,2025-05-15
PO-DM-01070,SUP020,compression spring 25mm,1269,1408.59,2025-05-15
PO-DM-01176,SUP007,stamped clip,408,2815.2,2025-05-15
PO-DM-01300,SUP017,polypropylene resin,407,785.51,2025-05-15
PO-DM-01450,SUP002,aluminum profile,90,8307.9,2025-05-15
PO-DM-01817,SUP010,aluminum casting body,819,79090.83,2025-05-15
PO-DM-02078,SUP001,steel coil,1026,1245420.36,2025-05-15
PO-DM-02290,SUP046,diecast housing,1303,101021.59,2025-05-15
PO-DM-02405,SUP017,polypropylene resin,1497,2964.06,2025-05-15
PO-DM-00071,SUP016,bearing 6204,681,7933.65,2025-05-16
PO-DM-00291,SUP049,brass connector,1083,24194.22,2025-05-16
PO-DM-00470,SUP001,steel coil,1429,1746580.96,2025-05-16
PO-DM-00851,SUP002,aluminum profile,1102,74010.32,2025-05-16
PO-DM-00901,SUP005,casting body,1040,223735.2,2025-05-16
PO-DM-00915,SUP026,gear set A,325,46458.75,2025-05-16
PO-DM-01052,SUP040,aluminum profile,1313,99722.35,2025-05-16
PO-DM-01546,SUP029,chip B,1341,14925.33,2025-05-16
PO-DM-02242,SUP020,compression spring 25mm,653,398.33,2025-05-16
PO-DM-02397,SUP002,aluminum profile,106,10165.4,2025-05-16
PO-DM-00272,SUP007,stamped clip,197,1808.46,2025-05-17
PO-DM-00568,SUP040,aluminum sheet,1160,169139.6,2025-05-17
PO-DM-01025,SUP019,copper bar,711,167006.79,2025-05-17
PO-DM-01029,SUP026,gear set B,547,60804.52,2025-05-17
PO-DM-01357,SUP044,forged hub,380,60062.8,2025-05-17
PO-DM-00007,SUP002,aluminum sheet,1286,130091.76,2025-05-18
PO-DM-00335,SUP001,steel coil,125,135256.25,2025-05-18
PO-DM-00709,SUP005,casting bracket,806,83066.36,2025-05-18
PO-DM-00927,SUP044,forged shaft,1119,161908.11,2025-05-18
PO-DM-01086,SUP040,aluminum sheet,1326,121554.42,2025-05-18
PO-DM-01136,SUP034,machined component A,825,42908.25,2025-05-18
PO-DM-01181,SUP013,forged steel hub,58,12166.08,2025-05-18
PO-DM-01519,SUP023,composite panel,583,145971.54,2025-05-18
PO-DM-01633,SUP001,steel plate,764,555450.92,2025-05-18
PO-DM-01807,SUP031,steel coil,1381,1699679.56,2025-05-18
PO-DM-01926,SUP027,galvanized steel sheet,1458,1588636.8,2025-05-18
PO-DM-02190,SUP050,plastic resin,581,1429.26,2025-05-18
PO-DM-00095,SUP031,steel sheets,457,412017.49,2025-05-19
PO-DM-00774,SUP021,stamped clip,392,2555.84,2025-05-19
PO-DM-00796,SUP011,steel plate,287,211806.0,2025-05-19
PO-DM-01182,SUP031,steel plate,228,189996.96,2025-05-19
PO-DM-02424,SUP009,capacitor pack,745,193.7,2025-05-19
PO-DM-00456,SUP027,powder-coated steel coil,1274,1862906.5,2025-05-20
PO-DM-00587,SUP003,plastic pellets,753,1430.7,2025-05-20
PO-DM-00828,SUP048,steel sheets,1071,911977.92,2025-05-20
PO-DM-01537,SUP011,steel plate,1215,913351.95,2025-05-20
PO-DM-00208,SUP013,forged steel hub,1209,360777.69,2025-05-21
PO-DM-00703,SUP009,resistor pack,659,72.49,2025-05-21
PO-DM-00740,SUP035,precision shaft,633,52380.75,2025-05-21
PO-DM-01147,SUP026,gear set B,728,167185.2,2025-05-21
PO-DM-01138,SUP004,chip A,416,4193.28,2025-05-22
PO-DM-01494,SUP027,powder-coated steel coil,978,1439606.22,2025-05-22
PO-DM-01988,SUP011,steel sheets,422,364738.82,2025-05-22
PO-DM-02477,SUP019,brass sheet,712,69064.0,2025-05-22
PO-DM-00151,SUP014,iron casting body,1231,258953.16,2025-05-23
PO-DM-00763,SUP003,plastic pellets,1135,1554.95,2025-05-23
PO-DM-01314,SUP044,forged hub,1014,216600.54,2025-05-23
PO-DM-01485,SUP001,steel plate,1406,1433529.48,2025-05-23
PO-DM-01524,SUP029,chip B,158,1570.52,2025-05-23
PO-DM-01641,SUP024,aluminum bracket,1317,75187.53,2025-05-23
PO-DM-02423,SUP013,forged steel arm,920,180154.4,2025-05-23
PO-DM-00015,SUP031,steel sheets,1452,1399002.0,2025-05-24
PO-DM-00198,SUP004,chip B,109,1006.07,2025-05-24
PO-DM-00365,SUP003,plastic resin,314,602.88,2025-05-24
PO-DM-00676,SUP023,composite panel,1054,242282.98,2025-05-24
PO-DM-01145,SUP040,aluminum profile,150,10663.5,2025-05-24
PO-DM-01168,SUP044,forged shaft,897,188917.17,2025-05-24
PO-DM-01335,SUP038,PCB assembly type A,1320,221865.6,2025-05-24
PO-DM-01367,SUP041,composite tube,781,155028.5,2025-05-24
PO-DM-02065,SUP013,forged steel hub,483,108220.98,2025-05-24
PO-DM-02268,SUP002,aluminum profile,1085,93993.55,2025-05-24
PO-DM-00346,SUP029,chip B,612,7466.4,2025-05-25
PO-DM-00466,SUP011,steel plate,345,352696.95,2025-05-25
PO-DM-00751,SUP010,aluminum casting body,1109,187986.59,2025-05-25
PO-DM-01257,SUP008,machined bracket,98,4686.36,2025-05-25
PO-DM-01389,SUP022,plastic resin,581,929.6,2025-05-25
PO-DM-01604,SUP031,steel plate,359,380899.0,2025-05-25
PO-DM-02094,SUP017,polypropylene resin,1321,2879.78,2025-05-25
PO-DM-02339,SUP011,steel plate,938,981429.4,2025-05-25
PO-DM-00155,SUP042,machined housing,675,81796.5,2025-05-26
PO-DM-00801,SUP038,PCB assembly type A,281,26203.25,2025-05-26
PO-DM-01263,SUP009,capacitor pack,833,183.26,2025-05-26
PO-DM-01465,SUP023,composite tube,1209,393311.88,2025-05-26
PO-DM-01513,SUP033,casting bracket,199,19237.33,2025-05-26
PO-DM-02060,SUP017,polypropylene resin,637,1006.46,2025-05-26
PO-DM-01102,SUP029,chip A,1076,8715.6,2025-05-27
PO-DM-01214,SUP049,brass valve body,311,25604.63,2025-05-27
PO-DM-01698,SUP029,chip C,305,3922.3,2025-05-27
PO-DM-02001,SUP048,steel coil,143,197355.73,2025-05-27
PO-DM-02467,SUP031,steel plate,989,823253.49,2025-05-27
PO-DM-00035,SUP013,forged steel arm,297,51888.87,2025-05-28
PO-DM-00445,SUP026,gear set A,917,104950.65,2025-05-28
PO-DM-00872,SUP003,plastic resin,1363,3080.38,2025-05-28
PO-DM-01467,SUP035,precision sleeve,941,74075.52,2025-05-28
PO-DM-01693,SUP045,bearing 6204,386,4357.94,2025-05-28
PO-DM-00016,SUP007,stamped bracket,696,13655.52,2025-05-29
PO-DM-00150,SUP048,steel coil,1028,1029377.52,2025-05-29
PO-DM-00294,SUP031,steel sheets,1342,1444743.52,2025-05-29
PO-DM-00357,SUP050,plastic pellets,1417,1997.97,2025-05-29
PO-DM-01683,SUP024,aluminum bracket,183,10872.03,2025-05-29
PO-DM-01730,SUP048,steel plate,938,986175.68,2025-05-29
PO-DM-01806,SUP011,steel coil,485,560878.25,2025-05-29
PO-DM-00037,SUP001,steel plate,1342,971004.1,2025-05-30
PO-DM-00327,SUP031,steel sheets,1122,1336447.86,2025-05-30
PO-DM-00330,SUP049,brass valve body,83,4695.31,2025-05-30
PO-DM-00719,SUP004,chip C,578,8785.6,2025-05-30
PO-DM-01045,SUP029,chip A,247,2245.23,2025-05-30
PO-DM-01162,SUP006,plastic resin,1463,2545.62,2025-05-30
PO-DM-01386,SUP003,plastic pellets,1059,2107.41,2025-05-30
PO-DM-02465,SUP001,steel coil,417,424364.22,2025-05-30
PO-DM-00009,SUP041,composite tube,1232,269142.72,2025-05-31
PO-DM-00030,SUP043,molded part A,225,2547.0,2025-05-31
PO-DM-00078,SUP007,stamped bracket,866,16107.6,2025-05-31
PO-DM-01013,SUP009,resistor pack,895,89.5,2025-05-31
PO-DM-01769,SUP009,capacitor pack,646,167.96,2025-05-31
PO-DM-00596,SUP040,aluminum sheet,1471,133228.47,2025-06-01
PO-DM-00867,SUP043,molded part B,1374,21709.2,2025-06-01
PO-DM-01049,SUP008,machined housing,502,62519.08,2025-06-01
PO-DM-01200,SUP002,aluminum profile,717,66946.29,2025-06-01
PO-DM-01310,SUP004,chip A,1043,9449.58,2025-06-01
PO-DM-01538,SUP038,PCB assembly type B,711,153419.58,2025-06-01
PO-DM-01931,SUP031,steel plate,343,313625.48,2025-06-01
PO-DM-02301,SUP038,PCB assembly type B,925,180430.5,2025-06-01
PO-DM-00096,SUP007,stamped clip,1301,16652.8,2025-06-02
PO-DM-00697,SUP010,aluminum gear housing,584,158439.2,2025-06-02
PO-DM-01262,SUP036,wireform handle,577,1015.52,2025-06-02
PO-DM-00045,SUP005,casting bracket,561,84828.81,2025-06-03
PO-DM-00157,SUP031,steel sheets,541,492759.03,2025-06-03
PO-DM-00484,SUP020,compression spring 25mm,1123,707.49,2025-06-03
PO-DM-00500,SUP044,forged shaft,605,58110.25,2025-06-03
PO-DM-00644,SUP026,gear set A,1355,219510.0,2025-06-03
PO-DM-00658,SUP013,forged steel hub,1242,315194.76,2025-06-03
PO-DM-00811,SUP021,stamped clip,1065,13802.4,2025-06-03
PO-DM-01692,SUP050,plastic resin,1462,2792.42,2025-06-03
PO-DM-02198,SUP031,steel plate,471,460633.29,2025-06-03
PO-DM-00278,SUP035,precision shaft,732,115590.12,2025-06-04
PO-DM-00286,SUP017,polypropylene resin,805,1674.4,2025-06-04
PO-DM-00351,SUP031,steel coil,811,932463.47,2025-06-04
PO-DM-00520,SUP016,bearing 6206,663,12451.14,2025-06-04
PO-DM-00689,SUP007,stamped bracket,1066,17024.02,2025-06-04
PO-DM-00907,SUP013,forged steel arm,798,177379.44,2025-06-04
PO-DM-00910,SUP001,steel sheets,950,862562.0,2025-06-04
PO-DM-01345,SUP002,aluminum sheet,416,42877.12,2025-06-04
PO-DM-01392,SUP001,steel coil,1134,1403359.02,2025-06-04
PO-DM-01399,SUP038,PCB assembly type A,904,113949.2,2025-06-04
PO-DM-01434,SUP004,chip C,1326,17184.96,2025-06-04
PO-DM-01459,SUP009,resistor pack,924,101.64,2025-06-04
PO-DM-01551,SUP022,plastic pellets,1214,1383.96,2025-06-04
PO-DM-02057,SUP001,steel coil,339,334101.45,2025-06-04
PO-DM-02066,SUP007,stamped bracket,1195,26851.65,2025-06-04
PO-DM-02069,SUP030,plastic resin,602,921.06,2025-06-04
PO-DM-00943,SUP016,bearing 6204,588,6009.36,2025-06-05
PO-DM-01050,SUP001,steel sheets,1392,1422610.08,2025-06-05
PO-DM-00053,SUP021,stamped bracket,166,4556.7,2025-06-06
PO-DM-00243,SUP031,steel coil,958,941781.06,2025-06-06
PO-DM-01553,SUP018,casting bracket,777,83791.68,2025-06-06
PO-DM-01847,SUP030,plastic pellets,864,1503.36,2025-06-06
PO-DM-02107,SUP004,chip A,191,1547.1,2025-06-06
PO-DM-02246,SUP050,plastic resin,934,1961.4,2025-06-06
PO-DM-02455,SUP011,steel plate,1039,941095.03,2025-06-06
PO-DM-00341,SUP031,steel coil,1113,1190932.26,2025-06-07
PO-DM-00511,SUP013,forged steel arm,554,132871.36,2025-06-07
PO-DM-00613,SUP021,stamped clip,917,10646.37,2025-06-07
PO-DM-00614,SUP029,chip C,1311,17737.83,2025-06-07
PO-DM-01078,SUP016,bearing 6206,353,4889.05,2025-06-07
PO-DM-02158,SUP044,forged hub,720,102362.4,2025-06-07
PO-DM-00251,SUP031,steel coil,187,185326.35,2025-06-08
PO-DM-00298,SUP031,steel sheets,1268,1392378.12,2025-06-08
PO-DM-00643,SUP015,memory chip 8GB,988,21538.4,2025-06-08
PO-DM-00711,SUP024,aluminum bracket,1476,93534.12,2025-06-08
PO-DM-00918,SUP001,steel plate,1405,1445070.6,2025-06-08
PO-DM-01079,SUP019,brass sheet,1172,147589.96,2025-06-08
PO-DM-01757,SUP019,copper bar,994,273300.3,2025-06-08
PO-DM-02036,SUP012,plastic pellets,292,414.64,2025-06-08
PO-DM-02333,SUP009,resistor pack,665,119.7,2025-06-08
PO-DM-01104,SUP007,stamped clip,854,9616.04,2025-06-09
PO-DM-01174,SUP032,M10 nut pack,114,50.16,2025-06-09
PO-DM-01874,SUP033,casting body,311,55927.13,2025-06-09
PO-DM-02086,SUP035,precision sleeve,1170,129554.1,2025-06-09
PO-DM-00172,SUP010,aluminum gear housing,1176,125373.36,2025-06-10
PO-DM-00418,SUP011,steel plate,171,181802.07,2025-06-10
PO-DM-00690,SUP007,stamped clip,393,4358.37,2025-06-10
PO-DM-01005,SUP011,steel coil,1036,1235792.6,2025-06-10
PO-DM-01378,SUP049,brass connector,1259,30341.9,2025-06-10
PO-DM-01649,SUP023,composite tube,344,74486.32,2025-06-10
PO-DM-01850,SUP044,forged shaft,892,167535.44,2025-06-10
PO-DM-02088,SUP004,chip B,1230,13308.6,2025-06-10
PO-DM-02233,SUP026,gear set B,786,107540.52,2025-06-10
PO-DM-00020,SUP014,iron casting body,333,66853.08,2025-06-11
PO-DM-00950,SUP006,plastic resin,1491,2206.68,2025-06-11
PO-DM-01475,SUP043,molded part B,794,11163.64,2025-06-11
PO-DM-02427,SUP027,galvanized steel sheet,93,127500.21,2025-06-11
PO-DM-00300,SUP031,steel plate,1453,1547415.94,2025-06-12
PO-DM-00581,SUP015,memory chip 8GB,204,3890.28,2025-06-12
PO-DM-00583,SUP017,ABS resin,720,1634.4,2025-06-12
PO-DM-00798,SUP012,plastic pellets,1323,1772.82,2025-06-12
PO-DM-00925,SUP001,steel plate,1080,1081026.0,2025-06-12
PO-DM-01193,SUP040,aluminum profile,1003,94352.21,2025-06-12
PO-DM-01766,SUP025,vac-formed housing,1358,53600.26,2025-06-12
PO-DM-01846,SUP008,machined bracket,75,2380.5,2025-06-12
PO-DM-01950,SUP041,composite panel,207,84826.53,2025-06-12
PO-DM-00249,SUP015,memory chip 8GB,866,15007.78,2025-06-13
PO-DM-00498,SUP041,composite tube,1208,453567.76,2025-06-13
PO-DM-00996,SUP035,precision shaft,391,46802.7,2025-06-13
PO-DM-01552,SUP045,bearing 6204,1095,13413.75,2025-06-13
PO-DM-01697,SUP038,PCB assembly type A,1278,181424.88,2025-06-13
PO-DM-01913,SUP007,stamped clip,610,7045.5,2025-06-13
PO-DM-02183,SUP001,steel plate,83,60405.74,2025-06-13
PO-DM-02076,SUP035,precision sleeve,315,31244.85,2025-06-14
PO-DM-02296,SUP002,aluminum profile,1338,157335.42,2025-06-14
PO-DM-00246,SUP023,composite tube,1085,326682.65,2025-06-15
PO-DM-01097,SUP013,forged steel arm,1091,301912.43,2025-06-15
PO-DM-01179,SUP035,precision sleeve,720,43221.6,2025-06-15
PO-DM-01412,SUP042,machined bracket,1084,50135.0,2025-06-15
PO-DM-01414,SUP048,steel sheets,1150,979248.0,2025-06-15
PO-DM-01594,SUP034,machined component B,1086,108458.82,2025-06-15
PO-DM-01648,SUP011,steel coil,236,236375.24,2025-06-15
PO-DM-01749,SUP041,composite panel,616,283926.72,2025-06-15
PO-DM-01941,SUP025,vac-formed housing,1179,28897.29,2025-06-15
PO-DM-01995,SUP003,plastic resin,445,1001.25,2025-06-15
PO-DM-02248,SUP039,casting bracket,915,107915.1,2025-06-15
PO-DM-00303,SUP005,casting body,367,53644.39,2025-06-16
PO-DM-00455,SUP015,memory chip 8GB,542,8482.3,2025-06-16
PO-DM-00723,SUP027,galvanized steel sheet,266,339168.62,2025-06-16
PO-DM-00794,SUP050,plastic pellets,590,896.8,2025-06-16
PO-DM-00978,SUP017,polypropylene resin,1229,2433.42,2025-06-16
PO-DM-01295,SUP004,chip A,1241,8885.56,2025-06-16
PO-DM-01492,SUP019,copper bar,731,261566.42,2025-06-16
PO-DM-02226,SUP041,composite panel,350,147549.5,2025-06-16
PO-DM-00072,SUP044,forged hub,1446,231244.32,2025-06-17
PO-DM-01016,SUP001,steel plate,95,73566.1,2025-06-17
PO-DM-01267,SUP029,chip A,954,9406.44,2025-06-17
PO-DM-01701,SUP001,steel plate,1332,1162489.68,2025-06-17
PO-DM-01980,SUP007,stamped clip,456,4464.24,2025-06-17
PO-DM-00786,SUP027,galvanized steel sheet,907,1253709.82,2025-06-18
PO-DM-01057,SUP012,plastic pellets,1488,2529.6,2025-06-18
PO-DM-01592,SUP037,plastic resin,1201,1741.45,2025-06-18
PO-DM-02126,SUP047,plastic resin,229,542.73,2025-06-18
PO-DM-02127,SUP002,aluminum profile,1312,152126.4,2025-06-18
PO-DM-00063,SUP047,plastic resin,325,559.0,2025-06-19
PO-DM-00276,SUP018,casting bracket,230,27731.1,2025-06-19
PO-DM-00787,SUP022,plastic resin,628,967.12,2025-06-19
PO-DM-01113,SUP047,plastic pellets,361,649.8,2025-06-19
PO-DM-01277,SUP031,steel coil,1475,1660186.25,2025-06-19
PO-DM-01479,SUP038,PCB assembly type A,916,93248.8,2025-06-19
PO-DM-01533,SUP003,plastic pellets,1259,2442.46,2025-06-19
PO-DM-02055,SUP031,steel coil,811,790189.74,2025-06-19
PO-DM-00043,SUP002,aluminum sheet,744,107173.2,2025-06-20
PO-DM-00220,SUP008,machined housing,1357,209832.91,2025-06-20
PO-DM-00386,SUP027,powder-coated steel coil,635,892435.35,2025-06-20
PO-DM-00692,SUP008,machined bracket,767,27773.07,2025-06-20
PO-DM-00922,SUP027,galvanized steel sheet,824,992244.32,2025-06-20
PO-DM-01406,SUP002,aluminum sheet,933,77812.2,2025-06-20
PO-DM-01430,SUP049,brass valve body,351,27356.94,2025-06-20
PO-DM-01802,SUP004,chip A,140,1212.4,2025-06-20
PO-DM-01974,SUP021,stamped clip,319,2194.72,2025-06-20
PO-DM-02099,SUP044,forged shaft,273,27616.68,2025-06-20
PO-DM-00791,SUP007,stamped bracket,1425,21731.25,2025-06-21
PO-DM-01771,SUP042,machined housing,850,71510.5,2025-06-21
PO-DM-01986,SUP001,steel coil,1368,1331392.32,2025-06-21
PO-DM-02213,SUP016,bearing 6204,1373,14402.77,2025-06-21
PO-DM-00804,SUP028,anodizing service batch,1039,714998.24,2025-06-22
PO-DM-01027,SUP006,plastic resin,1415,2348.9,2025-06-22
PO-DM-01130,SUP018,casting bracket,235,33038.65,2025-06-22
PO-DM-01405,SUP049,brass valve body,1464,113723.52,2025-06-22
PO-DM-01481,SUP001,steel plate,817,800537.45,2025-06-22
PO-DM-02034,SUP010,aluminum gear housing,1456,377336.96,2025-06-22
PO-DM-02357,SUP007,stamped bracket,208,4388.8,2025-06-22
PO-DM-00121,SUP029,chip A,308,2738.12,2025-06-23
PO-DM-00179,SUP023,composite tube,240,53985.6,2025-06-23
PO-DM-00274,SUP016,bearing 6206,1361,24293.85,2025-06-23
