shipment_id,carrier_id,from_location,to_location,total_usd,ship_date
SH-LOG-03433,CAR009,Savannah,Rotterdam,1485.63,2025-05-18
SH-LOG-04104,CAR002,Savannah,Rotterdam,1393.13,2025-05-18
SH-LOG-04338,CAR006,Savannah,Rotterdam,1748.45,2025-05-18
SH-LOG-04415,CAR013,Chicago,Detroit,2495.65,2025-05-18
SH-LOG-04513,CAR001,Detroit,Cleveland,311.38,2025-05-18
SH-LOG-04570,CAR013,Dallas,San Antonio,2507.48,2025-05-18
SH-LOG-01142,CAR005,Chicago,Indianapolis,2142.94,2025-05-19
SH-LOG-01158,CAR013,Dallas,San Antonio,2122.85,2025-05-19
SH-LOG-01681,CAR007,JFK,Singapore,9321.99,2025-05-19
SH-LOG-01777,CAR019,JFK,Dubai,6238.93,2025-05-19
SH-LOG-01896,CAR006,Newark,Hamburg,2729.14,2025-05-19
SH-LOG-02465,CAR005,Seattle,Portland,3712.06,2025-05-19
SH-LOG-03094,CAR009,Long Beach,Singapore,3004.1,2025-05-19
SH-LOG-03816,CAR013,Chicago,Indianapolis,2185.71,2025-05-19
SH-LOG-03834,CAR009,Savannah,Rotterdam,1711.58,2025-05-19
SH-LOG-03881,CAR006,Long Beach,Shanghai,3377.16,2025-05-19
SH-LOG-04282,CAR019,JFK,Dubai,6307.94,2025-05-19
SH-LOG-04594,CAR014,Savannah,Rotterdam,1331.7,2025-05-19
SH-LOG-00340,CAR007,JFK,Los Angeles,7076.63,2025-05-20
SH-LOG-00422,CAR006,Long Beach,Shanghai,3267.15,2025-05-20
SH-LOG-00652,CAR012,Chicago,Milwaukee,1654.37,2025-05-20
SH-LOG-01444,CAR013,Denver,Salt Lake City,3679.71,2025-05-20
SH-LOG-01557,CAR011,Newark,Hamburg,2525.11,2025-05-20
SH-LOG-01641,CAR005,Chicago,Houston,2789.63,2025-05-20
SH-LOG-01819,CAR009,Long Beach,Hong Kong,3267.73,2025-05-20
SH-LOG-01999,CAR013,Dallas,Atlanta,2231.49,2025-05-20
SH-LOG-02287,CAR017,Long Beach,Hong Kong,3334.01,2025-05-20
SH-LOG-03160,CAR007,O'Hare,Dallas-Fort Worth,5098.46,2025-05-20
SH-LOG-03345,CAR013,Chicago,Houston,2971.66,2025-05-20
SH-LOG-03431,CAR008,Chicago,Indianapolis,1853.34,2025-05-20
SH-LOG-03553,CAR013,Chicago,Detroit,2940.89,2025-05-20
SH-LOG-03799,CAR009,Long Beach,Hong Kong,3480.62,2025-05-20
SH-LOG-03997,CAR009,Long Beach,Hong Kong,3144.39,2025-05-20
SH-LOG-04178,CAR013,Dallas,Atlanta,2546.2,2025-05-20
SH-LOG-04921,CAR001,Dallas,Atlanta,2110.64,2025-05-20
SH-LOG-04998,CAR012,Chicago,Milwaukee,1477.71,2025-05-20
SH-LOG-00085,CAR017,Long Beach,Singapore,3147.13,2025-05-21
SH-LOG-01080,CAR005,Denver,Salt Lake City,3969.57,2025-05-21
SH-LOG-01501,CAR019,JFK,Dubai,6064.58,2025-05-21
SH-LOG-01684,CAR013,Chicago,Detroit,3338.1,2025-05-21
SH-LOG-02059,CAR015,JFK,Los Angeles,7725.66,2025-05-21
SH-LOG-02678,CAR002,Long Beach,Singapore,3133.1,2025-05-21
SH-LOG-03076,CAR003,JFK,Dubai,6203.98,2025-05-21
SH-LOG-03539,CAR018,Multiple US,Multiple US,10162.4,2025-05-21
SH-LOG-03648,CAR018,Multiple US,Multiple US,13749.96,2025-05-21
SH-LOG-04160,CAR005,Chicago,Detroit,3313.51,2025-05-21
SH-LOG-04168,CAR014,Long Beach,Hong Kong,3427.45,2025-05-21
SH-LOG-04289,CAR011,Newark,Hamburg,2597.38,2025-05-21
SH-LOG-00826,CAR018,Multiple US,Multiple US,10782.48,2025-05-22
SH-LOG-02233,CAR002,Long Beach,Shanghai,3027.37,2025-05-22
SH-LOG-02710,CAR006,Savannah,Rotterdam,1714.02,2025-05-22
SH-LOG-02957,CAR010,Chicago,Detroit,2730.64,2025-05-22
SH-LOG-02980,CAR003,JFK,Dubai,6016.53,2025-05-22
SH-LOG-03177,CAR006,Savannah,Rotterdam,1743.88,2025-05-22
SH-LOG-03250,CAR008,Chicago,Houston,2713.83,2025-05-22
SH-LOG-03530,CAR007,JFK,Singapore,9777.36,2025-05-22
SH-LOG-03548,CAR019,JFK,Singapore,9595.56,2025-05-22
SH-LOG-03897,CAR002,Long Beach,Hong Kong,3208.81,2025-05-22
SH-LOG-03983,CAR012,Chicago,Indianapolis,2487.56,2025-05-22
SH-LOG-04071,CAR009,Long Beach,Singapore,3289.04,2025-05-22
SH-LOG-04470,CAR006,Savannah,Rotterdam,1629.33,2025-05-22
SH-LOG-04919,CAR019,O'Hare,Dallas-Fort Worth,4941.03,2025-05-22
SH-LOG-00036,CAR014,Long Beach,Singapore,3131.7,2025-05-23
SH-LOG-01568,CAR014,Savannah,Rotterdam,1650.3,2025-05-23
SH-LOG-01584,CAR001,Chicago,Houston,3119.52,2025-05-23
SH-LOG-01686,CAR019,JFK,Dubai,5675.11,2025-05-23
