transaction_id,date,supplier_id,supplier_name,category,subcategory,description,amount_usd,po_number,cost_center,department,payment_terms,invoice_status
TXN-00793,2025-05-05,SUP044,LubeMax Industrial,mro,lubricants,lubricants - LubeMax Industrial,2866.27,PO-318379,CC500,Engineering,net_30,pending
TXN-01600,2025-05-05,SUP025,Bright Spark Energy,indirect,marketing,marketing - Bright Spark Energy,12752.03,PO-679334,CC400,Manufacturing,net_45,paid
TXN-02027,2025-05-05,SUP040,AquaPure Filtration,mro,welding gases,welding gases - AquaPure Filtration,580.08,PO-417414,CC400,Operations,net_30,pending
TXN-02270,2025-05-05,SUP035,Prism Marketing,indirect,marketing,marketing - Prism Marketing,17091.52,PO-750475,CC100,Manufacturing,net_15,paid
TXN-01149,2025-05-06,SUP029,Greenfield Facilities,indirect,marketing,marketing - Greenfield Facilities,1654.49,PO-895262,CC300,Engineering,net_30,paid
TXN-01317,2025-05-06,SUP035,Prism Marketing,indirect,marketing,marketing - Prism Marketing,4550.68,PO-512925,CC500,Admin,net_15,pending
TXN-01678,2025-05-06,SUP035,Prism Marketing,indirect,marketing,marketing - Prism Marketing,1828.68,PO-941390,CC400,Manufacturing,net_15,pending
TXN-02196,2025-05-06,SUP011,Prairie Components,direct-materials,wire harness,wire harness - Prairie Components,36354.94,PO-625245,CC500,Manufacturing,net_30,paid
TXN-00121,2025-05-07,SUP019,Mountain Transport,logistics,warehousing,warehousing - Mountain Transport,24839.22,PO-970357,CC400,Engineering,net_30,paid
TXN-00356,2025-05-07,SUP020,Lakeshore Warehousing,logistics,LTL domestic,LTL domestic - Lakeshore Warehousing,3983.03,PO-990429,CC300,Manufacturing,net_30,paid
TXN-00919,2025-05-07,SUP002,Heartland Polymers,direct-materials,polymers,polymers - Heartland Polymers,18786.12,PO-940946,CC200,Admin,net_45,paid
TXN-01183,2025-05-07,SUP036,Industrial Supply Co,mro,electrical,electrical - Industrial Supply Co,2344.73,PO-284630,CC300,Manufacturing,net_30,paid
TXN-01303,2025-05-07,SUP043,FloorMaster Surfaces,mro,cutting tools,cutting tools - FloorMaster Surfaces,7342.82,PO-674559,CC400,Engineering,net_15,paid
TXN-01799,2025-05-07,SUP039,Voltex Electrical,mro,bearings,bearings - Voltex Electrical,4779.39,PO-440808,CC500,Operations,net_30,paid
TXN-01945,2025-05-07,SUP005,Cascade Fasteners,direct-materials,aluminum sheet,aluminum sheet - Cascade Fasteners,43267.07,PO-687159,CC400,Admin,net_30,paid
TXN-00854,2025-05-08,SUP019,Mountain Transport,logistics,FTL domestic,FTL domestic - Mountain Transport,8541.71,PO-749485,CC100,Manufacturing,net_30,pending
TXN-00927,2025-05-08,SUP011,Prairie Components,direct-materials,polymers,polymers - Prairie Components,27744.79,PO-524214,CC400,Operations,net_30,pending
TXN-01400,2025-05-08,SUP027,Apex Legal Partners,indirect,legal services,legal services - Apex Legal Partners,3840.28,PO-337686,CC400,Quality,net_45,paid
TXN-01807,2025-05-08,SUP039,Voltex Electrical,mro,lubricants,lubricants - Voltex Electrical,5353.17,PO-559822,CC400,Manufacturing,net_30,paid
TXN-01923,2025-05-08,SUP002,Heartland Polymers,direct-materials,aluminum sheet,aluminum sheet - Heartland Polymers,15993.46,PO-761149,CC300,Manufacturing,net_45,paid
TXN-02120,2025-05-08,SUP035,Prism Marketing,indirect,legal services,legal services - Prism Marketing,12031.1,PO-117007,CC100,Engineering,net_15,paid
TXN-02184,2025-05-08,SUP025,Bright Spark Energy,indirect,catering,catering - Bright Spark Energy,11407.19,PO-819839,CC500,Operations,net_45,paid
TXN-00345,2025-05-09,SUP035,Prism Marketing,indirect,print services,print services - Prism Marketing,4468.8,PO-862538,CC400,Operations,net_15,paid
TXN-01048,2025-05-09,SUP044,LubeMax Industrial,mro,HVAC parts,HVAC parts - LubeMax Industrial,1207.29,PO-398090,CC100,Quality,net_30,paid
TXN-01557,2025-05-09,SUP027,Apex Legal Partners,indirect,print services,print services - Apex Legal Partners,9111.19,PO-904016,CC400,Manufacturing,net_45,pending
TXN-01599,2025-05-09,SUP015,Atlantic Carriers,logistics,FTL domestic,FTL domestic - Atlantic Carriers,3471.75,PO-911192,CC200,Admin,net_45,paid
TXN-01615,2025-05-09,SUP020,Lakeshore Warehousing,logistics,drayage,drayage - Lakeshore Warehousing,3688.73,PO-738309,CC300,Engineering,net_30,pending
TXN-01869,2025-05-09,SUP029,Greenfield Facilities,indirect,temp staffing,temp staffing - Greenfield Facilities,3531.32,PO-565517,CC200,Quality,net_30,paid
TXN-02384,2025-05-09,SUP026,Helix Consulting,indirect,facilities maintenance,facilities maintenance - Helix Consulting,10243.16,PO-715049,CC200,Quality,net_30,paid
TXN-02458,2025-05-09,SUP050,Beacon Calibration,mro,cutting tools,cutting tools - Beacon Calibration,7790.82,PO-745485,CC400,Engineering,net_30,paid
TXN-00157,2025-05-10,SUP043,FloorMaster Surfaces,mro,filtration,filtration - FloorMaster Surfaces,6720.96,PO-289179,CC300,Engineering,net_15,pending
TXN-00236,2025-05-10,SUP037,SafeGuard PPE,mro,hydraulic parts,hydraulic parts - SafeGuard PPE,808.96,PO-185168,CC100,Admin,net_30,paid
TXN-01004,2025-05-10,SUP016,Midwest Express,logistics,air freight,air freight - Midwest Express,5498.29,PO-357516,CC300,Quality,net_30,paid
TXN-01049,2025-05-10,SUP007,Liberty Composites,direct-materials,aluminum sheet,aluminum sheet - Liberty Composites,38968.16,PO-185000,CC400,Quality,net_30,paid
TXN-01265,2025-05-10,SUP024,Pinnacle Office Solutions,indirect,training,training - Pinnacle Office Solutions,11910.72,PO-831351,CC200,Engineering,net_30,paid
TXN-01881,2025-05-10,SUP002,Heartland Polymers,direct-materials,specialty metals,specialty metals - Heartland Polymers,36980.95,PO-593357,CC100,Operations,net_45,pending
TXN-00431,2025-05-11,SUP017,Pacific Logistics,logistics,ocean freight,ocean freight - Pacific Logistics,21041.97,PO-524035,CC400,Admin,net_30,paid
TXN-00584,2025-05-11,SUP029,Greenfield Facilities,indirect,training,training - Greenfield Facilities,7793.32,PO-597012,CC200,Admin,net_30,paid
TXN-00598,2025-05-11,SUP002,Heartland Polymers,direct-materials,machined parts,machined parts - Heartland Polymers,39434.73,PO-952117,CC500,Admin,net_45,paid
TXN-02099,2025-05-11,SUP048,CoreShield Insulation,mro,insulation,insulation - CoreShield Insulation,7643.19,PO-599651,CC200,Manufacturing,net_15,paid
TXN-02153,2025-05-11,SUP050,Beacon Calibration,mro,welding gases,welding gases - Beacon Calibration,1062.92,PO-537588,CC100,Admin,net_30,paid
TXN-02229,2025-05-11,SUP028,Clearview IT Services,indirect,catering,catering - Clearview IT Services,4041.76,PO-449999,CC300,Manufacturing,net_30,paid
TXN-02345,2025-05-11,SUP050,Beacon Calibration,mro,industrial supplies,industrial supplies - Beacon Calibration,5486.62,PO-187696,CC300,Operations,net_30,pending
TXN-00135,2025-05-12,SUP032,Metro Print Services,indirect,IT services,IT services - Metro Print Services,11658.26,PO-823811,CC300,Operations,net_30,paid
TXN-00982,2025-05-12,SUP025,Bright Spark Energy,indirect,office supplies,office supplies - Bright Spark Energy,8802.18,PO-285460,CC500,Engineering,net_45,pending
TXN-01486,2025-05-12,SUP043,FloorMaster Surfaces,mro,welding gases,welding gases - FloorMaster Surfaces,4754.7,PO-222900,CC300,Engineering,net_15,paid
TXN-00471,2025-05-13,SUP006,Summit Metals,direct-materials,rubber seals,rubber seals - Summit Metals,22607.76,PO-626491,CC500,Admin,net_30,pending
TXN-01311,2025-05-13,SUP041,ThermaFlow HVAC,mro,electrical,electrical - ThermaFlow HVAC,5919.13,PO-224573,CC200,Quality,net_30,paid
TXN-01572,2025-05-13,SUP025,Bright Spark Energy,indirect,IT services,IT services - Bright Spark Energy,1681.82,PO-776445,CC500,Quality,net_45,paid
TXN-01890,2025-05-13,SUP038,Precision Tools USA,mro,hydraulic parts,hydraulic parts - Precision Tools USA,6023.08,PO-884267,CC400,Manufacturing,net_30,pending
TXN-01891,2025-05-13,SUP012,Redwood Rubber,direct-materials,machined parts,machined parts - Redwood Rubber,8529.9,PO-975958,CC200,Operations,net_30,paid
TXN-00023,2025-05-14,SUP045,ProWeld Gases,mro,lubricants,lubricants - ProWeld Gases,7279.46,PO-975136,CC300,Admin,net_30,paid
TXN-00210,2025-05-14,SUP009,Harbor Wire,direct-materials,plastic resin,plastic resin - Harbor Wire,10334.72,PO-407696,CC200,Manufacturing,net_30,pending
TXN-00872,2025-05-14,SUP029,Greenfield Facilities,indirect,office supplies,office supplies - Greenfield Facilities,17448.47,PO-455766,CC100,Engineering,net_30,pending
TXN-01611,2025-05-14,SUP047,SignalFire Detection,mro,cutting tools,cutting tools - SignalFire Detection,6622.85,PO-346525,CC400,Quality,net_30,overdue
TXN-01695,2025-05-14,SUP048,CoreShield Insulation,mro,cutting tools,cutting tools - CoreShield Insulation,3034.01,PO-437057,CC500,Admin,net_15,paid
TXN-01772,2025-05-14,SUP039,Voltex Electrical,mro,fire detection,fire detection - Voltex Electrical,1337.62,PO-657075,CC400,Operations,net_30,paid
TXN-02242,2025-05-14,SUP030,Nova Staffing,indirect,consulting,consulting - Nova Staffing,3953.9,PO-183312,CC100,Admin,net_30,pending
TXN-02456,2025-05-14,SUP019,Mountain Transport,logistics,expedited,expedited - Mountain Transport,10629.15,PO-829054,CC400,Manufacturing,net_30,paid
TXN-00517,2025-05-15,SUP008,Frontier Plastics,direct-materials,machined parts,machined parts - Frontier Plastics,21563.88,PO-493417,CC300,Admin,net_30,paid
TXN-00723,2025-05-15,SUP007,Liberty Composites,direct-materials,fasteners,fasteners - Liberty Composites,30023.55,PO-866288,CC500,Quality,net_30,paid
TXN-00834,2025-05-15,SUP035,Prism Marketing,indirect,office supplies,office supplies - Prism Marketing,11009.81,PO-695748,CC400,Engineering,net_15,paid
TXN-01227,2025-05-15,SUP026,Helix Consulting,indirect,temp staffing,temp staffing - Helix Consulting,15620.26,PO-111258,CC300,Manufacturing,net_30,paid
TXN-01581,2025-05-15,SUP004,Apex Electronics,direct-materials,polymers,polymers - Apex Electronics,30640.43,PO-987936,CC100,Quality,net_30,pending
TXN-02279,2025-05-15,SUP035,Prism Marketing,indirect,IT services,IT services - Prism Marketing,15065.72,PO-211751,CC100,Engineering,net_15,paid
TXN-00401,2025-05-16,SUP005,Cascade Fasteners,direct-materials,electronic components,electronic components - Cascade Fasteners,8510.36,PO-163406,CC400,Admin,net_30,paid
TXN-01808,2025-05-16,SUP026,Helix Consulting,indirect,marketing,marketing - Helix Consulting,15167.08,PO-481024,CC400,Admin,net_30,paid
TXN-01866,2025-05-16,SUP007,Liberty Composites,direct-materials,coatings,coatings - Liberty Composites,8970.31,PO-917326,CC200,Admin,net_30,paid
TXN-02018,2025-05-16,SUP010,Keystone Coatings,direct-materials,polymers,polymers - Keystone Coatings,41639.84,PO-242185,CC400,Quality,net_15,paid
TXN-02154,2025-05-16,SUP050,Beacon Calibration,mro,abrasives,abrasives - Beacon Calibration,1591.73,PO-487470,CC300,Quality,net_30,paid
TXN-02254,2025-05-16,SUP040,AquaPure Filtration,mro,insulation,insulation - AquaPure Filtration,1974.96,PO-577052,CC500,Admin,net_30,paid
TXN-02351,2025-05-16,SUP003,Pacific Aluminum,direct-materials,plastic resin,plastic resin - Pacific Aluminum,19622.2,PO-631778,CC400,Quality,net_30,paid
TXN-02375,2025-05-16,SUP026,Helix Consulting,indirect,legal services,legal services - Helix Consulting,12126.47,PO-526400,CC100,Manufacturing,net_30,overdue
TXN-02395,2025-05-16,SUP034,Cornerstone Training,indirect,IT services,IT services - Cornerstone Training,15217.96,PO-221455,CC200,Engineering,net_30,pending
TXN-00179,2025-05-17,SUP025,Bright Spark Energy,indirect,print services,print services - Bright Spark Energy,9134.74,PO-571579,CC500,Operations,net_45,paid
TXN-01178,2025-05-17,SUP022,Skybridge Air Cargo,logistics,expedited,expedited - Skybridge Air Cargo,6570.16,PO-620021,CC200,Manufacturing,net_30,paid
TXN-01653,2025-05-17,SUP021,Patriot Trucking,logistics,ocean freight,ocean freight - Patriot Trucking,19660.6,PO-953527,CC200,Quality,net_15,paid
TXN-01966,2025-05-17,SUP032,Metro Print Services,indirect,temp staffing,temp staffing - Metro Print Services,4607.61,PO-475727,CC100,Quality,net_30,pending
TXN-01982,2025-05-17,SUP001,Great Lakes Steel,direct-materials,composite panels,composite panels - Great Lakes Steel,31181.87,PO-829810,CC400,Operations,net_45,paid
TXN-02001,2025-05-17,SUP028,Clearview IT Services,indirect,consulting,consulting - Clearview IT Services,14789.93,PO-582273,CC400,Admin,net_30,pending
TXN-02111,2025-05-17,SUP035,Prism Marketing,indirect,consulting,consulting - Prism Marketing,15719.7,PO-460137,CC500,Operations,net_15,paid
TXN-02390,2025-05-17,SUP028,Clearview IT Services,indirect,office supplies,office supplies - Clearview IT Services,14375.06,PO-302310,CC100,Admin,net_30,pending
TXN-00107,2025-05-18,SUP015,Atlantic Carriers,logistics,last mile,last mile - Atlantic Carriers,21832.29,PO-433632,CC400,Quality,net_45,paid
TXN-00296,2025-05-18,SUP046,Atlas Abrasives,mro,electrical,electrical - Atlas Abrasives,7041.59,PO-521805,CC400,Operations,net_30,paid
TXN-00960,2025-05-18,SUP031,Westside Catering,indirect,IT services,IT services - Westside Catering,3462.22,PO-169465,CC300,Manufacturing,net_15,pending
TXN-01324,2025-05-18,SUP045,ProWeld Gases,mro,hydraulic parts,hydraulic parts - ProWeld Gases,1242.57,PO-348617,CC100,Operations,net_30,paid
TXN-01395,2025-05-18,SUP001,Great Lakes Steel,direct-materials,machined parts,machined parts - Great Lakes Steel,36247.49,PO-238599,CC200,Manufacturing,net_45,paid
TXN-01399,2025-05-18,SUP041,ThermaFlow HVAC,mro,industrial supplies,industrial supplies - ThermaFlow HVAC,4577.1,PO-207809,CC500,Engineering,net_30,paid
TXN-01975,2025-05-18,SUP033,Riverview Insurance,indirect,marketing,marketing - Riverview Insurance,7618.59,PO-324912,CC100,Quality,net_45,pending
TXN-02323,2025-05-18,SUP035,Prism Marketing,indirect,legal services,legal services - Prism Marketing,13815.89,PO-599135,CC300,Admin,net_15,paid
TXN-00416,2025-05-19,SUP004,Apex Electronics,direct-materials,wire harness,wire harness - Apex Electronics,14635.74,PO-520400,CC100,Quality,net_30,pending
TXN-00605,2025-05-19,SUP024,Pinnacle Office Solutions,indirect,catering,catering - Pinnacle Office Solutions,7903.54,PO-141843,CC300,Manufacturing,net_30,paid
TXN-00875,2025-05-19,SUP002,Heartland Polymers,direct-materials,coatings,coatings - Heartland Polymers,25435.13,PO-354471,CC200,Manufacturing,net_45,paid
TXN-01061,2025-05-19,SUP037,SafeGuard PPE,mro,PPE,PPE - SafeGuard PPE,857.96,PO-638354,CC100,Admin,net_30,paid
TXN-01187,2025-05-19,SUP021,Patriot Trucking,logistics,air freight,air freight - Patriot Trucking,16190.08,PO-900149,CC500,Admin,net_15,paid
TXN-01322,2025-05-19,SUP043,FloorMaster Surfaces,mro,filtration,filtration - FloorMaster Surfaces,500.64,PO-644675,CC300,Admin,net_15,paid
TXN-01647,2025-05-19,SUP022,Skybridge Air Cargo,logistics,LTL domestic,LTL domestic - Skybridge Air Cargo,16012.52,PO-177335,CC300,Quality,net_30,pending
TXN-01676,2025-05-19,SUP047,SignalFire Detection,mro,abrasives,abrasives - SignalFire Detection,2142.11,PO-423496,CC400,Quality,net_30,paid
TXN-01876,2025-05-19,SUP018,Gulf Coast Shipping,logistics,drayage,drayage - Gulf Coast Shipping,19051.84,PO-247572,CC200,Operations,net_30,paid
TXN-02389,2025-05-19,SUP026,Helix Consulting,indirect,marketing,marketing - Helix Consulting,8573.05,PO-644566,CC100,Manufacturing,net_30,paid
TXN-00245,2025-05-20,SUP016,Midwest Express,logistics,drayage,drayage - Midwest Express,7733.18,PO-152995,CC300,Quality,net_30,paid
TXN-00562,2025-05-20,SUP045,ProWeld Gases,mro,abrasives,abrasives - ProWeld Gases,2657.29,PO-500118,CC400,Quality,net_30,overdue
TXN-01118,2025-05-20,SUP010,Keystone Coatings,direct-materials,composite panels,composite panels - Keystone Coatings,37000.32,PO-419987,CC300,Operations,net_15,paid
TXN-01158,2025-05-20,SUP003,Pacific Aluminum,direct-materials,electronic components,electronic components - Pacific Aluminum,40700.69,PO-391433,CC400,Admin,net_30,paid
TXN-01334,2025-05-20,SUP036,Industrial Supply Co,mro,PPE,PPE - Industrial Supply Co,2532.9,PO-279041,CC300,Quality,net_30,paid
TXN-01508,2025-05-20,SUP050,Beacon Calibration,mro,welding gases,welding gases - Beacon Calibration,2848.81,PO-512433,CC300,Quality,net_30,paid
TXN-01856,2025-05-20,SUP027,Apex Legal Partners,indirect,catering,catering - Apex Legal Partners,8550.96,PO-972073,CC500,Manufacturing,net_45,pending
TXN-01973,2025-05-20,SUP021,Patriot Trucking,logistics,FTL domestic,FTL domestic - Patriot Trucking,19263.66,PO-417661,CC400,Operations,net_15,paid
TXN-02106,2025-05-20,SUP032,Metro Print Services,indirect,marketing,marketing - Metro Print Services,14567.4,PO-400434,CC300,Manufacturing,net_30,paid
TXN-02399,2025-05-20,SUP045,ProWeld Gases,mro,hydraulic parts,hydraulic parts - ProWeld Gases,635.41,PO-632046,CC300,Admin,net_30,paid
TXN-00161,2025-05-21,SUP004,Apex Electronics,direct-materials,coatings,coatings - Apex Electronics,13756.46,PO-806707,CC100,Engineering,net_30,paid
TXN-00435,2025-05-21,SUP022,Skybridge Air Cargo,logistics,expedited,expedited - Skybridge Air Cargo,5695.61,PO-276149,CC500,Quality,net_30,pending
TXN-00463,2025-05-21,SUP019,Mountain Transport,logistics,LTL domestic,LTL domestic - Mountain Transport,9542.81,PO-511987,CC500,Admin,net_30,pending
TXN-00729,2025-05-21,SUP006,Summit Metals,direct-materials,rubber seals,rubber seals - Summit Metals,25606.62,PO-674779,CC400,Engineering,net_30,paid
TXN-00778,2025-05-21,SUP020,Lakeshore Warehousing,logistics,LTL domestic,LTL domestic - Lakeshore Warehousing,10284.44,PO-214176,CC400,Operations,net_30,paid
TXN-01626,2025-05-21,SUP010,Keystone Coatings,direct-materials,machined parts,machined parts - Keystone Coatings,40235.85,PO-343974,CC100,Manufacturing,net_15,paid
TXN-02284,2025-05-21,SUP038,Precision Tools USA,mro,electrical,electrical - Precision Tools USA,6502.79,PO-389946,CC300,Admin,net_30,pending
TXN-00153,2025-05-22,SUP043,FloorMaster Surfaces,mro,bearings,bearings - FloorMaster Surfaces,7558.47,PO-401601,CC500,Engineering,net_15,paid
TXN-00305,2025-05-22,SUP006,Summit Metals,direct-materials,electronic components,electronic components - Summit Metals,27818.51,PO-381502,CC400,Admin,net_30,paid
TXN-00890,2025-05-22,SUP049,Ridgeline Hydraulics,mro,PPE,PPE - Ridgeline Hydraulics,3898.61,PO-663463,CC200,Operations,net_30,pending
TXN-01074,2025-05-22,SUP019,Mountain Transport,logistics,last mile,last mile - Mountain Transport,15527.47,PO-450067,CC100,Manufacturing,net_30,paid
TXN-01359,2025-05-22,SUP023,Harbor Drayage,logistics,air freight,air freight - Harbor Drayage,14000.02,PO-811259,CC300,Quality,net_30,overdue
TXN-01474,2025-05-22,SUP013,Pinnacle Alloys,direct-materials,composite panels,composite panels - Pinnacle Alloys,30801.91,PO-940257,CC500,Quality,net_45,paid
