supplier_id,supplier_name,quarter,quality_score,delivery_score,responsiveness_score,cost_score,innovation_score,overall_score
SUP016,Midwest Express,2025-Q3,77,71,71,84,83,76.3
SUP016,Midwest Express,2025-Q4,73,84,72,88,70,78.2
SUP016,Midwest Express,2026-Q1,93,93,84,89,74,88.5
SUP016,Midwest Express,2026-Q2,79,76,87,88,83,82.0
SUP017,Pacific Logistics,2025-Q3,78,71,77,83,66,75.8
SUP017,Pacific Logistics,2025-Q4,85,82,78,71,77,79.2
SUP017,Pacific Logistics,2026-Q1,72,91,73,79,80,79.2
SUP017,Pacific Logistics,2026-Q2,93,95,77,89,76,87.8
SUP018,Gulf Coast Shipping,2025-Q3,75,74,92,90,69,80.6
SUP018,Gulf Coast Shipping,2025-Q4,77,73,70,74,60,72.3
SUP018,Gulf Coast Shipping,2026-Q1,89,91,80,85,76,85.6
SUP018,Gulf Coast Shipping,2026-Q2,76,80,95,65,78,78.8
SUP019,Mountain Transport,2025-Q3,93,80,72,69,79,79.4
SUP019,Mountain Transport,2025-Q4,76,66,60,83,78,71.9
SUP019,Mountain Transport,2026-Q1,66,80,83,64,78,73.7
SUP019,Mountain Transport,2026-Q2,83,70,82,78,50,75.2
SUP020,Lakeshore Warehousing,2025-Q3,78,92,89,83,79,84.8
SUP020,Lakeshore Warehousing,2025-Q4,83,74,92,87,78,82.9
SUP020,Lakeshore Warehousing,2026-Q1,87,96,68,89,63,83.5
SUP020,Lakeshore Warehousing,2026-Q2,79,84,71,69,68,75.5
SUP021,Patriot Trucking,2025-Q3,78,83,79,82,70,79.5
SUP021,Patriot Trucking,2025-Q4,89,81,80,74,84,81.7
SUP021,Patriot Trucking,2026-Q1,76,76,95,65,68,76.8
SUP021,Patriot Trucking,2026-Q2,74,98,91,89,64,85.4
SUP022,Skybridge Air Cargo,2025-Q3,72,74,83,94,61,78.0
SUP022,Skybridge Air Cargo,2025-Q4,85,73,79,84,65,78.6
SUP022,Skybridge Air Cargo,2026-Q1,87,77,85,80,68,80.8
SUP022,Skybridge Air Cargo,2026-Q2,73,75,87,84,61,77.3
SUP023,Harbor Drayage,2025-Q3,86,93,91,67,73,83.7
SUP023,Harbor Drayage,2025-Q4,85,97,86,65,73,83.0
SUP023,Harbor Drayage,2026-Q1,79,74,72,92,69,78.0
SUP023,Harbor Drayage,2026-Q2,88,90,71,75,70,80.7
SUP024,Pinnacle Office Solutions,2025-Q3,80,97,73,91,88,85.8
SUP024,Pinnacle Office Solutions,2025-Q4,93,90,88,65,67,83.0
SUP024,Pinnacle Office Solutions,2026-Q1,94,92,95,74,61,86.4
SUP024,Pinnacle Office Solutions,2026-Q2,79,71,71,65,79,72.6
SUP025,Bright Spark Energy,2025-Q3,83,98,80,80,78,85.0
SUP025,Bright Spark Energy,2025-Q4,96,90,82,76,73,85.4
SUP025,Bright Spark Energy,2026-Q1,81,89,70,76,74,79.1
SUP025,Bright Spark Energy,2026-Q2,90,91,92,76,71,86.0
SUP026,Helix Consulting,2025-Q3,81,83,94,70,90,82.8
SUP026,Helix Consulting,2025-Q4,79,78,83,91,63,80.3
SUP026,Helix Consulting,2026-Q1,76,96,93,73,74,83.6
SUP026,Helix Consulting,2026-Q2,85,70,71,66,77,73.9
SUP027,Apex Legal Partners,2025-Q3,73,94,71,90,85,82.5
SUP027,Apex Legal Partners,2025-Q4,88,73,69,71,60,74.2
SUP027,Apex Legal Partners,2026-Q1,95,95,81,82,67,86.8
SUP027,Apex Legal Partners,2026-Q2,75,84,80,73,84,78.8
SUP028,Clearview IT Services,2025-Q3,74,85,73,78,76,77.5
SUP028,Clearview IT Services,2025-Q4,73,87,68,81,63,76.1
SUP028,Clearview IT Services,2026-Q1,95,91,79,79,63,84.4
SUP028,Clearview IT Services,2026-Q2,76,88,68,92,83,81.3
SUP029,Greenfield Facilities,2025-Q3,75,80,90,66,74,77.4
SUP029,Greenfield Facilities,2025-Q4,74,76,84,66,73,74.8
SUP029,Greenfield Facilities,2026-Q1,86,73,75,66,74,75.4
SUP029,Greenfield Facilities,2026-Q2,94,77,78,67,61,77.8
SUP030,Nova Staffing,2025-Q3,81,81,84,73,75,79.4
SUP030,Nova Staffing,2025-Q4,81,76,93,77,65,79.8
SUP030,Nova Staffing,2026-Q1,75,92,74,65,60,75.5
SUP030,Nova Staffing,2026-Q2,90,83,73,76,77,80.8
SUP031,Westside Catering,2025-Q3,88,91,79,79,73,83.6
SUP031,Westside Catering,2025-Q4,94,83,87,73,75,83.8
SUP031,Westside Catering,2026-Q1,72,76,71,82,60,73.6
SUP031,Westside Catering,2026-Q2,82,76,89,90,87,84.0
SUP032,Metro Print Services,2025-Q3,96,76,87,77,65,82.3
SUP032,Metro Print Services,2025-Q4,86,78,94,78,88,84.2
SUP032,Metro Print Services,2026-Q1,84,83,94,69,62,80.5
SUP032,Metro Print Services,2026-Q2,83,88,70,81,67,79.7
SUP033,Riverview Insurance,2025-Q3,76,92,95,80,60,83.0
SUP033,Riverview Insurance,2025-Q4,73,71,76,77,73,73.9
SUP033,Riverview Insurance,2026-Q1,85,73,77,75,80,77.9
SUP033,Riverview Insurance,2026-Q2,90,70,92,67,85,80.3
SUP034,Cornerstone Training,2025-Q3,75,71,82,83,75,77.0
SUP034,Cornerstone Training,2025-Q4,93,84,71,94,68,84.0
SUP034,Cornerstone Training,2026-Q1,73,70,91,85,68,77.8
SUP034,Cornerstone Training,2026-Q2,90,77,85,89,90,85.5
SUP035,Prism Marketing,2025-Q3,89,72,94,87,78,84.2
SUP035,Prism Marketing,2025-Q4,96,92,95,87,80,91.4
SUP035,Prism Marketing,2026-Q1,94,78,86,65,70,80.2
SUP035,Prism Marketing,2026-Q2,79,91,90,67,70,80.9
SUP036,Industrial Supply Co,2025-Q3,77,71,76,84,79,76.9
SUP036,Industrial Supply Co,2025-Q4,88,71,93,83,69,81.9
SUP036,Industrial Supply Co,2026-Q1,92,96,87,91,75,90.1
SUP036,Industrial Supply Co,2026-Q2,84,95,87,81,75,85.9
SUP037,SafeGuard PPE,2025-Q3,92,77,88,67,66,79.8
SUP037,SafeGuard PPE,2025-Q4,86,88,82,86,63,83.4
SUP037,SafeGuard PPE,2026-Q1,85,82,87,82,83,83.9
SUP037,SafeGuard PPE,2026-Q2,81,73,81,94,72,80.7
SUP038,Precision Tools USA,2025-Q3,75,74,74,80,69,75.0
SUP038,Precision Tools USA,2025-Q4,73,85,83,83,68,79.5
SUP038,Precision Tools USA,2026-Q1,79,77,94,70,84,80.2
SUP038,Precision Tools USA,2026-Q2,82,83,73,71,83,78.3
SUP039,Voltex Electrical,2025-Q3,94,86,89,83,79,87.3
SUP039,Voltex Electrical,2025-Q4,81,88,86,94,63,84.5
SUP039,Voltex Electrical,2026-Q1,91,84,93,65,62,81.5
SUP039,Voltex Electrical,2026-Q2,94,96,76,70,88,85.5
SUP040,AquaPure Filtration,2025-Q3,85,97,89,69,60,83.1
SUP040,AquaPure Filtration,2025-Q4,78,84,69,81,74,77.9
SUP040,AquaPure Filtration,2026-Q1,89,97,73,68,62,80.9
SUP040,AquaPure Filtration,2026-Q2,85,71,94,70,81,79.9
SUP041,ThermaFlow HVAC,2025-Q3,93,91,68,85,85,85.1
SUP041,ThermaFlow HVAC,2025-Q4,93,90,76,68,87,83.3
SUP041,ThermaFlow HVAC,2026-Q1,89,95,70,72,71,81.5
SUP041,ThermaFlow HVAC,2026-Q2,93,92,92,84,78,89.2
SUP042,BearingPoint Mechanical,2025-Q3,88,89,84,93,84,88.1
SUP042,BearingPoint Mechanical,2025-Q4,90,84,72,93,63,82.8
SUP042,BearingPoint Mechanical,2026-Q1,74,84,68,88,86,79.3
SUP042,BearingPoint Mechanical,2026-Q2,89,86,88,83,90,87.0
SUP043,FloorMaster Surfaces,2025-Q3,81,91,84,65,86,81.4
SUP043,FloorMaster Surfaces,2025-Q4,74,87,80,93,68,81.6
SUP043,FloorMaster Surfaces,2026-Q1,81,87,72,70,84,78.8
SUP043,FloorMaster Surfaces,2026-Q2,75,84,79,81,76,79.3
SUP044,LubeMax Industrial,2025-Q3,95,77,86,79,76,83.6
SUP044,LubeMax Industrial,2025-Q4,83,84,68,82,65,78.2
SUP044,LubeMax Industrial,2026-Q1,73,95,68,73,77,77.9
SUP044,LubeMax Industrial,2026-Q2,73,83,83,75,75,78.1
SUP045,ProWeld Gases,2025-Q3,93,72,94,91,65,84.8
SUP045,ProWeld Gases,2025-Q4,78,82,86,67,69,77.5
SUP045,ProWeld Gases,2026-Q1,91,82,70,89,80,83.0
SUP045,ProWeld Gases,2026-Q2,93,72,73,81,88,80.8
SUP046,Atlas Abrasives,2025-Q3,87,91,94,83,68,86.7
SUP046,Atlas Abrasives,2025-Q4,77,89,89,78,77,82.6
SUP046,Atlas Abrasives,2026-Q1,88,74,82,88,84,82.9
SUP046,Atlas Abrasives,2026-Q2,84,88,89,94,87,88.3
SUP047,SignalFire Detection,2025-Q3,87,91,88,66,68,82.1
SUP047,SignalFire Detection,2025-Q4,73,88,79,72,82,78.7
SUP047,SignalFire Detection,2026-Q1,75,78,93,67,85,78.8
SUP047,SignalFire Detection,2026-Q2,90,83,71,76,73,80.0
SUP048,CoreShield Insulation,2025-Q3,73,85,85,85,67,80.2
SUP048,CoreShield Insulation,2025-Q4,79,71,81,85,77,78.4
SUP048,CoreShield Insulation,2026-Q1,77,65,66,76,60,69.9
SUP048,CoreShield Insulation,2026-Q2,54,73,61,62,64,62.8
SUP049,Ridgeline Hydraulics,2025-Q3,77,79,88,66,88,78.6
SUP049,Ridgeline Hydraulics,2025-Q4,91,83,90,85,69,85.4
SUP049,Ridgeline Hydraulics,2026-Q1,91,82,80,82,67,82.4
SUP049,Ridgeline Hydraulics,2026-Q2,95,78,87,78,60,82.2
SUP050,Beacon Calibration,2025-Q3,80,84,84,74,64,79.0
SUP050,Beacon Calibration,2025-Q4,74,84,68,69,77,74.6
SUP050,Beacon Calibration,2026-Q1,82,73,80,69,65,75.0
SUP050,Beacon Calibration,2026-Q2,83,88,92,72,86,84.2
