transaction_id,date,supplier_id,supplier_name,category,amount_usd,po_number,cost_center
TXN007069,2026-03-29,SUP013,Eagle Transport,logistics,8138.81,PO-90173,CC-100
TXN007070,2026-03-29,SUP014,Horizon Carriers,logistics,5686.77,PO-96951,CC-100
TXN007071,2026-03-29,SUP015,Summit Shipping,logistics,2587.42,PO-25129,CC-100
TXN007072,2026-03-29,SUP015,Summit Shipping,logistics,5619.72,PO-30374,CC-300
TXN007073,2026-03-29,SUP023,Nexus IT Services,it-services,8374.51,PO-76244,CC-400
TXN007074,2026-03-29,SUP025,DataVault Analytics,it-services,1705.87,PO-93136,CC-400
TXN007075,2026-03-29,SUP025,DataVault Analytics,it-services,4756.08,PO-15778,CC-100
TXN007076,2026-03-29,SUP032,Metro Building Services,facilities,3501.65,PO-67912,CC-400
TXN007077,2026-03-29,SUP032,Metro Building Services,facilities,6061.7,PO-24663,CC-100
TXN007078,2026-03-29,SUP033,Greenfield Maintenance,facilities,5363.44,PO-29536,CC-100
TXN007079,2026-03-29,SUP033,Greenfield Maintenance,facilities,6079.35,PO-86350,CC-200
TXN007080,2026-03-29,SUP034,Atlas HVAC,facilities,1670.73,PO-57795,CC-100
TXN007081,2026-03-29,SUP035,Cornerstone Electric,facilities,1906.27,PO-42706,CC-100
TXN007082,2026-03-29,SUP041,Whitfield Consulting,professional-services,11661.72,PO-91351,CC-200
TXN007083,2026-03-29,SUP042,Sterling Advisory,professional-services,4647.38,PO-31299,CC-200
TXN007084,2026-03-29,SUP042,Sterling Advisory,professional-services,9469.22,PO-13248,CC-200
TXN007085,2026-03-29,SUP043,Meridian Legal,professional-services,4084.78,PO-63964,CC-200
TXN007086,2026-03-29,SUP045,Vanguard Staffing,professional-services,1667.12,PO-15075,CC-400
TXN007087,2026-03-29,SUP047,Blueprint Marketing,professional-services,1564.84,PO-50001,CC-200
TXN007088,2026-03-29,SUP049,Northstar Audit,professional-services,808.83,PO-46517,CC-100
TXN007089,2026-03-29,SUP050,Clearpath Compliance,professional-services,520.08,PO-94080,CC-400
TXN007090,2026-03-29,SUP050,Clearpath Compliance,professional-services,833.81,PO-80282,CC-300
TXN007091,2026-03-29,SUP051,Redstone Cloud,it-services,641.04,PO-44237,CC-200
TXN007092,2026-03-29,SUP051,Redstone Cloud,it-services,1237.58,PO-44795,CC-100
TXN007093,2026-03-29,SUP053,Heritage Painting,facilities,832.58,PO-51114,CC-400
TXN007094,2026-03-29,SUP054,Precision Plumbing,facilities,1212.72,PO-60488,CC-200
TXN007095,2026-03-30,SUP002,Heartland Polymers,raw-materials,5228.37,PO-80575,CC-200
TXN007096,2026-03-30,SUP005,Cascade Fasteners,raw-materials,4582.65,PO-51145,CC-100
TXN007097,2026-03-30,SUP006,Summit Metals,raw-materials,3903.21,PO-50538,CC-400
TXN007098,2026-03-30,SUP008,Frontier Plastics,raw-materials,3277.59,PO-35144,CC-400
TXN007099,2026-03-30,SUP011,Continental Freight,logistics,9792.88,PO-32810,CC-300
TXN007100,2026-03-30,SUP012,Patriot Logistics,logistics,12583.96,PO-49829,CC-300
TXN007101,2026-03-30,SUP014,Horizon Carriers,logistics,6001.98,PO-52237,CC-400
TXN007102,2026-03-30,SUP015,Summit Shipping,logistics,5286.69,PO-77000,CC-400
TXN007103,2026-03-30,SUP016,Gateway Freight,logistics,5027.86,PO-32241,CC-100
TXN007104,2026-03-30,SUP022,CloudBridge Systems,it-services,8938.62,PO-22240,CC-200
TXN007105,2026-03-30,SUP023,Nexus IT Services,it-services,4122.91,PO-36100,CC-200
TXN007106,2026-03-30,SUP026,CyberShield Security,it-services,3736.88,PO-19545,CC-400
TXN007107,2026-03-30,SUP031,National Facilities Group,facilities,7948.3,PO-35485,CC-400
TXN007108,2026-03-30,SUP032,Metro Building Services,facilities,4029.93,PO-95990,CC-100
TXN007109,2026-03-30,SUP033,Greenfield Maintenance,facilities,6208.22,PO-23970,CC-400
TXN007110,2026-03-30,SUP035,Cornerstone Electric,facilities,3463.61,PO-70889,CC-100
TXN007111,2026-03-30,SUP036,SafeGuard Fire Systems,facilities,3246.3,PO-25906,CC-400
TXN007112,2026-03-30,SUP042,Sterling Advisory,professional-services,6849.29,PO-83259,CC-300
TXN007113,2026-03-30,SUP043,Meridian Legal,professional-services,7271.69,PO-90301,CC-400
TXN007114,2026-03-30,SUP043,Meridian Legal,professional-services,6924.89,PO-81810,CC-400
TXN007115,2026-03-30,SUP044,Crestline Accounting,professional-services,4822.2,PO-72216,CC-400
TXN007116,2026-03-30,SUP047,Blueprint Marketing,professional-services,2130.66,PO-78327,CC-400
TXN007117,2026-03-30,SUP048,Ironside Recruiting,professional-services,892.19,PO-20155,CC-300
TXN007118,2026-03-30,SUP051,Redstone Cloud,it-services,596.47,PO-29769,CC-200
TXN007119,2026-03-31,SUP001,Great Lakes Steel,raw-materials,10703.05,PO-71069,CC-400
TXN007120,2026-03-31,SUP003,Pacific Aluminum,raw-materials,8546.83,PO-86556,CC-100
TXN007121,2026-03-31,SUP004,Apex Electronics,raw-materials,9831.93,PO-59857,CC-400
TXN007122,2026-03-31,SUP007,Liberty Composites,raw-materials,5291.45,PO-64921,CC-200
TXN007123,2026-03-31,SUP008,Frontier Plastics,raw-materials,2295.12,PO-73654,CC-100
TXN007124,2026-03-31,SUP012,Patriot Logistics,logistics,12216.43,PO-31632,CC-400
TXN007125,2026-03-31,SUP013,Eagle Transport,logistics,10211.98,PO-80008,CC-100
TXN007126,2026-03-31,SUP013,Eagle Transport,logistics,9660.04,PO-87580,CC-100
TXN007127,2026-03-31,SUP015,Summit Shipping,logistics,6240.19,PO-33819,CC-100
TXN007128,2026-03-31,SUP022,CloudBridge Systems,it-services,6429.8,PO-59692,CC-300
TXN007129,2026-03-31,SUP023,Nexus IT Services,it-services,8232.47,PO-43065,CC-100
TXN007130,2026-03-31,SUP024,Pinnacle Software,it-services,6056.43,PO-16826,CC-300
TXN007131,2026-03-31,SUP031,National Facilities Group,facilities,3329.15,PO-14067,CC-200
TXN007132,2026-03-31,SUP031,National Facilities Group,facilities,4575.81,PO-12671,CC-200
TXN007133,2026-03-31,SUP033,Greenfield Maintenance,facilities,2488.19,PO-38569,CC-400
TXN007134,2026-03-31,SUP034,Atlas HVAC,facilities,4511.41,PO-31992,CC-100
TXN007135,2026-03-31,SUP035,Cornerstone Electric,facilities,1757.82,PO-50768,CC-100
TXN007136,2026-03-31,SUP036,SafeGuard Fire Systems,facilities,3274.76,PO-85470,CC-400
TXN007137,2026-03-31,SUP042,Sterling Advisory,professional-services,3445.12,PO-92213,CC-200
TXN007138,2026-03-31,SUP044,Crestline Accounting,professional-services,5277.97,PO-88697,CC-100
TXN007139,2026-03-31,SUP045,Vanguard Staffing,professional-services,3216.24,PO-15383,CC-300
TXN007140,2026-03-31,SUP046,Catalyst Training,professional-services,2608.18,PO-19038,CC-300
TXN007141,2026-03-31,SUP048,Ironside Recruiting,professional-services,1184.0,PO-66822,CC-300
TXN007142,2026-03-31,SUP049,Northstar Audit,professional-services,1253.21,PO-30052,CC-400
TXN007143,2026-03-31,SUP051,Redstone Cloud,it-services,1327.16,PO-90728,CC-400
TXN007144,2026-03-31,SUP052,Agile Platforms,it-services,2069.2,PO-87656,CC-300
TXN007145,2026-04-01,SUP001,Great Lakes Steel,raw-materials,9925.89,PO-69087,CC-200
TXN007146,2026-04-01,SUP001,Great Lakes Steel,raw-materials,16979.73,PO-84691,CC-400
TXN007147,2026-04-01,SUP003,Pacific Aluminum,raw-materials,7835.09,PO-73904,CC-200
TXN007148,2026-04-01,SUP007,Liberty Composites,raw-materials,5405.39,PO-82848,CC-100
TXN007149,2026-04-01,SUP008,Frontier Plastics,raw-materials,2009.33,PO-41635,CC-400
TXN007150,2026-04-01,SUP011,Continental Freight,logistics,14652.63,PO-72402,CC-400
TXN007151,2026-04-01,SUP012,Patriot Logistics,logistics,4150.7,PO-48566,CC-200
TXN007152,2026-04-01,SUP013,Eagle Transport,logistics,4696.5,PO-97026,CC-300
TXN007153,2026-04-01,SUP014,Horizon Carriers,logistics,5543.39,PO-65771,CC-300
TXN007154,2026-04-01,SUP016,Gateway Freight,logistics,2585.04,PO-40217,CC-100
TXN007155,2026-04-01,SUP021,TechForward Solutions,it-services,6982.45,PO-80236,CC-200
TXN007156,2026-04-01,SUP023,Nexus IT Services,it-services,4473.85,PO-87278,CC-300
TXN007157,2026-04-01,SUP024,Pinnacle Software,it-services,6503.08,PO-48829,CC-200
TXN007158,2026-04-01,SUP024,Pinnacle Software,it-services,3982.79,PO-49618,CC-100
TXN007159,2026-04-01,SUP025,DataVault Analytics,it-services,2002.78,PO-15965,CC-100
TXN007160,2026-04-01,SUP026,CyberShield Security,it-services,3275.74,PO-26551,CC-400
TXN007161,2026-04-01,SUP034,Atlas HVAC,facilities,2841.67,PO-16734,CC-300
TXN007162,2026-04-01,SUP035,Cornerstone Electric,facilities,2764.23,PO-18564,CC-400
TXN007163,2026-04-01,SUP035,Cornerstone Electric,facilities,2809.16,PO-85631,CC-100
TXN007164,2026-04-01,SUP041,Whitfield Consulting,professional-services,12350.81,PO-21164,CC-200
TXN007165,2026-04-01,SUP043,Meridian Legal,professional-services,5646.96,PO-91057,CC-200
TXN007166,2026-04-01,SUP044,Crestline Accounting,professional-services,3269.56,PO-68028,CC-300
TXN007167,2026-04-01,SUP045,Vanguard Staffing,professional-services,4651.2,PO-50026,CC-100
TXN007168,2026-04-01,SUP046,Catalyst Training,professional-services,2804.06,PO-37235,CC-200
TXN007169,2026-04-01,SUP050,Clearpath Compliance,professional-services,424.02,PO-63545,CC-400
TXN007170,2026-04-01,SUP051,Redstone Cloud,it-services,1095.67,PO-14278,CC-200
TXN007171,2026-04-01,SUP054,Precision Plumbing,facilities,616.88,PO-40595,CC-300
TXN007172,2026-04-02,SUP001,Great Lakes Steel,raw-materials,15103.61,PO-96662,CC-200
TXN007173,2026-04-02,SUP002,Heartland Polymers,raw-materials,12575.72,PO-94886,CC-200
TXN007174,2026-04-02,SUP003,Pacific Aluminum,raw-materials,13373.49,PO-19359,CC-100
TXN007175,2026-04-02,SUP003,Pacific Aluminum,raw-materials,6078.54,PO-50319,CC-300
TXN007176,2026-04-02,SUP004,Apex Electronics,raw-materials,7294.08,PO-49857,CC-400
TXN007177,2026-04-02,SUP005,Cascade Fasteners,raw-materials,5674.26,PO-74722,CC-400
TXN007178,2026-04-02,SUP005,Cascade Fasteners,raw-materials,2981.46,PO-15224,CC-400
TXN007179,2026-04-02,SUP006,Summit Metals,raw-materials,5632.12,PO-13390,CC-100
TXN007180,2026-04-02,SUP008,Frontier Plastics,raw-materials,4346.02,PO-86955,CC-100
TXN007181,2026-04-02,SUP011,Continental Freight,logistics,13551.45,PO-45325,CC-100
TXN007182,2026-04-02,SUP011,Continental Freight,logistics,14716.03,PO-32962,CC-400
TXN007183,2026-04-02,SUP012,Patriot Logistics,logistics,8540.29,PO-46458,CC-200
TXN007184,2026-04-02,SUP013,Eagle Transport,logistics,6136.89,PO-74451,CC-100
TXN007185,2026-04-02,SUP013,Eagle Transport,logistics,6392.13,PO-63523,CC-300
TXN007186,2026-04-02,SUP021,TechForward Solutions,it-services,8776.73,PO-96846,CC-400
TXN007187,2026-04-02,SUP022,CloudBridge Systems,it-services,8322.78,PO-69614,CC-100
TXN007188,2026-04-02,SUP025,DataVault Analytics,it-services,3090.33,PO-77449,CC-100
TXN007189,2026-04-02,SUP025,DataVault Analytics,it-services,4083.44,PO-81118,CC-400
TXN007190,2026-04-02,SUP026,CyberShield Security,it-services,1732.27,PO-57419,CC-400
TXN007191,2026-04-02,SUP031,National Facilities Group,facilities,8968.69,PO-36680,CC-300
TXN007192,2026-04-02,SUP032,Metro Building Services,facilities,8413.03,PO-67424,CC-400
TXN007193,2026-04-02,SUP034,Atlas HVAC,facilities,3892.29,PO-41365,CC-200
TXN007194,2026-04-02,SUP034,Atlas HVAC,facilities,2724.31,PO-11792,CC-400
TXN007195,2026-04-02,SUP036,SafeGuard Fire Systems,facilities,3234.98,PO-70482,CC-100
TXN007196,2026-04-02,SUP036,SafeGuard Fire Systems,facilities,2573.74,PO-30181,CC-400
TXN007197,2026-04-02,SUP041,Whitfield Consulting,professional-services,6264.36,PO-45838,CC-400
TXN007198,2026-04-02,SUP041,Whitfield Consulting,professional-services,11291.42,PO-71894,CC-200
TXN007199,2026-04-02,SUP042,Sterling Advisory,professional-services,3958.55,PO-34983,CC-200
TXN007200,2026-04-02,SUP043,Meridian Legal,professional-services,3766.01,PO-64387,CC-300
TXN007201,2026-04-02,SUP044,Crestline Accounting,professional-services,3813.89,PO-10336,CC-300
TXN007202,2026-04-02,SUP044,Crestline Accounting,professional-services,4746.96,PO-86931,CC-400
TXN007203,2026-04-02,SUP045,Vanguard Staffing,professional-services,2812.29,PO-73483,CC-300
TXN007204,2026-04-02,SUP047,Blueprint Marketing,professional-services,1410.94,PO-52176,CC-200
TXN007205,2026-04-02,SUP048,Ironside Recruiting,professional-services,843.75,PO-60196,CC-200
TXN007206,2026-04-02,SUP048,Ironside Recruiting,professional-services,1679.1,PO-63841,CC-100
TXN007207,2026-04-02,SUP050,Clearpath Compliance,professional-services,1017.1,PO-59968,CC-400
TXN007208,2026-04-02,SUP051,Redstone Cloud,it-services,1509.15,PO-95461,CC-200
TXN007209,2026-04-02,SUP051,Redstone Cloud,it-services,1128.26,PO-14852,CC-200
TXN007210,2026-04-02,SUP052,Agile Platforms,it-services,1666.5,PO-23154,CC-400
TXN007211,2026-04-02,SUP054,Precision Plumbing,facilities,541.32,PO-28894,CC-400
TXN007212,2026-04-02,SUP054,Precision Plumbing,facilities,1699.29,PO-30232,CC-100
TXN007213,2026-04-03,SUP001,Great Lakes Steel,raw-materials,20251.65,PO-54375,CC-400
TXN007214,2026-04-03,SUP002,Heartland Polymers,raw-materials,16733.48,PO-98389,CC-400
TXN007215,2026-04-03,SUP003,Pacific Aluminum,raw-materials,11167.13,PO-73956,CC-100
TXN007216,2026-04-03,SUP003,Pacific Aluminum,raw-materials,11064.0,PO-40771,CC-300
TXN007217,2026-04-03,SUP004,Apex Electronics,raw-materials,9670.99,PO-66881,CC-100
TXN007218,2026-04-03,SUP004,Apex Electronics,raw-materials,9787.27,PO-23173,CC-400
TXN007219,2026-04-03,SUP013,Eagle Transport,logistics,4703.18,PO-64008,CC-200
TXN007220,2026-04-03,SUP016,Gateway Freight,logistics,3755.9,PO-41566,CC-400
TXN007221,2026-04-03,SUP021,TechForward Solutions,it-services,5262.87,PO-70443,CC-300
TXN007222,2026-04-03,SUP021,TechForward Solutions,it-services,8418.73,PO-97404,CC-100
TXN007223,2026-04-03,SUP022,CloudBridge Systems,it-services,7567.32,PO-47700,CC-200
TXN007224,2026-04-03,SUP024,Pinnacle Software,it-services,7331.29,PO-49210,CC-400
TXN007225,2026-04-03,SUP024,Pinnacle Software,it-services,5742.77,PO-69878,CC-300
TXN007226,2026-04-03,SUP031,National Facilities Group,facilities,4872.35,PO-84963,CC-300
TXN007227,2026-04-03,SUP032,Metro Building Services,facilities,8829.86,PO-48696,CC-100
TXN007228,2026-04-03,SUP033,Greenfield Maintenance,facilities,5199.94,PO-45976,CC-100
TXN007229,2026-04-03,SUP033,Greenfield Maintenance,facilities,4739.7,PO-99889,CC-100
TXN007230,2026-04-03,SUP034,Atlas HVAC,facilities,4426.29,PO-47512,CC-200
TXN007231,2026-04-03,SUP034,Atlas HVAC,facilities,3885.21,PO-56179,CC-200
TXN007232,2026-04-03,SUP035,Cornerstone Electric,facilities,3223.13,PO-98835,CC-200
TXN007233,2026-04-03,SUP036,SafeGuard Fire Systems,facilities,3211.23,PO-94717,CC-100
TXN007234,2026-04-03,SUP042,Sterling Advisory,professional-services,7211.61,PO-27224,CC-100
TXN007235,2026-04-03,SUP043,Meridian Legal,professional-services,4053.63,PO-64460,CC-200
TXN007236,2026-04-03,SUP043,Meridian Legal,professional-services,3336.04,PO-80701,CC-300
TXN007237,2026-04-03,SUP044,Crestline Accounting,professional-services,5548.05,PO-31567,CC-300
TXN007238,2026-04-03,SUP045,Vanguard Staffing,professional-services,4496.09,PO-48684,CC-300
TXN007239,2026-04-03,SUP045,Vanguard Staffing,professional-services,4022.54,PO-71385,CC-100
TXN007240,2026-04-03,SUP047,Blueprint Marketing,professional-services,2305.36,PO-98395,CC-400
TXN007241,2026-04-03,SUP047,Blueprint Marketing,professional-services,2503.77,PO-83048,CC-300
TXN007242,2026-04-03,SUP053,Heritage Painting,facilities,483.75,PO-59941,CC-300
TXN007243,2026-04-04,SUP003,Pacific Aluminum,raw-materials,10445.13,PO-89964,CC-200
TXN007244,2026-04-04,SUP004,Apex Electronics,raw-materials,8719.07,PO-70852,CC-300
TXN007245,2026-04-04,SUP005,Cascade Fasteners,raw-materials,3213.76,PO-15943,CC-100
TXN007246,2026-04-04,SUP007,Liberty Composites,raw-materials,2059.23,PO-80457,CC-200
TXN007247,2026-04-04,SUP012,Patriot Logistics,logistics,11166.42,PO-80804,CC-400
TXN007248,2026-04-04,SUP012,Patriot Logistics,logistics,10039.1,PO-30253,CC-400
TXN007249,2026-04-04,SUP013,Eagle Transport,logistics,9112.28,PO-90694,CC-400
TXN007250,2026-04-04,SUP014,Horizon Carriers,logistics,4022.54,PO-58566,CC-200
TXN007251,2026-04-04,SUP014,Horizon Carriers,logistics,5013.36,PO-40947,CC-300
TXN007252,2026-04-04,SUP016,Gateway Freight,logistics,3474.51,PO-94518,CC-300
TXN007253,2026-04-04,SUP023,Nexus IT Services,it-services,9024.81,PO-69600,CC-100
TXN007254,2026-04-04,SUP023,Nexus IT Services,it-services,7087.78,PO-94109,CC-100
TXN007255,2026-04-04,SUP026,CyberShield Security,it-services,3546.88,PO-36896,CC-100
TXN007256,2026-04-04,SUP026,CyberShield Security,it-services,3676.57,PO-82641,CC-200
TXN007257,2026-04-04,SUP031,National Facilities Group,facilities,9384.47,PO-40539,CC-300
TXN007258,2026-04-04,SUP032,Metro Building Services,facilities,7521.72,PO-88116,CC-100
TXN007259,2026-04-04,SUP034,Atlas HVAC,facilities,5375.79,PO-80807,CC-300
TXN007260,2026-04-04,SUP034,Atlas HVAC,facilities,4635.27,PO-24408,CC-100
TXN007261,2026-04-04,SUP041,Whitfield Consulting,professional-services,9014.58,PO-12068,CC-200
TXN007262,2026-04-04,SUP044,Crestline Accounting,professional-services,2129.57,PO-18330,CC-400
TXN007263,2026-04-04,SUP045,Vanguard Staffing,professional-services,2526.35,PO-87812,CC-100
TXN007264,2026-04-04,SUP046,Catalyst Training,professional-services,1511.26,PO-90623,CC-100
TXN007265,2026-04-04,SUP047,Blueprint Marketing,professional-services,2395.39,PO-96363,CC-300
TXN007266,2026-04-04,SUP048,Ironside Recruiting,professional-services,1825.28,PO-17972,CC-400
TXN007267,2026-04-04,SUP049,Northstar Audit,professional-services,837.55,PO-24150,CC-400
TXN007268,2026-04-04,SUP050,Clearpath Compliance,professional-services,648.93,PO-20589,CC-300
TXN007269,2026-04-04,SUP051,Redstone Cloud,it-services,577.37,PO-46046,CC-300
TXN007270,2026-04-04,SUP053,Heritage Painting,facilities,508.24,PO-76263,CC-400
TXN007271,2026-04-05,SUP001,Great Lakes Steel,raw-materials,18510.27,PO-95316,CC-200
TXN007272,2026-04-05,SUP002,Heartland Polymers,raw-materials,17225.12,PO-64239,CC-300
TXN007273,2026-04-05,SUP003,Pacific Aluminum,raw-materials,8648.99,PO-22463,CC-300
TXN007274,2026-04-05,SUP004,Apex Electronics,raw-materials,8972.98,PO-59060,CC-200
TXN007275,2026-04-05,SUP005,Cascade Fasteners,raw-materials,5506.27,PO-21957,CC-100
TXN007276,2026-04-05,SUP008,Frontier Plastics,raw-materials,4175.87,PO-82924,CC-100
TXN007277,2026-04-05,SUP011,Continental Freight,logistics,12132.12,PO-53207,CC-100
TXN007278,2026-04-05,SUP012,Patriot Logistics,logistics,12995.89,PO-65435,CC-100
TXN007279,2026-04-05,SUP013,Eagle Transport,logistics,7367.45,PO-56090,CC-100
TXN007280,2026-04-05,SUP013,Eagle Transport,logistics,7199.23,PO-37884,CC-200
TXN007281,2026-04-05,SUP014,Horizon Carriers,logistics,3686.52,PO-24184,CC-300
TXN007282,2026-04-05,SUP015,Summit Shipping,logistics,3750.58,PO-46512,CC-200
TXN007283,2026-04-05,SUP016,Gateway Freight,logistics,4599.0,PO-91490,CC-100
TXN007284,2026-04-05,SUP021,TechForward Solutions,it-services,10395.91,PO-45054,CC-100
TXN007285,2026-04-05,SUP023,Nexus IT Services,it-services,4693.68,PO-54541,CC-300
TXN007286,2026-04-05,SUP025,DataVault Analytics,it-services,3725.59,PO-62531,CC-100
TXN007287,2026-04-05,SUP031,National Facilities Group,facilities,3253.92,PO-79531,CC-200
TXN007288,2026-04-05,SUP033,Greenfield Maintenance,facilities,2702.7,PO-50846,CC-300
TXN007289,2026-04-05,SUP034,Atlas HVAC,facilities,3730.57,PO-21135,CC-100
TXN007290,2026-04-05,SUP036,SafeGuard Fire Systems,facilities,1082.97,PO-20693,CC-300
TXN007291,2026-04-05,SUP041,Whitfield Consulting,professional-services,7488.14,PO-89570,CC-400
TXN007292,2026-04-05,SUP042,Sterling Advisory,professional-services,4489.05,PO-77154,CC-100
