transaction_id,date,category,supplier,description,amount_usd,po_number,cost_center
TXN-1129,2025-11-17,IT services,NetSecure Corp,IT services services,74747.23,PO-1129,CC-218
TXN-1011,2025-05-20,IT services,NetSecure Corp,IT services services,107563.15,PO-1011,CC-370
TXN-2117,2025-11-11,Professional services,Nexus Staffing,Professional services services,44487.38,PO-2117,CC-797
TXN-1527,2025-06-21,Facilities,SafeGuard Security,Facilities services,58621.67,PO-1527,CC-385
TXN-2227,2025-05-14,MRO,Industrial Supply Co,MRO services,47579.96,PO-2227,CC-958
TXN-2043,2025-08-19,Professional services,Sterling Consulting,Professional services services,27045.55,PO-2043,CC-662
TXN-1864,2025-12-28,Raw materials,Bayshore Materials,Raw materials services,70748.89,PO-1864,CC-164
TXN-1724,2025-05-20,Raw materials,Heartland Polymers,Raw materials services,43784.52,PO-1724,CC-639
TXN-1151,2025-12-13,IT services,DataVault Inc,IT services services,97253.93,PO-1151,CC-606
TXN-1083,2025-09-03,IT services,DataVault Inc,IT services services,45381.97,PO-1083,CC-791
TXN-2039,2025-08-06,Professional services,Nexus Staffing,Professional services services,68384.68,PO-2039,CC-154
TXN-2179,2026-02-25,Professional services,Sterling Consulting,Professional services services,29277.7,PO-2179,CC-146
TXN-1492,2026-04-27,Logistics,National Carriers Inc,Logistics services,35815.0,PO-1492,CC-611
TXN-2086,2025-10-07,Professional services,Sterling Consulting,Professional services services,33850.8,PO-2086,CC-943
TXN-1086,2025-09-19,IT services,Pinnacle IT Group,IT services services,92386.81,PO-1086,CC-635
TXN-1298,2025-08-21,Logistics,SwiftLine Freight,Logistics services,57907.73,PO-1298,CC-258
TXN-2167,2026-02-20,Professional services,Sterling Consulting,Professional services services,49095.1,PO-2167,CC-304
TXN-1382,2025-11-22,Logistics,Horizon Distribution,Logistics services,58975.89,PO-1382,CC-361
TXN-1801,2025-09-15,Raw materials,Pacific Aluminum,Raw materials services,47975.34,PO-1801,CC-903
TXN-1047,2025-07-27,IT services,CloudStack Solutions,IT services services,114077.17,PO-1047,CC-926
TXN-1920,2026-02-05,Raw materials,Great Lakes Steel,Raw materials services,30293.84,PO-1920,CC-818
TXN-1999,2025-06-26,Professional services,Whitfield Advisory,Professional services services,52930.88,PO-1999,CC-497
TXN-2389,2026-01-15,MRO,FastParts Direct,MRO services,51513.16,PO-2389,CC-110
TXN-1625,2025-12-06,Facilities,ProClean Services,Facilities services,92252.5,PO-1625,CC-527
TXN-1658,2026-02-13,Facilities,SafeGuard Security,Facilities services,79853.01,PO-1658,CC-360
TXN-2091,2025-10-07,Professional services,Nexus Staffing,Professional services services,26027.61,PO-2091,CC-996
TXN-1399,2025-12-19,Logistics,SwiftLine Freight,Logistics services,87173.08,PO-1399,CC-773
TXN-1827,2025-10-16,Raw materials,Heartland Polymers,Raw materials services,62335.74,PO-1827,CC-395
TXN-1613,2025-11-21,Facilities,SafeGuard Security,Facilities services,92956.18,PO-1613,CC-362
TXN-1431,2026-02-25,Logistics,Redline Logistics LLC,Logistics services,43091.12,PO-1431,CC-743
TXN-2030,2025-07-12,Professional services,Broadview Analytics,Professional services services,67991.89,PO-2030,CC-659
TXN-1049,2025-07-03,IT services,RapidDeploy LLC,IT services services,115502.1,PO-1049,CC-849
TXN-1684,2026-03-11,Facilities,GreenSpace Facilities,Facilities services,83934.47,PO-1684,CC-813
TXN-2380,2026-01-23,MRO,FastParts Direct,MRO services,42762.84,PO-2380,CC-265
TXN-1177,2026-02-15,IT services,TechBridge Systems,IT services services,53086.9,PO-1177,CC-230
TXN-2334,2025-10-15,MRO,Grainger West,MRO services,43805.46,PO-2334,CC-147
TXN-1577,2025-09-12,Facilities,SafeGuard Security,Facilities services,82501.76,PO-1577,CC-146
TXN-1726,2025-05-13,Raw materials,Apex Electronics,Raw materials services,34214.77,PO-1726,CC-570
TXN-1808,2025-09-14,Raw materials,Heartland Polymers,Raw materials services,49103.93,PO-1808,CC-573
TXN-1245,2025-05-23,Logistics,Redline Logistics LLC,Logistics services,57814.75,PO-1245,CC-708
TXN-1559,2025-08-22,Facilities,Meridian Maintenance Group,Facilities services,85167.14,PO-1559,CC-515
TXN-2439,2026-04-06,MRO,Grainger West,MRO services,58984.14,PO-2439,CC-531
TXN-1547,2025-08-17,Facilities,ProClean Services,Facilities services,86910.23,PO-1547,CC-256
TXN-2057,2025-09-27,Professional services,Whitfield Advisory,Professional services services,51843.9,PO-2057,CC-496
TXN-1095,2025-09-20,IT services,RapidDeploy LLC,IT services services,96072.05,PO-1095,CC-926
TXN-1308,2025-08-14,Logistics,Horizon Distribution,Logistics services,54629.49,PO-1308,CC-249
TXN-1076,2025-08-13,IT services,Pinnacle IT Group,IT services services,40084.33,PO-1076,CC-371
TXN-1271,2025-06-25,Logistics,Coastal Transport Co,Logistics services,54840.5,PO-1271,CC-610
TXN-1181,2026-02-11,IT services,CloudStack Solutions,IT services services,60679.14,PO-1181,CC-316
TXN-1334,2025-09-03,Logistics,Redline Logistics LLC,Logistics services,61621.09,PO-1334,CC-244
TXN-2148,2026-01-17,Professional services,Whitfield Advisory,Professional services services,29657.07,PO-2148,CC-702
TXN-1341,2025-10-18,Logistics,Redline Logistics LLC,Logistics services,71243.89,PO-1341,CC-435
TXN-1089,2025-09-10,IT services,DataVault Inc,IT services services,93529.66,PO-1089,CC-568
TXN-1847,2025-11-20,Raw materials,Bayshore Materials,Raw materials services,54846.24,PO-1847,CC-242
TXN-2235,2025-05-18,MRO,ToolWorks Inc,MRO services,54746.96,PO-2235,CC-747
TXN-2017,2025-07-08,Professional services,Nexus Staffing,Professional services services,63328.17,PO-2017,CC-781
TXN-2061,2025-09-17,Professional services,Sterling Consulting,Professional services services,49309.75,PO-2061,CC-919
TXN-1561,2025-08-16,Facilities,Meridian Maintenance Group,Facilities services,61335.36,PO-1561,CC-575
TXN-2151,2026-01-11,Professional services,Nexus Staffing,Professional services services,53948.36,PO-2151,CC-544
TXN-1919,2026-02-24,Raw materials,Bayshore Materials,Raw materials services,73372.8,PO-1919,CC-279
TXN-1624,2025-12-24,Facilities,Meridian Maintenance Group,Facilities services,67572.44,PO-1624,CC-970
TXN-2172,2026-02-27,Professional services,Sterling Consulting,Professional services services,69227.43,PO-2172,CC-687
TXN-2433,2026-03-25,MRO,FastParts Direct,MRO services,41520.43,PO-2433,CC-481
TXN-1075,2025-08-02,IT services,DataVault Inc,IT services services,108932.62,PO-1075,CC-268
TXN-1508,2025-05-21,Facilities,SafeGuard Security,Facilities services,35029.41,PO-1508,CC-295
TXN-1626,2025-12-02,Facilities,Meridian Maintenance Group,Facilities services,93603.28,PO-1626,CC-956
TXN-2157,2026-01-21,Professional services,Sterling Consulting,Professional services services,43065.02,PO-2157,CC-361
TXN-1651,2026-01-19,Facilities,SafeGuard Security,Facilities services,37737.26,PO-1651,CC-214
TXN-1565,2025-09-15,Facilities,ProClean Services,Facilities services,53470.06,PO-1565,CC-225
TXN-2320,2025-10-28,MRO,Industrial Supply Co,MRO services,62888.96,PO-2320,CC-619
TXN-2155,2026-01-19,Professional services,Whitfield Advisory,Professional services services,60724.41,PO-2155,CC-616
TXN-1036,2025-06-15,IT services,Pinnacle IT Group,IT services services,87478.81,PO-1036,CC-641
TXN-2331,2025-10-16,MRO,Industrial Supply Co,MRO services,32472.97,PO-2331,CC-337
TXN-1336,2025-09-26,Logistics,National Carriers Inc,Logistics services,93371.71,PO-1336,CC-670
TXN-1401,2025-12-17,Logistics,Redline Logistics LLC,Logistics services,37657.31,PO-1401,CC-320
TXN-1983,2025-05-07,Professional services,Broadview Analytics,Professional services services,33106.39,PO-1983,CC-291
TXN-2055,2025-08-12,Professional services,Sterling Consulting,Professional services services,28820.52,PO-2055,CC-927
TXN-1607,2025-11-23,Facilities,SafeGuard Security,Facilities services,78653.26,PO-1607,CC-821
TXN-1261,2025-06-21,Logistics,SwiftLine Freight,Logistics services,61759.14,PO-1261,CC-552
TXN-1360,2025-10-05,Logistics,SwiftLine Freight,Logistics services,52726.52,PO-1360,CC-907
TXN-1696,2026-04-01,Facilities,SafeGuard Security,Facilities services,95111.01,PO-1696,CC-316
TXN-1176,2026-02-26,IT services,NetSecure Corp,IT services services,93304.82,PO-1176,CC-514
TXN-1256,2025-06-14,Logistics,Redline Logistics LLC,Logistics services,69875.06,PO-1256,CC-852
TXN-1728,2025-05-28,Raw materials,Pacific Aluminum,Raw materials services,69966.1,PO-1728,CC-182
TXN-2344,2025-11-11,MRO,FastParts Direct,MRO services,41318.07,PO-2344,CC-837
TXN-1881,2025-12-23,Raw materials,Apex Electronics,Raw materials services,30094.23,PO-1881,CC-451
TXN-2029,2025-07-06,Professional services,Broadview Analytics,Professional services services,60650.98,PO-2029,CC-523
TXN-1904,2026-01-18,Raw materials,Cascade Fasteners,Raw materials services,54414.66,PO-1904,CC-799
TXN-1880,2025-12-17,Raw materials,Heartland Polymers,Raw materials services,64626.52,PO-1880,CC-796
TXN-1916,2026-02-08,Raw materials,Bayshore Materials,Raw materials services,85884.38,PO-1916,CC-159
TXN-1783,2025-08-05,Raw materials,Apex Electronics,Raw materials services,69312.32,PO-1783,CC-748
TXN-2427,2026-03-04,MRO,FastParts Direct,MRO services,43241.75,PO-2427,CC-815
TXN-1225,2026-04-19,IT services,Pinnacle IT Group,IT services services,61983.74,PO-1225,CC-878
TXN-1153,2026-01-28,IT services,CloudStack Solutions,IT services services,111168.46,PO-1153,CC-888
TXN-2417,2026-03-27,MRO,FastParts Direct,MRO services,60306.52,PO-2417,CC-733
TXN-1030,2025-06-24,IT services,RapidDeploy LLC,IT services services,82935.91,PO-1030,CC-698
TXN-2158,2026-01-20,Professional services,Nexus Staffing,Professional services services,55265.36,PO-2158,CC-149
TXN-1499,2025-05-03,Facilities,ProClean Services,Facilities services,55949.18,PO-1499,CC-453
TXN-1235,2025-05-22,Logistics,Redline Logistics LLC,Logistics services,68537.71,PO-1235,CC-154
TXN-1753,2025-07-26,Raw materials,Heartland Polymers,Raw materials services,52000.0,PO-1753,CC-749
TXN-1601,2025-11-17,Facilities,ProClean Services,Facilities services,78710.33,PO-1601,CC-312
TXN-1425,2026-01-25,Logistics,Horizon Distribution,Logistics services,45918.22,PO-1425,CC-272
TXN-2200,2026-03-21,Professional services,Nexus Staffing,Professional services services,27288.17,PO-2200,CC-260
TXN-1412,2026-01-07,Logistics,Redline Logistics LLC,Logistics services,44826.93,PO-1412,CC-885
TXN-2354,2025-11-26,MRO,Grainger West,MRO services,49730.87,PO-2354,CC-696
TXN-2233,2025-05-05,MRO,Grainger West,MRO services,58944.77,PO-2233,CC-522
TXN-2168,2026-02-07,Professional services,Keystone Legal,Professional services services,65518.2,PO-2168,CC-466
TXN-1476,2026-04-18,Logistics,National Carriers Inc,Logistics services,87443.81,PO-1476,CC-205
TXN-1202,2026-03-12,IT services,CloudStack Solutions,IT services services,74518.1,PO-1202,CC-750
TXN-2365,2025-12-14,MRO,Industrial Supply Co,MRO services,54104.04,PO-2365,CC-334
TXN-2385,2026-01-09,MRO,Grainger West,MRO services,26569.51,PO-2385,CC-327
TXN-1365,2025-11-06,Logistics,Coastal Transport Co,Logistics services,52421.82,PO-1365,CC-371
TXN-2430,2026-03-09,MRO,ToolWorks Inc,MRO services,50270.24,PO-2430,CC-291
TXN-2051,2025-08-12,Professional services,Keystone Legal,Professional services services,68175.04,PO-2051,CC-291
TXN-1178,2026-02-13,IT services,RapidDeploy LLC,IT services services,82548.47,PO-1178,CC-706
TXN-2005,2025-06-06,Professional services,Broadview Analytics,Professional services services,51279.15,PO-2005,CC-602
TXN-2411,2026-02-22,MRO,ToolWorks Inc,MRO services,26789.46,PO-2411,CC-866
TXN-2443,2026-04-09,MRO,Industrial Supply Co,MRO services,32321.55,PO-2443,CC-587
TXN-1820,2025-10-22,Raw materials,Cascade Fasteners,Raw materials services,39740.26,PO-1820,CC-822
TXN-2040,2025-08-07,Professional services,Sterling Consulting,Professional services services,40895.13,PO-2040,CC-519
TXN-2279,2025-07-04,MRO,ToolWorks Inc,MRO services,45803.14,PO-2279,CC-271
TXN-1411,2026-01-20,Logistics,Redline Logistics LLC,Logistics services,45851.17,PO-1411,CC-156
TXN-2207,2026-04-04,Professional services,Broadview Analytics,Professional services services,46601.76,PO-2207,CC-609
TXN-1063,2025-08-19,IT services,TechBridge Systems,IT services services,114589.29,PO-1063,CC-690
TXN-2262,2025-06-15,MRO,ToolWorks Inc,MRO services,22842.74,PO-2262,CC-826
TXN-1849,2025-11-09,Raw materials,Cascade Fasteners,Raw materials services,50275.46,PO-1849,CC-711
TXN-2318,2025-09-05,MRO,ToolWorks Inc,MRO services,61380.49,PO-2318,CC-651
TXN-1554,2025-08-19,Facilities,SafeGuard Security,Facilities services,87637.38,PO-1554,CC-142
TXN-1733,2025-06-11,Raw materials,Apex Electronics,Raw materials services,67653.61,PO-1733,CC-679
TXN-2287,2025-08-14,MRO,FastParts Direct,MRO services,63741.94,PO-2287,CC-497
TXN-2138,2025-12-21,Professional services,Sterling Consulting,Professional services services,48595.25,PO-2138,CC-281
TXN-2047,2025-08-10,Professional services,Whitfield Advisory,Professional services services,33009.2,PO-2047,CC-183
TXN-1448,2026-02-10,Logistics,Horizon Distribution,Logistics services,55545.13,PO-1448,CC-496
TXN-2041,2025-08-24,Professional services,Nexus Staffing,Professional services services,60132.03,PO-2041,CC-653
TXN-2332,2025-10-08,MRO,Industrial Supply Co,MRO services,34530.17,PO-2332,CC-143
TXN-1143,2025-12-07,IT services,Pinnacle IT Group,IT services services,75207.49,PO-1143,CC-623
TXN-2107,2025-11-13,Professional services,Keystone Legal,Professional services services,45457.16,PO-2107,CC-972
TXN-1286,2025-07-19,Logistics,Horizon Distribution,Logistics services,85112.1,PO-1286,CC-775
TXN-1815,2025-09-11,Raw materials,Cascade Fasteners,Raw materials services,40593.08,PO-1815,CC-301
TXN-2306,2025-09-03,MRO,Industrial Supply Co,MRO services,35718.08,PO-2306,CC-356
TXN-1681,2026-03-09,Facilities,Meridian Maintenance Group,Facilities services,59635.18,PO-1681,CC-162
TXN-2348,2025-11-17,MRO,FastParts Direct,MRO services,28673.94,PO-2348,CC-140
TXN-2185,2026-03-21,Professional services,Broadview Analytics,Professional services services,63963.29,PO-2185,CC-916
TXN-1618,2025-11-02,Facilities,Meridian Maintenance Group,Facilities services,74282.49,PO-1618,CC-202
TXN-1033,2025-06-02,IT services,Pinnacle IT Group,IT services services,47169.08,PO-1033,CC-981
TXN-1148,2025-12-02,IT services,DataVault Inc,IT services services,51674.75,PO-1148,CC-350
TXN-1373,2025-11-03,Logistics,National Carriers Inc,Logistics services,36494.86,PO-1373,CC-429
TXN-2315,2025-09-15,MRO,ToolWorks Inc,MRO services,62246.6,PO-2315,CC-556
TXN-2243,2025-05-01,MRO,Industrial Supply Co,MRO services,46202.28,PO-2243,CC-490
TXN-1303,2025-08-02,Logistics,National Carriers Inc,Logistics services,87333.46,PO-1303,CC-732
TXN-1654,2026-01-07,Facilities,GreenSpace Facilities,Facilities services,40226.78,PO-1654,CC-834
TXN-1871,2025-12-06,Raw materials,Great Lakes Steel,Raw materials services,84466.49,PO-1871,CC-551
TXN-1642,2026-01-12,Facilities,ProClean Services,Facilities services,49712.5,PO-1642,CC-809
TXN-2205,2026-04-03,Professional services,Broadview Analytics,Professional services services,64809.85,PO-2205,CC-570
TXN-1886,2026-01-25,Raw materials,Apex Electronics,Raw materials services,75249.94,PO-1886,CC-995
TXN-1687,2026-03-23,Facilities,Meridian Maintenance Group,Facilities services,52270.29,PO-1687,CC-247
TXN-1379,2025-11-07,Logistics,Coastal Transport Co,Logistics services,77689.81,PO-1379,CC-540
TXN-1384,2025-12-03,Logistics,Redline Logistics LLC,Logistics services,37623.4,PO-1384,CC-195
TXN-1949,2026-03-11,Raw materials,Bayshore Materials,Raw materials services,81379.92,PO-1949,CC-101
TXN-1599,2025-10-07,Facilities,Meridian Maintenance Group,Facilities services,59596.01,PO-1599,CC-520
TXN-1867,2025-12-19,Raw materials,Pacific Aluminum,Raw materials services,49503.71,PO-1867,CC-233
TXN-1589,2025-10-17,Facilities,SafeGuard Security,Facilities services,71395.92,PO-1589,CC-948
TXN-2001,2025-06-11,Professional services,Whitfield Advisory,Professional services services,36242.99,PO-2001,CC-925
TXN-2166,2026-02-04,Professional services,Nexus Staffing,Professional services services,30396.46,PO-2166,CC-903
TXN-1791,2025-08-12,Raw materials,Heartland Polymers,Raw materials services,68403.73,PO-1791,CC-270
TXN-1187,2026-02-07,IT services,CloudStack Solutions,IT services services,115714.62,PO-1187,CC-959
TXN-1737,2025-06-19,Raw materials,Pacific Aluminum,Raw materials services,82686.6,PO-1737,CC-773
TXN-1464,2026-03-11,Logistics,Coastal Transport Co,Logistics services,34220.29,PO-1464,CC-997
TXN-2267,2025-07-17,MRO,FastParts Direct,MRO services,65820.06,PO-2267,CC-169
TXN-1119,2025-11-02,IT services,CloudStack Solutions,IT services services,70448.51,PO-1119,CC-979
TXN-1241,2025-05-02,Logistics,Horizon Distribution,Logistics services,68003.69,PO-1241,CC-724
TXN-2189,2026-03-06,Professional services,Nexus Staffing,Professional services services,57984.42,PO-2189,CC-725
TXN-2023,2025-07-24,Professional services,Broadview Analytics,Professional services services,31523.72,PO-2023,CC-179
TXN-1234,2025-05-13,Logistics,Redline Logistics LLC,Logistics services,84134.63,PO-1234,CC-603
TXN-1050,2025-07-25,IT services,Pinnacle IT Group,IT services services,105050.98,PO-1050,CC-645
TXN-1337,2025-09-13,Logistics,Horizon Distribution,Logistics services,37564.73,PO-1337,CC-114
TXN-2092,2025-10-08,Professional services,Whitfield Advisory,Professional services services,65787.74,PO-2092,CC-133
TXN-2003,2025-06-19,Professional services,Keystone Legal,Professional services services,71229.08,PO-2003,CC-245
TXN-1485,2026-04-16,Logistics,Horizon Distribution,Logistics services,90197.94,PO-1485,CC-812
TXN-2197,2026-03-22,Professional services,Nexus Staffing,Professional services services,29289.69,PO-2197,CC-844
TXN-1647,2026-01-24,Facilities,GreenSpace Facilities,Facilities services,42638.5,PO-1647,CC-720
TXN-1822,2025-10-04,Raw materials,Bayshore Materials,Raw materials services,37460.55,PO-1822,CC-344
TXN-1522,2025-06-05,Facilities,Meridian Maintenance Group,Facilities services,94834.86,PO-1522,CC-969
