Supplier_ID,Supplier_Name,Quarter,Quality_Score,Delivery_Score,Responsiveness_Score,Cost_Score,Overall_Score
SUP020,Meridian Legal,Q3 2025,77,78,78,75,77
SUP020,Meridian Legal,Q4 2025,78,78,79,76,78
SUP020,Meridian Legal,Q1 2026,78,79,79,76,78
SUP021,Crestline Accounting,Q2 2025,73,74,75,73,74
SUP021,Crestline Accounting,Q3 2025,74,75,75,74,75
SUP021,Crestline Accounting,Q4 2025,75,75,76,74,75
SUP021,Crestline Accounting,Q1 2026,76,76,76,74,76
SUP022,Catalyst Training,Q2 2025,71,72,73,70,72
SUP022,Catalyst Training,Q3 2025,72,73,73,71,72
SUP022,Catalyst Training,Q4 2025,73,73,74,71,73
SUP022,Catalyst Training,Q1 2026,73,74,74,72,73
SUP023,Regional Supply Co,Q2 2025,65,64,66,67,66
SUP023,Regional Supply Co,Q3 2025,63,62,64,65,64
SUP023,Regional Supply Co,Q4 2025,60,60,62,64,62
SUP023,Regional Supply Co,Q1 2026,58,59,61,63,60
SUP024,Heritage Painting,Q2 2025,62,64,63,65,64
SUP024,Heritage Painting,Q3 2025,60,62,62,64,62
SUP024,Heritage Painting,Q4 2025,58,60,60,63,60
SUP024,Heritage Painting,Q1 2026,56,58,59,62,59
SUP025,Summit Electrical,Q2 2025,0,0,0,0,0
SUP025,Summit Electrical,Q3 2025,0,0,0,0,0
SUP025,Summit Electrical,Q4 2025,0,0,0,0,0
SUP025,Summit Electrical,Q1 2026,75,76,78,74,76
SUP026,Greenfield Maintenance,Q2 2025,0,0,0,0,0
SUP026,Greenfield Maintenance,Q3 2025,0,0,0,0,0
SUP026,Greenfield Maintenance,Q4 2025,0,0,0,0,0
SUP026,Greenfield Maintenance,Q1 2026,72,74,75,73,74
SUP027,Agile Platforms,Q2 2025,0,0,0,0,0
SUP027,Agile Platforms,Q3 2025,0,0,0,0,0
SUP027,Agile Platforms,Q4 2025,0,0,0,0,0
SUP027,Agile Platforms,Q1 2026,73,75,76,74,75
SUP028,Midland Packaging,Q2 2025,78,76,77,75,77
SUP028,Midland Packaging,Q3 2025,77,76,78,75,77
SUP028,Midland Packaging,Q4 2025,64,63,65,62,64
SUP028,Midland Packaging,Q1 2026,63,62,64,61,63
SUP029,Ironside Recruiting,Q2 2025,68,70,69,71,70
SUP029,Ironside Recruiting,Q3 2025,67,68,68,70,68
SUP029,Ironside Recruiting,Q4 2025,65,66,66,69,67
SUP029,Ironside Recruiting,Q1 2026,66,67,67,69,67
SUP030,Precision Plumbing,Q2 2025,72,73,74,70,72
SUP030,Precision Plumbing,Q3 2025,72,73,73,71,72
SUP030,Precision Plumbing,Q4 2025,71,72,73,71,72
SUP030,Precision Plumbing,Q1 2026,72,72,73,71,72
