transaction_id,date,initiative_id,initiative_name,category,rate_applied,baseline_rate,volume,amount_usd,savings_usd
TXN050030,2026-03-26,SAV-001,Steel Consolidation,raw-materials,646.2056,720,310.7,200776.08,22927.91
TXN050124,2026-03-26,SAV-002,Logistics RFP,logistics,2.6299,3.2,19009.23,49992.37,10836.59
TXN050125,2026-03-27,SAV-002,Logistics RFP,logistics,2.7795,3.2,20690.14,57508.24,8700.87
TXN050378,2026-03-27,SAV-005,Consulting Rate Card,professional-services,241.236,285,439.01,105905.02,19212.84
TXN050031,2026-03-28,SAV-001,Steel Consolidation,raw-materials,638.1997,720,277.22,176921.72,22676.67
TXN050126,2026-03-28,SAV-002,Logistics RFP,logistics,2.7305,3.2,17342.85,47354.65,8142.35
TXN050215,2026-03-28,SAV-003,IT License Rationalization,it-services,35.861,45,1339.66,1601.38,12243.22
TXN050297,2026-03-28,SAV-004,Facilities Rebid,facilities,2.4051,2.8,14895.68,35825.6,5882.19
TXN050298,2026-03-28,SAV-004,Facilities Rebid,facilities,2.3866,2.8,18039.81,43053.81,7458.15
TXN050379,2026-03-28,SAV-005,Consulting Rate Card,professional-services,242.113,285,425.77,103084.45,18259.98
TXN050032,2026-03-29,SAV-001,Steel Consolidation,raw-materials,655.3165,720,311.03,203823.09,20118.52
TXN050127,2026-03-31,SAV-002,Logistics RFP,logistics,2.64,3.2,21947.99,57942.69,12290.36
TXN050216,2026-03-31,SAV-003,IT License Rationalization,it-services,36.5711,45,1265.41,1542.58,10665.99
TXN050299,2026-03-31,SAV-004,Facilities Rebid,facilities,2.2719,2.8,16293.7,37017.66,8605.27
TXN050380,2026-03-31,SAV-005,Consulting Rate Card,professional-services,240.8972,285,434.11,104575.88,19145.49
TXN050033,2026-04-03,SAV-001,Steel Consolidation,raw-materials,637.742,720,259.25,165334.61,21325.38
TXN050217,2026-04-04,SAV-003,IT License Rationalization,it-services,36.4491,45,1081.3,1313.75,9246.06
TXN050381,2026-04-04,SAV-005,Consulting Rate Card,professional-services,262.6797,285,292.72,76891.6,6533.61
TXN050128,2026-04-05,SAV-002,Logistics RFP,logistics,2.6542,3.2,18628.58,49443.98,10167.14
TXN050300,2026-04-05,SAV-004,Facilities Rebid,facilities,2.4053,2.8,19999.86,48105.66,7893.73
TXN050034,2026-04-07,SAV-001,Steel Consolidation,raw-materials,649.9342,720,284.46,184880.28,19930.93
TXN050129,2026-04-07,SAV-002,Logistics RFP,logistics,2.6667,3.2,20154.02,53744.73,10747.16
TXN050035,2026-04-08,SAV-001,Steel Consolidation,raw-materials,641.4687,720,248.45,159372.9,19511.1
TXN050382,2026-04-08,SAV-005,Consulting Rate Card,professional-services,246.3222,285,352.51,86831.04,13634.3
TXN050219,2026-04-09,SAV-003,IT License Rationalization,it-services,33.7386,45,1342.46,1509.76,15117.94
TXN050218,2026-04-10,SAV-003,IT License Rationalization,it-services,36.906,45,1129.12,1389.04,9139.15
TXN050301,2026-04-11,SAV-004,Facilities Rebid,facilities,2.4171,2.8,16128.56,38984.34,6176.32
TXN050383,2026-04-11,SAV-005,Consulting Rate Card,professional-services,269.927,285,346.62,93562.1,5224.61
TXN050384,2026-04-11,SAV-005,Consulting Rate Card,professional-services,260.7045,285,404.95,105572.29,9838.48
TXN050302,2026-04-12,SAV-004,Facilities Rebid,facilities,2.6078,2.8,15497.55,40414.51,2979.13
TXN050130,2026-04-13,SAV-002,Logistics RFP,logistics,2.7008,3.2,16579.06,44776.73,8276.54
TXN050220,2026-04-13,SAV-003,IT License Rationalization,it-services,36.8825,45,1413.76,1738.1,11476.24
TXN050131,2026-04-14,SAV-002,Logistics RFP,logistics,2.7165,3.2,16746.64,45492.25,8096.63
TXN050036,2026-04-15,SAV-001,Steel Consolidation,raw-materials,642.7736,720,351.71,226069.9,27161.29
TXN050038,2026-04-15,SAV-001,Steel Consolidation,raw-materials,654.2455,720,269.83,176535.06,17742.53
TXN050132,2026-04-15,SAV-002,Logistics RFP,logistics,2.718,3.2,14051.46,38191.87,6772.12
TXN050385,2026-04-15,SAV-005,Consulting Rate Card,professional-services,239.0371,285,308.53,73750.12,14180.94
TXN050221,2026-04-16,SAV-003,IT License Rationalization,it-services,36.4211,45,1555.9,1888.92,13347.92
TXN050303,2026-04-17,SAV-004,Facilities Rebid,facilities,2.3552,2.8,20343.96,47914.09,9049.15
TXN050037,2026-04-18,SAV-001,Steel Consolidation,raw-materials,651.747,720,212.1,138235.54,14476.46
TXN050133,2026-04-18,SAV-002,Logistics RFP,logistics,2.7048,3.2,19825.53,53624.09,9816.89
TXN050386,2026-04-18,SAV-005,Consulting Rate Card,professional-services,246.7425,285,353.94,87332.04,13540.87
TXN050304,2026-04-21,SAV-004,Facilities Rebid,facilities,2.3987,2.8,19257.61,46193.23,7729.01
TXN050222,2026-04-22,SAV-003,IT License Rationalization,it-services,41.3146,45,1332.94,1835.66,4912.42
TXN050387,2026-04-22,SAV-005,Consulting Rate Card,professional-services,247.3939,285,318.95,78906.28,11994.46
TXN050039,2026-04-23,SAV-001,Steel Consolidation,raw-materials,654.1985,720,312.45,204404.32,20559.68
TXN050305,2026-04-23,SAV-004,Facilities Rebid,facilities,2.3843,2.8,22175.49,52873.02,9219.13
TXN050041,2026-04-24,SAV-001,Steel Consolidation,raw-materials,637.8776,720,214.46,136799.23,17611.97
TXN050134,2026-04-25,SAV-002,Logistics RFP,logistics,2.7939,3.2,22017.73,61515.34,8940.38
TXN050223,2026-04-25,SAV-003,IT License Rationalization,it-services,41.2197,45,1639.19,2252.23,6196.57
TXN050040,2026-04-26,SAV-001,Steel Consolidation,raw-materials,654.4041,720,329.57,215671.96,21618.43
TXN050388,2026-04-26,SAV-005,Consulting Rate Card,professional-services,241.2182,285,420.81,101507.03,18423.82
TXN050135,2026-04-27,SAV-002,Logistics RFP,logistics,2.7207,3.2,21673.25,58966.41,10387.3
TXN050136,2026-04-29,SAV-002,Logistics RFP,logistics,2.9667,3.2,21940.81,65091.8,5118.71
TXN050389,2026-04-29,SAV-005,Consulting Rate Card,professional-services,245.9192,285,354.98,87296.4,13872.88
TXN050224,2026-04-30,SAV-003,IT License Rationalization,it-services,36.5493,45,1023.54,1246.99,8649.67
TXN050306,2026-04-30,SAV-004,Facilities Rebid,facilities,2.5765,2.8,20390.95,52537.28,4558.39
TXN050042,2026-05-01,SAV-001,Steel Consolidation,raw-materials,654.276,720,215.62,141074.99,14171.4
TXN050043,2026-05-02,SAV-001,Steel Consolidation,raw-materials,639.1713,720,300.22,191892.01,24266.39
TXN050225,2026-05-03,SAV-003,IT License Rationalization,it-services,35.5345,45,1067.23,1264.12,10101.89
TXN050307,2026-05-03,SAV-004,Facilities Rebid,facilities,2.3641,2.8,17487.82,41342.96,7623.14
TXN050044,2026-05-04,SAV-001,Steel Consolidation,raw-materials,695.6345,720,286.55,199334.07,6981.95
TXN050391,2026-05-04,SAV-005,Consulting Rate Card,professional-services,241.6112,285,324.34,78364.18,14072.71
TXN050137,2026-05-05,SAV-002,Logistics RFP,logistics,2.9989,3.2,20796.32,62366.08,4181.81
TXN050226,2026-05-05,SAV-003,IT License Rationalization,it-services,36.7096,45,1207.01,1476.96,10006.64
TXN050390,2026-05-05,SAV-005,Consulting Rate Card,professional-services,267.8089,285,373.68,100074.83,6423.97
TXN050308,2026-05-06,SAV-004,Facilities Rebid,facilities,2.3981,2.8,22445.59,53826.77,9020.83
TXN050045,2026-05-07,SAV-001,Steel Consolidation,raw-materials,647.6807,720,252.15,163312.69,18235.32
TXN050227,2026-05-07,SAV-003,IT License Rationalization,it-services,36.2284,45,1090.93,1317.42,9569.16
TXN050139,2026-05-08,SAV-002,Logistics RFP,logistics,2.6936,3.2,21070.98,56756.79,10670.66
TXN050046,2026-05-09,SAV-001,Steel Consolidation,raw-materials,629.8464,720,286.47,180432.1,25826.31
TXN050138,2026-05-09,SAV-002,Logistics RFP,logistics,2.7476,3.2,14813.45,40701.44,6701.07
TXN050228,2026-05-09,SAV-003,IT License Rationalization,it-services,35.9615,45,1649.44,1977.21,14908.51
TXN050309,2026-05-09,SAV-004,Facilities Rebid,facilities,2.3079,2.8,23858.2,55062.34,11739.98
TXN050310,2026-05-11,SAV-004,Facilities Rebid,facilities,2.3176,2.8,26144.73,60593.03,12611.05
TXN050392,2026-05-11,SAV-005,Consulting Rate Card,professional-services,245.3462,285,434.02,106485.16,17210.53
TXN050047,2026-05-12,SAV-001,Steel Consolidation,raw-materials,654.6019,720,265.69,173921.18,17375.63
TXN050140,2026-05-12,SAV-002,Logistics RFP,logistics,2.7807,3.2,19914.16,55375.3,8349.22
TXN050394,2026-05-12,SAV-005,Consulting Rate Card,professional-services,239.7158,285,439.84,105436.6,19917.81
TXN050229,2026-05-13,SAV-003,IT License Rationalization,it-services,36.5771,45,1728.0,2106.84,14554.76
TXN050393,2026-05-13,SAV-005,Consulting Rate Card,professional-services,235.8054,285,359.4,84748.46,17680.54
TXN050141,2026-05-16,SAV-002,Logistics RFP,logistics,2.7372,3.2,17440.5,47738.14,8071.02
TXN050311,2026-05-16,SAV-004,Facilities Rebid,facilities,2.3378,2.8,22997.3,53763.09,10630.39
TXN050230,2026-05-17,SAV-003,IT License Rationalization,it-services,36.0498,45,1693.99,2035.6,15161.52
TXN050049,2026-05-18,SAV-001,Steel Consolidation,raw-materials,649.3425,720,279.53,181510.71,19750.9
TXN050143,2026-05-18,SAV-002,Logistics RFP,logistics,2.6259,3.2,22282.99,58512.9,12791.66
TXN050050,2026-05-19,SAV-001,Steel Consolidation,raw-materials,642.6243,720,342.79,220285.18,26523.62
TXN050142,2026-05-19,SAV-002,Logistics RFP,logistics,2.7261,3.2,18433.29,50250.99,8735.28
TXN050048,2026-05-20,SAV-001,Steel Consolidation,raw-materials,682.187,720,230.48,157230.46,8715.14
TXN050312,2026-05-20,SAV-004,Facilities Rebid,facilities,2.4093,2.8,18496.62,44563.91,7227.33
TXN050395,2026-05-21,SAV-005,Consulting Rate Card,professional-services,241.0055,285,337.17,81259.82,14833.61
TXN050051,2026-05-22,SAV-001,Steel Consolidation,raw-materials,650.3075,720,300.18,195209.31,20920.31
TXN050231,2026-05-23,SAV-003,IT License Rationalization,it-services,35.031,45,993.31,1159.89,9902.29
TXN050314,2026-05-23,SAV-004,Facilities Rebid,facilities,2.5958,2.8,15089.3,39168.8,3080.48
TXN050396,2026-05-23,SAV-005,Consulting Rate Card,professional-services,248.5686,285,464.45,115447.69,16920.54
TXN050144,2026-05-24,SAV-002,Logistics RFP,logistics,2.7014,3.2,13771.2,37201.52,6866.95
TXN050232,2026-05-24,SAV-003,IT License Rationalization,it-services,36.4485,45,1731.79,2104.04,14809.34
TXN050313,2026-05-24,SAV-004,Facilities Rebid,facilities,2.3748,2.8,22801.26,54148.43,9695.65
TXN050397,2026-05-27,SAV-005,Consulting Rate Card,professional-services,240.7836,285,472.65,113806.37,20898.88
TXN050398,2026-05-27,SAV-005,Consulting Rate Card,professional-services,246.0314,285,357.78,88025.11,13942.17
TXN050052,2026-05-28,SAV-001,Steel Consolidation,raw-materials,682.4579,720,208.24,142115.03,7817.77
TXN050053,2026-05-28,SAV-001,Steel Consolidation,raw-materials,637.6945,720,333.42,212620.1,27442.31
TXN050145,2026-05-28,SAV-002,Logistics RFP,logistics,2.7608,3.2,13899.29,38373.16,6105.12
TXN050146,2026-05-28,SAV-002,Logistics RFP,logistics,2.6885,3.2,17441.5,46891.47,8921.24
TXN050399,2026-05-28,SAV-005,Consulting Rate Card,professional-services,264.1282,285,318.25,84058.8,6642.45
TXN050315,2026-05-29,SAV-004,Facilities Rebid,facilities,2.3606,2.8,27276.41,64388.69,11986.36
TXN050233,2026-05-30,SAV-003,IT License Rationalization,it-services,36.9443,45,1385.27,1705.93,11159.37
TXN050147,2026-06-01,SAV-002,Logistics RFP,logistics,2.7456,3.2,18152.38,49839.17,8248.5
TXN050317,2026-06-01,SAV-004,Facilities Rebid,facilities,2.3402,2.8,20066.79,46960.3,9226.5
TXN050054,2026-06-02,SAV-001,Steel Consolidation,raw-materials,636.2387,720,311.66,198290.15,26105.05
TXN050148,2026-06-02,SAV-002,Logistics RFP,logistics,2.7315,3.2,18449.54,50394.92,8642.7
TXN050400,2026-06-02,SAV-005,Consulting Rate Card,professional-services,243.0845,285,340.25,82709.5,14261.75
TXN050234,2026-06-03,SAV-003,IT License Rationalization,it-services,33.4224,45,1038.44,1156.91,12022.65
TXN050316,2026-06-03,SAV-004,Facilities Rebid,facilities,2.3833,2.8,25370.58,60465.7,10572.77
TXN050401,2026-06-03,SAV-005,Consulting Rate Card,professional-services,242.1719,285,372.24,90146.07,15942.32
TXN050235,2026-06-04,SAV-003,IT License Rationalization,it-services,34.8846,45,1433.3,1666.67,14498.35
TXN050236,2026-06-04,SAV-003,IT License Rationalization,it-services,36.0562,45,1521.92,1829.16,13611.81
TXN050056,2026-06-08,SAV-001,Steel Consolidation,raw-materials,684.9188,720,244.91,167743.46,8591.73
