shipment_id,carrier_id,mode,from_location,to_location,total_gbp,ship_date
SH-01232,CAR007,road_temp_controlled,Manchester,Stockholm,4010.54,2025-05-15
SH-00067,CAR007,road_temp_controlled,Manchester,Oslo,3964.65,2025-05-16
SH-00276,CAR023,sea_lcl,Cardiff,Naples,1723.06,2025-05-16
SH-00580,CAR001,road_ftl,Birmingham,Munich,2662.19,2025-05-16
SH-00805,CAR001,road_ltl,Birmingham,Glasgow,761.25,2025-05-16
SH-00864,CAR009,road_pallet_network,Birmingham,Glasgow,1477.72,2025-05-16
SH-00980,CAR012,air,Heathrow,JFK New York,7050.7,2025-05-16
SH-01294,CAR005,sea_lcl,Cardiff,Naples,1639.49,2025-05-16
SH-00258,CAR003,sea_fcl,Felixstowe,Shanghai,3198.54,2025-05-17
SH-00273,CAR010,road_ftl,Manchester,Hamburg,2780.33,2025-05-17
SH-00317,CAR001,road_ftl,Birmingham,Munich,3191.11,2025-05-17
SH-00970,CAR023,sea_lcl,Cardiff,Genoa,1614.58,2025-05-17
SH-00974,CAR010,road_ftl,Birmingham,Antwerp,1807.14,2025-05-17
SH-01016,CAR023,sea_lcl,Cardiff,Genoa,1452.39,2025-05-17
SH-01215,CAR001,road_ftl,Coventry,Madrid,3587.78,2025-05-17
SH-01287,CAR018,parcel,Multiple UK,Multiple UK,11427.43,2025-05-17
SH-00311,CAR009,road_pallet_network,Birmingham,Manchester,584.53,2025-05-18
SH-00671,CAR003,sea_fcl,Felixstowe,Hong Kong,3193.29,2025-05-18
SH-01075,CAR012,air,Heathrow,Dubai,5950.35,2025-05-18
SH-01117,CAR005,sea_lcl,Cardiff,Genoa,1455.49,2025-05-18
SH-01439,CAR009,road_pallet_network,Birmingham,Manchester,372.72,2025-05-18
SH-00009,CAR010,road_ftl,Birmingham,Antwerp,2363.66,2025-05-19
SH-00089,CAR012,air,Heathrow,JFK New York,6947.35,2025-05-19
SH-00753,CAR004,air,Heathrow,Frankfurt,5081.0,2025-05-19
SH-01118,CAR012,air,Heathrow,Singapore,9453.63,2025-05-19
SH-00019,CAR005,sea_lcl,Cardiff,Naples,1646.76,2025-05-20
SH-00781,CAR023,sea_lcl,Felixstowe,Antwerp,481.13,2025-05-20
SH-00049,CAR023,sea_lcl,Cardiff,Naples,1556.8,2025-05-21
SH-00197,CAR005,sea_lcl,Cardiff,Naples,1832.53,2025-05-21
SH-00619,CAR002,road_ltl,Coventry,Lyon,1002.27,2025-05-21
SH-00665,CAR004,air,Heathrow,Singapore,9132.57,2025-05-21
SH-00701,CAR012,air,Heathrow,Singapore,8838.43,2025-05-21
SH-01020,CAR002,road_ftl,Birmingham,Hamburg,2675.85,2025-05-21
SH-01085,CAR009,road_pallet_network,Birmingham,Manchester,597.71,2025-05-21
SH-00140,CAR004,air,Heathrow,Dubai,5740.71,2025-05-22
SH-00164,CAR009,road_pallet_network,Birmingham,Newcastle,790.29,2025-05-22
SH-00394,CAR003,sea_fcl,Felixstowe,Singapore,3118.97,2025-05-22
SH-01171,CAR001,road_ltl,Birmingham,Munich,1181.45,2025-05-22
SH-01240,CAR010,road_ftl,Birmingham,Munich,2504.42,2025-05-22
SH-01415,CAR012,air,Heathrow,Dubai,6095.21,2025-05-22
SH-00039,CAR005,sea_fcl,Liverpool,New York,2831.92,2025-05-23
SH-00821,CAR001,road_ltl,Coventry,Madrid,1152.51,2025-05-23
SH-01238,CAR007,road_temp_controlled,Manchester,Hamburg,3138.14,2025-05-23
SH-01443,CAR009,road_pallet_network,Birmingham,Glasgow,1213.35,2025-05-23
SH-00014,CAR023,sea_lcl,Cardiff,Naples,1562.14,2025-05-24
SH-00346,CAR002,road_ltl,Birmingham,Lyon,1039.0,2025-05-24
SH-00592,CAR010,road_ftl,Manchester,Hamburg,2710.78,2025-05-24
SH-00640,CAR009,road_pallet_network,Birmingham,Manchester,350.63,2025-05-24
SH-01083,CAR010,road_ftl,Birmingham,Munich,2584.84,2025-05-24
SH-01105,CAR018,parcel,Multiple UK,Multiple UK,15566.74,2025-05-24
SH-01296,CAR018,parcel,Multiple UK,Multiple UK,10554.89,2025-05-24
SH-01455,CAR002,road_ltl,Birmingham,Glasgow,564.89,2025-05-24
SH-00271,CAR009,road_pallet_network,Birmingham,Manchester,466.54,2025-05-25
SH-00327,CAR010,road_ftl,Birmingham,Glasgow,1547.63,2025-05-25
SH-00145,CAR004,air,Heathrow,Singapore,9596.08,2025-05-26
SH-01197,CAR004,air,Heathrow,Dubai,5788.59,2025-05-26
SH-01249,CAR003,sea_fcl,Felixstowe,Shanghai,3346.11,2025-05-26
SH-01433,CAR007,road_temp_controlled,Manchester,Stockholm,3495.28,2025-05-26
SH-00438,CAR023,sea_lcl,Felixstowe,Antwerp,558.13,2025-05-27
SH-00611,CAR010,road_ftl,Birmingham,Hamburg,2791.9,2025-05-27
SH-01149,CAR001,road_ltl,Birmingham,Lyon,1232.15,2025-05-27
SH-00033,CAR005,sea_fcl,Felixstowe,Shanghai,3123.95,2025-05-28
SH-00209,CAR007,road_temp_controlled,Manchester,Hamburg,2577.09,2025-05-28
SH-00423,CAR009,road_pallet_network,Birmingham,Manchester,436.47,2025-05-28
SH-01389,CAR018,parcel,Multiple UK,Multiple UK,15161.12,2025-05-28
SH-00015,CAR003,sea_fcl,Felixstowe,Hong Kong,3300.58,2025-05-29
SH-00338,CAR023,sea_lcl,Cardiff,Naples,1573.71,2025-05-29
SH-01372,CAR003,sea_fcl,Felixstowe,Shanghai,3455.19,2025-05-29
SH-00269,CAR010,road_ftl,Coventry,Madrid,2950.96,2025-05-30
SH-00433,CAR014,sea_fcl,Felixstowe,Shanghai,3120.33,2025-05-30
SH-00680,CAR002,road_ftl,Coventry,Madrid,3710.8,2025-05-30
SH-00835,CAR018,parcel,Multiple UK,Multiple UK,11743.92,2025-05-30
SH-00904,CAR012,air,Heathrow,Dubai,5516.27,2025-05-30
SH-01314,CAR002,road_ftl,Manchester,Hamburg,3194.33,2025-05-30
SH-00029,CAR018,parcel,Multiple UK,Multiple UK,14391.45,2025-05-31
SH-00121,CAR014,sea_fcl,Liverpool,New York,2730.76,2025-05-31
SH-00837,CAR002,road_ltl,Coventry,Madrid,1271.08,2025-05-31
SH-01205,CAR009,road_pallet_network,Birmingham,Manchester,462.1,2025-05-31
SH-00034,CAR005,sea_lcl,Cardiff,Naples,1510.11,2025-06-01
SH-00992,CAR010,road_ftl,Coventry,Madrid,3020.72,2025-06-01
SH-00995,CAR014,sea_fcl,Felixstowe,Hong Kong,3364.51,2025-06-01
SH-01136,CAR014,sea_fcl,Felixstowe,Hong Kong,3378.07,2025-06-01
SH-01217,CAR023,sea_lcl,Cardiff,Naples,1689.67,2025-06-01
SH-00484,CAR010,road_ftl,Birmingham,Glasgow,1658.64,2025-06-02
SH-00579,CAR007,road_temp_controlled,Manchester,Oslo,4554.45,2025-06-02
SH-00659,CAR004,air,Heathrow,Singapore,10132.33,2025-06-02
SH-00825,CAR001,road_ftl,Birmingham,Munich,3100.88,2025-06-02
SH-01196,CAR014,sea_fcl,Felixstowe,Hong Kong,3180.98,2025-06-02
SH-01245,CAR012,air,Heathrow,Dubai,6291.37,2025-06-02
SH-00147,CAR010,road_ftl,Birmingham,Antwerp,1939.05,2025-06-03
SH-00460,CAR023,sea_lcl,Cardiff,Naples,1416.91,2025-06-03
SH-00474,CAR003,sea_fcl,Felixstowe,Hong Kong,3123.28,2025-06-03
SH-00623,CAR005,sea_lcl,Cardiff,Naples,1693.06,2025-06-03
SH-00749,CAR012,air,Heathrow,Frankfurt,5023.62,2025-06-03
SH-00766,CAR009,road_pallet_network,Birmingham,Manchester,583.44,2025-06-03
SH-00264,CAR012,air,Heathrow,Singapore,9890.77,2025-06-04
SH-00332,CAR007,road_temp_controlled,Manchester,Oslo,4043.94,2025-06-04
SH-00494,CAR007,road_temp_controlled,Manchester,Oslo,4084.23,2025-06-04
SH-00856,CAR003,sea_fcl,Felixstowe,Hong Kong,3393.84,2025-06-04
SH-00859,CAR001,road_ftl,Manchester,Hamburg,2365.61,2025-06-04
SH-01140,CAR009,road_pallet_network,Birmingham,Glasgow,1497.57,2025-06-04
SH-01275,CAR002,road_ftl,Birmingham,Lyon,2359.54,2025-06-04
SH-01326,CAR014,sea_fcl,Liverpool,New York,2630.25,2025-06-04
SH-01382,CAR014,sea_fcl,Liverpool,New York,2504.87,2025-06-04
SH-00323,CAR023,sea_lcl,Cardiff,Genoa,1663.54,2025-06-05
SH-00583,CAR010,road_ftl,Birmingham,Glasgow,1158.52,2025-06-05
SH-00890,CAR007,road_temp_controlled,Manchester,Oslo,3821.77,2025-06-05
SH-00993,CAR001,road_ftl,Manchester,Hamburg,3128.4,2025-06-05
SH-01081,CAR003,sea_fcl,Liverpool,New York,2605.08,2025-06-05
SH-01465,CAR023,sea_lcl,Felixstowe,Antwerp,601.74,2025-06-05
SH-00050,CAR010,road_ftl,Birmingham,Munich,3360.78,2025-06-06
SH-00099,CAR003,sea_fcl,Felixstowe,Hong Kong,3546.51,2025-06-06
SH-00582,CAR009,road_pallet_network,Birmingham,Manchester,536.51,2025-06-07
SH-01172,CAR010,road_ftl,Birmingham,Munich,2686.82,2025-06-07
SH-01417,CAR001,road_ftl,Birmingham,Glasgow,1319.61,2025-06-07
SH-00237,CAR012,air,Heathrow,Frankfurt,4472.98,2025-06-08
SH-00673,CAR009,road_pallet_network,Birmingham,Newcastle,866.94,2025-06-08
SH-01029,CAR003,sea_fcl,Felixstowe,Singapore,3178.87,2025-06-08
SH-01126,CAR001,road_ftl,Birmingham,Hamburg,2583.6,2025-06-09
SH-01298,CAR003,sea_fcl,Liverpool,New York,2738.53,2025-06-09
SH-00161,CAR007,road_temp_controlled,Manchester,Hamburg,2429.36,2025-06-10
SH-00727,CAR014,sea_fcl,Felixstowe,Singapore,3044.79,2025-06-10
SH-01306,CAR023,sea_lcl,Cardiff,Naples,1778.06,2025-06-10
SH-00272,CAR005,sea_fcl,Felixstowe,Shanghai,3322.33,2025-06-11
SH-00419,CAR007,road_temp_controlled,Manchester,Hamburg,2866.52,2025-06-11
SH-00486,CAR002,road_ftl,Coventry,Madrid,3160.7,2025-06-11
SH-00617,CAR007,road_temp_controlled,Manchester,Oslo,4452.48,2025-06-11
SH-01397,CAR018,parcel,Multiple UK,Multiple UK,14030.03,2025-06-11
SH-00002,CAR012,air,Heathrow,Dubai,5431.78,2025-06-12
SH-00130,CAR012,air,Heathrow,Dubai,6192.93,2025-06-12
SH-00167,CAR012,air,Heathrow,Frankfurt,4841.8,2025-06-12
SH-00445,CAR003,sea_fcl,Liverpool,New York,2823.57,2025-06-12
SH-00552,CAR005,sea_fcl,Felixstowe,Shanghai,3316.81,2025-06-12
SH-00608,CAR007,road_temp_controlled,Manchester,Stockholm,4111.65,2025-06-12
SH-01129,CAR012,air,Heathrow,Dubai,5967.79,2025-06-12
SH-01380,CAR001,road_ltl,Birmingham,Lyon,1127.3,2025-06-12
SH-00235,CAR005,sea_fcl,Liverpool,New York,2607.99,2025-06-13
SH-00279,CAR012,air,Heathrow,Singapore,8892.28,2025-06-13
SH-00941,CAR012,air,Heathrow,JFK New York,7197.05,2025-06-13
SH-00006,CAR003,sea_fcl,Felixstowe,Shanghai,3046.37,2025-06-14
SH-00370,CAR014,sea_fcl,Felixstowe,Shanghai,3064.33,2025-06-14
SH-00996,CAR018,parcel,Multiple UK,Multiple UK,15763.52,2025-06-14
SH-01220,CAR001,road_ftl,Birmingham,Glasgow,1674.52,2025-06-14
SH-01335,CAR001,road_ltl,Birmingham,Glasgow,483.08,2025-06-14
SH-00185,CAR023,sea_lcl,Cardiff,Naples,1445.19,2025-06-15
SH-01115,CAR012,air,Heathrow,Singapore,9000.61,2025-06-15
SH-01338,CAR005,sea_lcl,Cardiff,Naples,1685.12,2025-06-15
SH-00010,CAR010,road_ftl,Birmingham,Hamburg,3055.32,2025-06-16
SH-00287,CAR003,sea_fcl,Felixstowe,Singapore,2838.58,2025-06-16
SH-00684,CAR010,road_ftl,Birmingham,Hamburg,2762.68,2025-06-16
SH-00742,CAR012,air,Heathrow,Singapore,9389.22,2025-06-16
SH-00751,CAR023,sea_lcl,Felixstowe,Antwerp,600.71,2025-06-16
SH-00924,CAR007,road_temp_controlled,Manchester,Hamburg,2948.81,2025-06-16
SH-01227,CAR002,road_ltl,Birmingham,Munich,1104.42,2025-06-16
SH-01413,CAR007,road_temp_controlled,Manchester,Oslo,4317.39,2025-06-16
SH-00324,CAR007,road_temp_controlled,Manchester,Hamburg,2635.01,2025-06-17
SH-00593,CAR007,road_temp_controlled,Manchester,Oslo,3757.31,2025-06-17
SH-01201,CAR010,road_ftl,Manchester,Hamburg,2915.4,2025-06-17
SH-00743,CAR010,road_ftl,Birmingham,Lyon,2476.94,2025-06-18
SH-01000,CAR009,road_pallet_network,Birmingham,Newcastle,866.18,2025-06-18
SH-00262,CAR007,road_temp_controlled,Manchester,Stockholm,3836.71,2025-06-19
SH-00744,CAR009,road_pallet_network,Birmingham,Manchester,371.92,2025-06-19
SH-01054,CAR007,road_temp_controlled,Manchester,Stockholm,4179.11,2025-06-19
SH-01221,CAR007,road_temp_controlled,Manchester,Hamburg,2451.17,2025-06-19
SH-01401,CAR014,sea_fcl,Liverpool,New York,2509.0,2025-06-19
SH-01451,CAR023,sea_lcl,Felixstowe,Antwerp,577.13,2025-06-19
SH-01474,CAR003,sea_fcl,Felixstowe,Hong Kong,3535.81,2025-06-19
SH-00117,CAR003,sea_fcl,Felixstowe,Singapore,3282.36,2025-06-20
SH-00229,CAR001,road_ltl,Manchester,Hamburg,1158.71,2025-06-20
SH-00366,CAR010,road_ftl,Birmingham,Glasgow,1475.68,2025-06-20
SH-00654,CAR003,sea_fcl,Felixstowe,Hong Kong,3228.33,2025-06-20
SH-01333,CAR001,road_ltl,Manchester,Hamburg,943.81,2025-06-20
SH-01355,CAR023,sea_lcl,Cardiff,Genoa,1684.0,2025-06-20
SH-01031,CAR018,parcel,Multiple UK,Multiple UK,12059.63,2025-06-21
SH-01266,CAR012,air,Heathrow,Singapore,10043.17,2025-06-21
SH-00760,CAR010,road_ftl,Manchester,Hamburg,3120.4,2025-06-22
SH-01332,CAR023,sea_lcl,Cardiff,Naples,1781.51,2025-06-22
SH-00115,CAR010,road_ftl,Birmingham,Lyon,2526.2,2025-06-23
SH-00233,CAR004,air,Heathrow,Frankfurt,5034.48,2025-06-23
SH-00774,CAR004,air,Heathrow,Singapore,9802.28,2025-06-23
SH-00075,CAR005,sea_fcl,Felixstowe,Hong Kong,3569.62,2025-06-24
SH-00210,CAR010,road_ftl,Birmingham,Glasgow,1554.47,2025-06-24
SH-00211,CAR002,road_ltl,Coventry,Lyon,1278.13,2025-06-24
SH-01180,CAR003,sea_fcl,Felixstowe,Shanghai,3321.13,2025-06-24
SH-01345,CAR012,air,Heathrow,Frankfurt,4662.49,2025-06-24
SH-00411,CAR004,air,Heathrow,JFK New York,6862.12,2025-06-25
SH-00449,CAR004,air,Heathrow,JFK New York,7737.16,2025-06-25
SH-00543,CAR018,parcel,Multiple UK,Multiple UK,15191.74,2025-06-25
SH-01234,CAR005,sea_lcl,Cardiff,Naples,1517.82,2025-06-25
SH-01362,CAR009,road_pallet_network,Birmingham,Manchester,586.44,2025-06-25
SH-00912,CAR018,parcel,Multiple UK,Multiple UK,14673.63,2025-06-26
SH-00093,CAR003,sea_fcl,Felixstowe,Shanghai,3278.7,2025-06-27
SH-00217,CAR005,sea_fcl,Felixstowe,Hong Kong,3194.9,2025-06-27
SH-00340,CAR012,air,Heathrow,Singapore,9512.26,2025-06-27
SH-00359,CAR014,sea_fcl,Felixstowe,Hong Kong,3220.87,2025-06-27
SH-00931,CAR005,sea_fcl,Felixstowe,Hong Kong,3109.92,2025-06-27
SH-00571,CAR018,parcel,Multiple UK,Multiple UK,10840.08,2025-06-28
SH-00178,CAR005,sea_lcl,Felixstowe,Antwerp,730.85,2025-06-29
SH-00678,CAR003,sea_fcl,Felixstowe,Singapore,3204.23,2025-06-29
SH-00717,CAR018,parcel,Multiple UK,Multiple UK,10585.62,2025-06-30
SH-00783,CAR014,sea_fcl,Felixstowe,Singapore,3165.25,2025-06-30
SH-00863,CAR002,road_ftl,Birmingham,Munich,2643.67,2025-06-30
SH-01466,CAR018,parcel,Multiple UK,Multiple UK,10891.64,2025-06-30
SH-00063,CAR014,sea_fcl,Felixstowe,Shanghai,3166.78,2025-07-01
SH-00238,CAR002,road_ltl,Birmingham,Glasgow,701.64,2025-07-01
SH-00358,CAR002,road_ftl,Coventry,Madrid,3775.37,2025-07-01
SH-00873,CAR010,road_ftl,Birmingham,Hamburg,2682.24,2025-07-01
SH-00989,CAR004,air,Heathrow,Frankfurt,4435.02,2025-07-01
SH-01125,CAR001,road_ltl,Birmingham,Munich,1346.19,2025-07-01
SH-01219,CAR018,parcel,Multiple UK,Multiple UK,14207.78,2025-07-01
SH-01331,CAR002,road_ltl,Coventry,Lyon,877.66,2025-07-01
SH-01496,CAR010,road_ftl,Birmingham,Hamburg,2867.06,2025-07-01
SH-00201,CAR001,road_ltl,Coventry,Madrid,1447.74,2025-07-02
SH-00549,CAR023,sea_lcl,Cardiff,Naples,1463.44,2025-07-02
SH-00736,CAR023,sea_lcl,Cardiff,Genoa,1414.21,2025-07-02
SH-01282,CAR009,road_pallet_network,Birmingham,Manchester,425.14,2025-07-02
SH-00059,CAR009,road_pallet_network,Birmingham,Newcastle,675.22,2025-07-03
SH-00610,CAR007,road_temp_controlled,Manchester,Hamburg,2476.46,2025-07-03
SH-00734,CAR012,air,Heathrow,Dubai,6287.97,2025-07-03
SH-00841,CAR012,air,Heathrow,Singapore,9976.15,2025-07-03
SH-01089,CAR014,sea_fcl,Felixstowe,Shanghai,3146.42,2025-07-03
SH-01356,CAR002,road_ftl,Manchester,Hamburg,2430.82,2025-07-03
SH-01419,CAR014,sea_fcl,Felixstowe,Hong Kong,3325.74,2025-07-03
SH-01431,CAR005,sea_fcl,Felixstowe,Shanghai,3005.16,2025-07-03
SH-00171,CAR002,road_ltl,Birmingham,Munich,1384.94,2025-07-04
SH-00498,CAR007,road_temp_controlled,Manchester,Hamburg,3179.38,2025-07-04
SH-00951,CAR002,road_ltl,Coventry,Madrid,1413.99,2025-07-04
SH-01156,CAR012,air,Heathrow,Dubai,6374.98,2025-07-04
SH-01247,CAR003,sea_fcl,Felixstowe,Singapore,2993.67,2025-07-04
SH-01416,CAR010,road_ftl,Manchester,Hamburg,2991.02,2025-07-04
SH-01478,CAR005,sea_fcl,Felixstowe,Hong Kong,3143.82,2025-07-04
SH-00255,CAR001,road_ftl,Birmingham,Glasgow,1761.73,2025-07-05
SH-00295,CAR009,road_pallet_network,Birmingham,Glasgow,1580.76,2025-07-05
SH-00372,CAR010,road_ftl,Birmingham,Munich,2445.3,2025-07-05
SH-00395,CAR002,road_ftl,Manchester,Hamburg,2300.54,2025-07-05
SH-00001,CAR010,road_ftl,Birmingham,Glasgow,1271.42,2025-07-06
SH-00492,CAR009,road_pallet_network,Birmingham,Newcastle,769.45,2025-07-06
SH-00621,CAR018,parcel,Multiple UK,Multiple UK,12772.26,2025-07-06
SH-00515,CAR002,road_ftl,Birmingham,Hamburg,2316.07,2025-07-07
SH-00651,CAR004,air,Heathrow,Frankfurt,5149.35,2025-07-07
SH-00830,CAR005,sea_lcl,Cardiff,Naples,1837.38,2025-07-07
SH-01033,CAR003,sea_fcl,Liverpool,New York,2711.52,2025-07-07
SH-00190,CAR018,parcel,Multiple UK,Multiple UK,15476.97,2025-07-08
SH-00246,CAR023,sea_lcl,Cardiff,Genoa,1390.7,2025-07-08
SH-00437,CAR003,sea_fcl,Felixstowe,Hong Kong,3218.45,2025-07-08
SH-00568,CAR002,road_ltl,Birmingham,Glasgow,777.88,2025-07-08
SH-01155,CAR002,road_ltl,Coventry,Madrid,1489.03,2025-07-08
SH-00222,CAR014,sea_fcl,Felixstowe,Hong Kong,3529.2,2025-07-09
SH-00390,CAR009,road_pallet_network,Birmingham,Manchester,607.29,2025-07-09
SH-00794,CAR014,sea_fcl,Felixstowe,Hong Kong,3441.7,2025-07-09
SH-01050,CAR018,parcel,Multiple UK,Multiple UK,12580.39,2025-07-09
SH-01052,CAR023,sea_lcl,Cardiff,Genoa,1458.8,2025-07-09
SH-01076,CAR014,sea_fcl,Felixstowe,Singapore,2881.06,2025-07-09
SH-01246,CAR007,road_temp_controlled,Manchester,Stockholm,4290.49,2025-07-09
SH-01317,CAR001,road_ltl,Birmingham,Lyon,1107.56,2025-07-09
SH-01429,CAR012,air,Heathrow,Dubai,5580.37,2025-07-09
SH-00066,CAR018,parcel,Multiple UK,Multiple UK,13495.06,2025-07-10
SH-00091,CAR009,road_pallet_network,Birmingham,Manchester,451.9,2025-07-10
SH-00221,CAR003,sea_fcl,Felixstowe,Singapore,2964.28,2025-07-10
SH-01030,CAR002,road_ltl,Birmingham,Lyon,1276.51,2025-07-10
SH-01289,CAR003,sea_fcl,Felixstowe,Hong Kong,3589.01,2025-07-10
SH-01446,CAR023,sea_lcl,Felixstowe,Antwerp,608.18,2025-07-10
SH-00304,CAR018,parcel,Multiple UK,Multiple UK,11293.93,2025-07-11
SH-01107,CAR003,sea_fcl,Felixstowe,Hong Kong,3133.11,2025-07-11
SH-01391,CAR002,road_ltl,Manchester,Hamburg,1053.55,2025-07-11
SH-00722,CAR002,road_ftl,Birmingham,Glasgow,1389.18,2025-07-12
SH-00960,CAR004,air,Heathrow,JFK New York,7120.64,2025-07-12
SH-00962,CAR004,air,Heathrow,Frankfurt,4586.25,2025-07-12
SH-01442,CAR018,parcel,Multiple UK,Multiple UK,14582.05,2025-07-12
SH-00236,CAR004,air,Heathrow,Singapore,9324.02,2025-07-13
SH-00820,CAR018,parcel,Multiple UK,Multiple UK,14481.34,2025-07-13
SH-00977,CAR010,road_ftl,Birmingham,Munich,2755.52,2025-07-13
SH-01047,CAR023,sea_lcl,Felixstowe,Antwerp,542.49,2025-07-13
SH-01358,CAR023,sea_lcl,Cardiff,Naples,1739.6,2025-07-13
SH-01482,CAR002,road_ftl,Birmingham,Munich,2516.46,2025-07-13
SH-00005,CAR014,sea_fcl,Liverpool,New York,2570.13,2025-07-14
SH-00213,CAR023,sea_lcl,Cardiff,Naples,1771.13,2025-07-14
SH-00881,CAR003,sea_fcl,Liverpool,New York,2581.13,2025-07-14
SH-00943,CAR009,road_pallet_network,Birmingham,Glasgow,1257.47,2025-07-14
SH-01464,CAR005,sea_fcl,Felixstowe,Singapore,3123.81,2025-07-14
SH-00192,CAR018,parcel,Multiple UK,Multiple UK,14065.67,2025-07-15
