transaction_id,date,supplier_id,supplier_name,category,amount_usd,cost_center
TXN006569,2025-05-11,SUP044,Crestline Accounting,professional-services,24983.54,CC-500
TXN005001,2025-05-12,SUP001,Great Lakes Steel,raw-materials,66156.28,CC-400
TXN005002,2025-05-12,SUP001,Great Lakes Steel,raw-materials,80245.98,CC-300
TXN005076,2025-05-12,SUP003,Pacific Aluminum,raw-materials,152501.6,CC-200
TXN005722,2025-05-12,SUP021,TechForward Solutions,it-services,72968.42,CC-100
TXN006172,2025-05-12,SUP033,Greenfield Maintenance,facilities,42150.57,CC-500
TXN006241,2025-05-12,SUP035,Cornerstone Electric,facilities,41622.54,CC-500
TXN006277,2025-05-12,SUP036,SafeGuard Fire Systems,facilities,15076.16,CC-500
TXN005114,2025-05-13,SUP004,Apex Electronics,raw-materials,37802.85,CC-200
TXN005256,2025-05-13,SUP008,Frontier Plastics,raw-materials,25250.4,CC-200
TXN005620,2025-05-13,SUP018,Valley Haulage,logistics,11252.36,CC-400
TXN005874,2025-05-13,SUP025,DataVault Analytics,it-services,57804.31,CC-500
TXN005950,2025-05-13,SUP027,Quantum Hosting,it-services,12116.51,CC-500
TXN006174,2025-05-13,SUP033,Greenfield Maintenance,facilities,32521.89,CC-100
TXN005115,2025-05-14,SUP004,Apex Electronics,raw-materials,63248.21,CC-200
TXN005618,2025-05-14,SUP018,Valley Haulage,logistics,13193.33,CC-500
TXN005988,2025-05-14,SUP028,Agile Platforms,it-services,9430.81,CC-500
TXN006060,2025-05-14,SUP030,Beacon Consulting,it-services,5288.58,CC-400
TXN006427,2025-05-14,SUP040,Heritage Painting,facilities,4978.04,CC-500
TXN005430,2025-05-15,SUP013,Eagle Transport,logistics,32032.3,CC-300
TXN005797,2025-05-15,SUP023,Nexus IT Services,it-services,51331.99,CC-100
TXN005193,2025-05-16,SUP006,Summit Metals,raw-materials,55980.13,CC-100
TXN005328,2025-05-16,SUP010,Keystone Coatings,raw-materials,17559.39,CC-500
TXN005835,2025-05-16,SUP024,Pinnacle Software,it-services,37022.62,CC-500
TXN005987,2025-05-16,SUP028,Agile Platforms,it-services,7187.17,CC-500
TXN006349,2025-05-16,SUP038,Precision Plumbing,facilities,12399.81,CC-500
TXN006604,2025-05-16,SUP045,Vanguard Staffing,professional-services,15300.42,CC-100
TXN006642,2025-05-16,SUP046,Catalyst Training,professional-services,17201.3,CC-500
TXN006780,2025-05-16,SUP050,Clearpath Compliance,professional-services,3745.0,CC-500
TXN005075,2025-05-17,SUP003,Pacific Aluminum,raw-materials,139823.89,CC-300
TXN005723,2025-05-17,SUP021,TechForward Solutions,it-services,55870.73,CC-300
TXN006099,2025-05-17,SUP031,National Facilities Group,facilities,52675.01,CC-300
TXN006350,2025-05-17,SUP038,Precision Plumbing,facilities,18684.33,CC-200
TXN005225,2025-05-18,SUP007,Liberty Composites,raw-materials,25681.65,CC-300
TXN005288,2025-05-19,SUP009,Harbor Wire,raw-materials,16263.78,CC-400
TXN005359,2025-05-19,SUP011,Continental Freight,logistics,186102.24,CC-200
TXN005395,2025-05-19,SUP012,Patriot Logistics,logistics,81464.11,CC-500
TXN005762,2025-05-19,SUP022,CloudBridge Systems,it-services,63690.59,CC-400
TXN006061,2025-05-19,SUP030,Beacon Consulting,it-services,4566.57,CC-100
TXN006062,2025-05-19,SUP030,Beacon Consulting,it-services,4887.53,CC-200
TXN006138,2025-05-19,SUP032,Metro Building Services,facilities,45039.7,CC-300
TXN006207,2025-05-19,SUP034,Atlas HVAC,facilities,59433.06,CC-200
TXN005511,2025-05-20,SUP015,Summit Shipping,logistics,38212.56,CC-100
TXN005796,2025-05-20,SUP023,Nexus IT Services,it-services,40408.25,CC-100
TXN005836,2025-05-20,SUP024,Pinnacle Software,it-services,47757.26,CC-500
TXN006315,2025-05-20,SUP037,ClearView Janitorial,facilities,12318.5,CC-100
TXN005393,2025-05-21,SUP012,Patriot Logistics,logistics,77194.24,CC-100
TXN005763,2025-05-21,SUP022,CloudBridge Systems,it-services,64172.19,CC-300
TXN006429,2025-05-21,SUP040,Heritage Painting,facilities,5651.48,CC-300
TXN006501,2025-05-21,SUP042,Sterling Advisory,professional-services,70961.04,CC-300
TXN006742,2025-05-21,SUP049,Northstar Audit,professional-services,8893.2,CC-100
TXN005149,2025-05-22,SUP005,Cascade Fasteners,raw-materials,64672.72,CC-500
TXN006137,2025-05-22,SUP032,Metro Building Services,facilities,53895.87,CC-400
TXN006643,2025-05-22,SUP046,Catalyst Training,professional-services,23081.86,CC-100
TXN006778,2025-05-22,SUP050,Clearpath Compliance,professional-services,3814.34,CC-300
TXN005329,2025-05-23,SUP010,Keystone Coatings,raw-materials,19264.56,CC-500
TXN005546,2025-05-23,SUP016,Gateway Freight,logistics,25357.04,CC-300
TXN006533,2025-05-23,SUP043,Meridian Legal,professional-services,57955.04,CC-100
TXN005224,2025-05-24,SUP007,Liberty Composites,raw-materials,41089.36,CC-300
TXN006024,2025-05-24,SUP029,Redstone Cloud,it-services,15650.42,CC-100
TXN006603,2025-05-24,SUP045,Vanguard Staffing,professional-services,23775.24,CC-500
TXN006707,2025-05-24,SUP048,Ironside Recruiting,professional-services,19894.39,CC-200
TXN005399,2025-05-26,SUP012,Patriot Logistics,logistics,59792.12,CC-300
TXN005474,2025-05-26,SUP014,Horizon Carriers,logistics,27431.71,CC-200
TXN006140,2025-05-26,SUP032,Metro Building Services,facilities,47352.83,CC-300
TXN006318,2025-05-26,SUP037,ClearView Janitorial,facilities,9814.6,CC-100
TXN006782,2025-05-26,SUP050,Clearpath Compliance,professional-services,6876.41,CC-400
TXN005078,2025-05-27,SUP003,Pacific Aluminum,raw-materials,100199.49,CC-200
TXN005119,2025-05-27,SUP004,Apex Electronics,raw-materials,126912.81,CC-500
TXN005154,2025-05-27,SUP005,Cascade Fasteners,raw-materials,27269.33,CC-200
TXN005473,2025-05-27,SUP014,Horizon Carriers,logistics,26907.63,CC-400
TXN005916,2025-05-27,SUP026,CyberShield Security,it-services,14028.93,CC-300
TXN006709,2025-05-27,SUP048,Ironside Recruiting,professional-services,10250.22,CC-500
TXN006710,2025-05-27,SUP048,Ironside Recruiting,professional-services,7563.73,CC-400
TXN005006,2025-05-28,SUP001,Great Lakes Steel,raw-materials,153558.17,CC-100
TXN005621,2025-05-28,SUP018,Valley Haulage,logistics,18648.23,CC-500
TXN005654,2025-05-28,SUP019,Lakeshore Drayage,logistics,18101.7,CC-400
TXN006028,2025-05-28,SUP029,Redstone Cloud,it-services,6224.67,CC-500
TXN006391,2025-05-28,SUP039,Eastside Landscaping,facilities,5135.71,CC-200
TXN006745,2025-05-28,SUP049,Northstar Audit,professional-services,6167.49,CC-300
TXN005583,2025-05-29,SUP017,Prairie Express,logistics,12080.89,CC-200
TXN005877,2025-05-29,SUP025,DataVault Analytics,it-services,28491.32,CC-500
TXN006393,2025-05-29,SUP039,Eastside Landscaping,facilities,6789.24,CC-300
TXN006503,2025-05-29,SUP042,Sterling Advisory,professional-services,53133.76,CC-400
TXN006746,2025-05-29,SUP049,Northstar Audit,professional-services,9008.12,CC-400
TXN005077,2025-05-30,SUP003,Pacific Aluminum,raw-materials,156188.54,CC-400
TXN005584,2025-05-30,SUP017,Prairie Express,logistics,13989.2,CC-400
TXN006176,2025-05-30,SUP033,Greenfield Maintenance,facilities,34305.59,CC-100
TXN006317,2025-05-30,SUP037,ClearView Janitorial,facilities,13230.22,CC-300
TXN006352,2025-05-30,SUP038,Precision Plumbing,facilities,10112.63,CC-200
TXN006747,2025-05-30,SUP049,Northstar Audit,professional-services,9868.02,CC-500
TXN005361,2025-05-31,SUP011,Continental Freight,logistics,58747.8,CC-300
TXN005363,2025-05-31,SUP011,Continental Freight,logistics,72060.43,CC-400
TXN005655,2025-05-31,SUP019,Lakeshore Drayage,logistics,22783.82,CC-500
TXN005726,2025-05-31,SUP021,TechForward Solutions,it-services,93534.95,CC-300
TXN005513,2025-06-01,SUP015,Summit Shipping,logistics,42227.27,CC-100
TXN005801,2025-06-01,SUP023,Nexus IT Services,it-services,44219.14,CC-100
TXN006063,2025-06-01,SUP030,Beacon Consulting,it-services,11725.07,CC-300
TXN006142,2025-06-01,SUP032,Metro Building Services,facilities,52305.61,CC-500
TXN006537,2025-06-01,SUP043,Meridian Legal,professional-services,48777.45,CC-400
TXN005005,2025-06-02,SUP001,Great Lakes Steel,raw-materials,227497.55,CC-200
TXN005290,2025-06-02,SUP009,Harbor Wire,raw-materials,21770.78,CC-300
TXN005550,2025-06-02,SUP016,Gateway Freight,logistics,21401.54,CC-500
TXN005622,2025-06-02,SUP018,Valley Haulage,logistics,18095.57,CC-400
TXN006677,2025-06-02,SUP047,Blueprint Marketing,professional-services,10600.74,CC-200
TXN005331,2025-06-03,SUP010,Keystone Coatings,raw-materials,10919.06,CC-100
TXN005362,2025-06-03,SUP011,Continental Freight,logistics,74690.58,CC-100
TXN005913,2025-06-03,SUP026,CyberShield Security,it-services,13777.79,CC-500
TXN006102,2025-06-03,SUP031,National Facilities Group,facilities,49479.87,CC-200
TXN006281,2025-06-03,SUP036,SafeGuard Fire Systems,facilities,34610.47,CC-100
TXN006608,2025-06-03,SUP045,Vanguard Staffing,professional-services,34704.34,CC-100
TXN006678,2025-06-03,SUP047,Blueprint Marketing,professional-services,7928.28,CC-100
TXN005042,2025-06-04,SUP002,Heartland Polymers,raw-materials,75805.51,CC-500
TXN005292,2025-06-04,SUP009,Harbor Wire,raw-materials,18090.89,CC-500
TXN006175,2025-06-04,SUP033,Greenfield Maintenance,facilities,35757.17,CC-300
TXN006319,2025-06-04,SUP037,ClearView Janitorial,facilities,10508.73,CC-100
TXN006469,2025-06-04,SUP041,Whitfield Consulting,professional-services,84161.99,CC-200
TXN006101,2025-06-05,SUP031,National Facilities Group,facilities,55740.84,CC-500
TXN006211,2025-06-05,SUP034,Atlas HVAC,facilities,18222.57,CC-100
TXN006320,2025-06-05,SUP037,ClearView Janitorial,facilities,8941.9,CC-500
TXN006468,2025-06-05,SUP041,Whitfield Consulting,professional-services,90579.82,CC-500
TXN006644,2025-06-05,SUP046,Catalyst Training,professional-services,21397.62,CC-100
TXN005043,2025-06-06,SUP002,Heartland Polymers,raw-materials,66843.47,CC-400
TXN005152,2025-06-06,SUP005,Cascade Fasteners,raw-materials,43236.72,CC-200
TXN005228,2025-06-06,SUP007,Liberty Composites,raw-materials,31650.25,CC-500
TXN005992,2025-06-06,SUP028,Agile Platforms,it-services,12473.32,CC-500
TXN006432,2025-06-06,SUP040,Heritage Painting,facilities,7328.2,CC-500
TXN005291,2025-06-07,SUP009,Harbor Wire,raw-materials,20683.62,CC-300
TXN005397,2025-06-07,SUP012,Patriot Logistics,logistics,59077.71,CC-500
TXN006026,2025-06-07,SUP029,Redstone Cloud,it-services,7947.11,CC-500
TXN006210,2025-06-07,SUP034,Atlas HVAC,facilities,25411.5,CC-300
TXN006536,2025-06-07,SUP043,Meridian Legal,professional-services,41286.18,CC-500
TXN006645,2025-06-07,SUP046,Catalyst Training,professional-services,22484.94,CC-500
TXN005433,2025-06-08,SUP013,Eagle Transport,logistics,64797.72,CC-400
TXN005688,2025-06-08,SUP020,Bridgewater Cold Chain,logistics,10894.06,CC-400
TXN005799,2025-06-08,SUP023,Nexus IT Services,it-services,38260.8,CC-100
TXN005582,2025-06-09,SUP017,Prairie Express,logistics,13002.88,CC-200
TXN005915,2025-06-09,SUP026,CyberShield Security,it-services,19936.28,CC-200
TXN005227,2025-06-10,SUP007,Liberty Composites,raw-materials,26397.04,CC-500
TXN005551,2025-06-10,SUP016,Gateway Freight,logistics,28408.46,CC-200
TXN005765,2025-06-10,SUP022,CloudBridge Systems,it-services,76271.48,CC-500
TXN005991,2025-06-10,SUP028,Agile Platforms,it-services,14564.6,CC-200
TXN006029,2025-06-10,SUP029,Redstone Cloud,it-services,9152.86,CC-200
TXN006103,2025-06-10,SUP031,National Facilities Group,facilities,69805.23,CC-200
TXN006680,2025-06-10,SUP047,Blueprint Marketing,professional-services,8729.44,CC-100
TXN006711,2025-06-10,SUP048,Ironside Recruiting,professional-services,9387.82,CC-100
TXN005360,2025-06-11,SUP011,Continental Freight,logistics,60131.23,CC-400
TXN005838,2025-06-11,SUP024,Pinnacle Software,it-services,69559.06,CC-500
TXN005875,2025-06-11,SUP025,DataVault Analytics,it-services,35708.72,CC-200
TXN005953,2025-06-11,SUP027,Quantum Hosting,it-services,19728.43,CC-300
TXN006177,2025-06-11,SUP033,Greenfield Maintenance,facilities,46247.75,CC-200
TXN006244,2025-06-11,SUP035,Cornerstone Electric,facilities,27383.37,CC-100
TXN006431,2025-06-11,SUP040,Heritage Painting,facilities,6096.33,CC-500
TXN005040,2025-06-12,SUP002,Heartland Polymers,raw-materials,56197.35,CC-500
TXN005196,2025-06-12,SUP006,Summit Metals,raw-materials,85783.1,CC-200
TXN005432,2025-06-12,SUP013,Eagle Transport,logistics,58523.66,CC-400
TXN005800,2025-06-12,SUP023,Nexus IT Services,it-services,33710.87,CC-200
TXN005990,2025-06-12,SUP028,Agile Platforms,it-services,16485.22,CC-500
TXN005041,2025-06-13,SUP002,Heartland Polymers,raw-materials,66908.73,CC-200
TXN005333,2025-06-13,SUP010,Keystone Coatings,raw-materials,16422.98,CC-200
TXN005396,2025-06-13,SUP012,Patriot Logistics,logistics,50304.07,CC-300
TXN005512,2025-06-13,SUP015,Summit Shipping,logistics,43196.97,CC-300
TXN005725,2025-06-13,SUP021,TechForward Solutions,it-services,80173.35,CC-300
TXN005766,2025-06-13,SUP022,CloudBridge Systems,it-services,131935.48,CC-100
TXN006282,2025-06-13,SUP036,SafeGuard Fire Systems,facilities,27413.14,CC-200
TXN005153,2025-06-14,SUP005,Cascade Fasteners,raw-materials,37705.26,CC-500
TXN005226,2025-06-14,SUP007,Liberty Composites,raw-materials,27750.32,CC-200
TXN006430,2025-06-14,SUP040,Heritage Painting,facilities,7050.63,CC-300
TXN006505,2025-06-14,SUP042,Sterling Advisory,professional-services,60947.07,CC-500
TXN006573,2025-06-14,SUP044,Crestline Accounting,professional-services,26825.61,CC-500
TXN006027,2025-06-15,SUP029,Redstone Cloud,it-services,5333.79,CC-300
TXN006243,2025-06-15,SUP035,Cornerstone Electric,facilities,22330.36,CC-100
TXN006353,2025-06-15,SUP038,Precision Plumbing,facilities,13298.08,CC-200
TXN006535,2025-06-15,SUP043,Meridian Legal,professional-services,39594.51,CC-400
TXN005195,2025-06-16,SUP006,Summit Metals,raw-materials,77497.31,CC-100
TXN005332,2025-06-16,SUP010,Keystone Coatings,raw-materials,18830.26,CC-500
TXN005837,2025-06-16,SUP024,Pinnacle Software,it-services,76492.88,CC-500
TXN006209,2025-06-16,SUP034,Atlas HVAC,facilities,29545.76,CC-400
TXN006783,2025-06-16,SUP050,Clearpath Compliance,professional-services,10110.23,CC-100
TXN005155,2025-06-17,SUP005,Cascade Fasteners,raw-materials,33743.42,CC-400
TXN005398,2025-06-17,SUP012,Patriot Logistics,logistics,60433.55,CC-300
TXN005434,2025-06-17,SUP013,Eagle Transport,logistics,70229.55,CC-400
TXN005876,2025-06-17,SUP025,DataVault Analytics,it-services,31995.72,CC-200
TXN005952,2025-06-17,SUP027,Quantum Hosting,it-services,31231.23,CC-300
TXN006351,2025-06-17,SUP038,Precision Plumbing,facilities,11854.75,CC-500
TXN006392,2025-06-17,SUP039,Eastside Landscaping,facilities,6887.24,CC-100
TXN005552,2025-06-18,SUP016,Gateway Freight,logistics,27130.82,CC-200
TXN005581,2025-06-18,SUP017,Prairie Express,logistics,17597.07,CC-100
TXN005727,2025-06-18,SUP021,TechForward Solutions,it-services,93218.39,CC-100
TXN006212,2025-06-18,SUP034,Atlas HVAC,facilities,28931.2,CC-500
TXN006574,2025-06-18,SUP044,Crestline Accounting,professional-services,26356.05,CC-400
TXN005260,2025-06-19,SUP008,Frontier Plastics,raw-materials,51521.16,CC-100
TXN005259,2025-06-20,SUP008,Frontier Plastics,raw-materials,44758.18,CC-500
TXN005549,2025-06-20,SUP016,Gateway Freight,logistics,19301.31,CC-500
TXN005687,2025-06-20,SUP020,Bridgewater Cold Chain,logistics,11894.69,CC-100
TXN006064,2025-06-20,SUP030,Beacon Consulting,it-services,12020.7,CC-100
TXN006679,2025-06-20,SUP047,Blueprint Marketing,professional-services,8553.25,CC-400
TXN005118,2025-06-21,SUP004,Apex Electronics,raw-materials,121826.87,CC-100
TXN005798,2025-06-21,SUP023,Nexus IT Services,it-services,28177.2,CC-100
TXN006245,2025-06-21,SUP035,Cornerstone Electric,facilities,31566.99,CC-200
TXN005471,2025-06-22,SUP014,Horizon Carriers,logistics,35105.1,CC-300
TXN005914,2025-06-22,SUP026,CyberShield Security,it-services,15105.38,CC-300
TXN006141,2025-06-22,SUP032,Metro Building Services,facilities,55387.58,CC-500
TXN006504,2025-06-22,SUP042,Sterling Advisory,professional-services,46811.39,CC-300
TXN006572,2025-06-22,SUP044,Crestline Accounting,professional-services,28472.45,CC-100
TXN005472,2025-06-23,SUP014,Horizon Carriers,logistics,39295.9,CC-100
TXN006390,2025-06-23,SUP039,Eastside Landscaping,facilities,4961.17,CC-400
TXN006467,2025-06-23,SUP041,Whitfield Consulting,professional-services,72224.58,CC-200
TXN006607,2025-06-23,SUP045,Vanguard Staffing,professional-services,30340.9,CC-200
TXN006708,2025-06-23,SUP048,Ironside Recruiting,professional-services,5565.79,CC-100
TXN005334,2025-06-25,SUP010,Keystone Coatings,raw-materials,19153.22,CC-500
TXN005553,2025-06-25,SUP016,Gateway Freight,logistics,55100.44,CC-100
TXN005587,2025-06-25,SUP017,Prairie Express,logistics,29572.32,CC-200
TXN005728,2025-06-25,SUP021,TechForward Solutions,it-services,72484.18,CC-200
TXN006436,2025-06-25,SUP040,Heritage Painting,facilities,3372.79,CC-400
TXN006748,2025-06-25,SUP049,Northstar Audit,professional-services,5291.91,CC-500
TXN005008,2025-06-26,SUP001,Great Lakes Steel,raw-materials,96001.28,CC-500
TXN005080,2025-06-26,SUP003,Pacific Aluminum,raw-materials,68655.76,CC-400
TXN005262,2025-06-26,SUP008,Frontier Plastics,raw-materials,39521.14,CC-100
TXN005917,2025-06-26,SUP026,CyberShield Security,it-services,20615.98,CC-500
TXN005336,2025-06-27,SUP010,Keystone Coatings,raw-materials,13193.49,CC-500
TXN005400,2025-06-27,SUP012,Patriot Logistics,logistics,61998.91,CC-200
TXN005435,2025-06-27,SUP013,Eagle Transport,logistics,90933.38,CC-200
TXN005516,2025-06-27,SUP015,Summit Shipping,logistics,42168.09,CC-500
TXN005920,2025-06-27,SUP026,CyberShield Security,it-services,20726.17,CC-300
TXN005954,2025-06-27,SUP027,Quantum Hosting,it-services,11223.43,CC-400
TXN006283,2025-06-27,SUP036,SafeGuard Fire Systems,facilities,16539.66,CC-400
TXN006354,2025-06-27,SUP038,Precision Plumbing,facilities,10918.71,CC-100
TXN006648,2025-06-27,SUP046,Catalyst Training,professional-services,14041.35,CC-200
TXN006247,2025-06-28,SUP035,Cornerstone Electric,facilities,26965.89,CC-400
TXN005009,2025-06-29,SUP001,Great Lakes Steel,raw-materials,92605.44,CC-200
TXN005157,2025-06-29,SUP005,Cascade Fasteners,raw-materials,33629.23,CC-500
TXN005335,2025-06-29,SUP010,Keystone Coatings,raw-materials,17270.29,CC-400
TXN005957,2025-06-29,SUP027,Quantum Hosting,it-services,14829.01,CC-500
TXN006647,2025-06-29,SUP046,Catalyst Training,professional-services,22256.71,CC-200
TXN006749,2025-06-29,SUP049,Northstar Audit,professional-services,5947.07,CC-400
TXN005010,2025-06-30,SUP001,Great Lakes Steel,raw-materials,70744.41,CC-500
TXN006284,2025-06-30,SUP036,SafeGuard Fire Systems,facilities,14480.75,CC-500
TXN006355,2025-06-30,SUP038,Precision Plumbing,facilities,9400.34,CC-200
TXN005261,2025-07-01,SUP008,Frontier Plastics,raw-materials,30231.96,CC-500
TXN005476,2025-07-01,SUP014,Horizon Carriers,logistics,61266.89,CC-200
TXN006214,2025-07-01,SUP034,Atlas HVAC,facilities,41995.07,CC-100
TXN006246,2025-07-01,SUP035,Cornerstone Electric,facilities,28658.74,CC-200
TXN006321,2025-07-01,SUP037,ClearView Janitorial,facilities,22270.18,CC-300
TXN006538,2025-07-01,SUP043,Meridian Legal,professional-services,68883.53,CC-300
