supplier_id,supplier_name,quarter,quality_score,delivery_score,responsiveness_score,cost_score,innovation_score,overall_score
SUP013,Eagle Transport,2026-Q1,75.3,76.1,76.7,87.4,90.3,80.9
SUP014,Horizon Carriers,2025-Q2,75.9,71.7,76.1,77.4,74.5,75.3
SUP014,Horizon Carriers,2025-Q3,70.9,71.0,71.4,74.6,70.9,71.9
SUP014,Horizon Carriers,2025-Q4,74.6,80.1,77.7,74.7,75.4,76.3
SUP014,Horizon Carriers,2026-Q1,90.0,86.2,84.2,86.2,100,88.9
SUP015,Summit Shipping,2025-Q2,77.5,72.4,78.7,79.8,78.3,77.4
SUP015,Summit Shipping,2025-Q3,77.4,71.8,77.0,77.7,76.6,76.2
SUP015,Summit Shipping,2025-Q4,83.1,76.8,79.4,77.8,83.1,80.0
SUP015,Summit Shipping,2026-Q1,82.0,80.0,89.2,79.4,91.7,83.5
SUP016,Gateway Freight,2025-Q2,57.4,58.7,67.2,63.2,65.8,61.8
SUP016,Gateway Freight,2025-Q3,57.3,59.0,62.9,60.6,69.6,61.1
SUP016,Gateway Freight,2025-Q4,66.7,58.2,59.7,63.0,64.3,62.7
SUP016,Gateway Freight,2026-Q1,88.0,78.9,76.4,83.0,91.1,83.7
SUP017,Prairie Express,2025-Q2,76.8,77.1,70.5,71.1,74.6,74.2
SUP017,Prairie Express,2025-Q3,76.2,75.4,79.0,74.0,81.8,76.8
SUP017,Prairie Express,2025-Q4,75.4,72.8,76.2,70.1,81.9,74.7
SUP017,Prairie Express,2026-Q1,64.6,63.8,73.6,71.0,70.3,68.2
SUP018,Valley Haulage,2025-Q2,66.8,62.2,62.4,63.0,66.4,64.2
SUP018,Valley Haulage,2025-Q3,61.0,62.8,62.6,57.3,58.5,60.3
SUP018,Valley Haulage,2025-Q4,66.3,57.4,61.0,60.3,67.3,62.4
SUP018,Valley Haulage,2026-Q1,80.7,73.6,82.0,75.2,86.8,79.0
SUP019,Lakeshore Drayage,2025-Q2,70.8,68.9,72.0,70.3,70.0,70.4
SUP019,Lakeshore Drayage,2025-Q3,66.0,72.3,72.3,73.6,77.1,71.8
SUP019,Lakeshore Drayage,2025-Q4,64.8,62.2,65.2,62.9,65.8,64.0
SUP019,Lakeshore Drayage,2026-Q1,52.2,45.2,65.6,72.1,73.4,61.0
SUP020,Bridgewater Cold Chain,2025-Q2,75.2,72.7,73.4,66.6,67.0,71.0
SUP020,Bridgewater Cold Chain,2025-Q3,75.4,71.7,68.0,74.4,76.9,73.5
SUP020,Bridgewater Cold Chain,2025-Q4,73.8,67.0,72.4,70.6,67.7,70.5
SUP020,Bridgewater Cold Chain,2026-Q1,54.6,52.0,60.8,61.7,56.2,57.0
SUP021,TechForward Solutions,2025-Q2,94.7,95.3,92.3,90.7,88.7,92.6
SUP021,TechForward Solutions,2025-Q3,86.2,87.7,90.5,91.2,88.0,88.7
SUP021,TechForward Solutions,2025-Q4,88.9,88.4,92.1,89.7,97.9,90.8
SUP021,TechForward Solutions,2026-Q1,86.9,87.8,94.4,87.5,80.1,87.3
SUP022,CloudBridge Systems,2025-Q2,87.3,95.0,92.9,87.9,92.6,90.6
SUP022,CloudBridge Systems,2025-Q3,91.1,89.5,87.6,88.8,85.2,88.8
SUP022,CloudBridge Systems,2025-Q4,92.9,88.0,85.4,90.4,93.9,90.3
SUP022,CloudBridge Systems,2026-Q1,84.6,77.5,90.6,83.7,83.9,83.8
SUP023,Nexus IT Services,2025-Q2,77.4,80.3,80.5,85.6,76.0,80.3
SUP023,Nexus IT Services,2025-Q3,87.5,81.6,91.4,84.0,89.3,86.3
SUP023,Nexus IT Services,2025-Q4,82.7,81.6,83.4,79.3,77.9,81.0
SUP023,Nexus IT Services,2026-Q1,80.1,87.7,91.6,80.2,92.8,85.3
SUP024,Pinnacle Software,2025-Q2,79.4,77.8,86.8,86.6,80.5,82.2
SUP024,Pinnacle Software,2025-Q3,81.0,77.3,86.6,86.7,84.6,83.1
SUP024,Pinnacle Software,2025-Q4,86.2,81.0,83.4,80.9,86.8,83.5
SUP024,Pinnacle Software,2026-Q1,79.8,79.1,88.6,80.3,78.4,80.9
SUP025,DataVault Analytics,2025-Q2,84.3,84.4,79.0,79.5,86.3,82.6
SUP025,DataVault Analytics,2025-Q3,75.7,76.2,82.6,76.3,85.3,78.4
SUP025,DataVault Analytics,2025-Q4,81.3,75.3,85.4,76.1,87.2,80.3
SUP025,DataVault Analytics,2026-Q1,85.2,70.5,86.2,84.9,69.6,80.0
SUP026,CyberShield Security,2025-Q2,69.7,61.2,71.3,61.4,60.5,64.8
SUP026,CyberShield Security,2025-Q3,75.6,65.6,74.7,68.5,72.8,71.3
SUP026,CyberShield Security,2025-Q4,63.8,65.3,70.8,68.4,75.3,68.0
SUP026,CyberShield Security,2026-Q1,77.0,66.5,71.8,80.4,70.0,73.9
SUP027,Quantum Hosting,2025-Q2,76.7,76.3,79.0,74.2,79.8,76.8
SUP027,Quantum Hosting,2025-Q3,70.5,68.2,79.0,75.9,76.5,73.6
SUP027,Quantum Hosting,2025-Q4,68.8,69.1,68.4,70.4,65.0,68.6
SUP027,Quantum Hosting,2026-Q1,69.9,74.0,78.6,64.8,58.2,69.0
SUP028,Agile Platforms,2025-Q2,66.6,67.3,72.0,66.0,64.0,67.0
SUP028,Agile Platforms,2025-Q3,71.8,73.8,74.0,73.8,68.7,72.6
SUP028,Agile Platforms,2025-Q4,76.6,77.7,82.0,76.6,73.6,77.2
SUP028,Agile Platforms,2026-Q1,87.1,80.6,68.3,72.9,75.3,77.7
SUP029,Redstone Cloud,2025-Q2,74.8,74.3,69.4,75.0,73.4,73.7
SUP029,Redstone Cloud,2025-Q3,70.7,76.7,77.2,68.7,70.8,72.4
SUP029,Redstone Cloud,2025-Q4,70.0,73.1,68.3,75.4,70.4,71.8
SUP029,Redstone Cloud,2026-Q1,67.2,65.6,67.1,75.9,61.6,68.2
SUP030,Beacon Consulting,2025-Q2,67.1,68.1,69.5,66.8,69.7,68.0
SUP030,Beacon Consulting,2025-Q3,67.3,60.9,68.6,61.8,59.6,63.7
SUP030,Beacon Consulting,2025-Q4,63.2,62.3,63.5,57.0,54.2,60.2
SUP030,Beacon Consulting,2026-Q1,60.6,65.5,76.6,68.3,57.2,65.4
SUP031,National Facilities Group,2025-Q2,87.7,79.1,84.4,81.1,91.3,84.4
SUP031,National Facilities Group,2025-Q3,85.6,82.5,90.4,90.3,84.3,86.7
SUP031,National Facilities Group,2025-Q4,85.3,83.2,92.7,92.0,95.0,89.1
SUP031,National Facilities Group,2026-Q1,92.3,77.7,81.7,92.4,84.3,86.6
SUP032,Metro Building Services,2025-Q2,88.8,84.4,82.5,88.3,81.4,85.7
SUP032,Metro Building Services,2025-Q3,86.3,82.6,89.1,85.2,78.0,84.5
SUP032,Metro Building Services,2025-Q4,80.6,78.1,82.6,85.4,79.1,81.4
SUP032,Metro Building Services,2026-Q1,95.1,93.3,88.6,87.3,97.8,92.2
SUP033,Greenfield Maintenance,2025-Q2,77.6,79.7,79.6,80.1,86.0,80.2
SUP033,Greenfield Maintenance,2025-Q3,78.2,77.5,79.4,76.7,80.3,78.2
SUP033,Greenfield Maintenance,2025-Q4,75.2,73.4,75.4,84.0,72.8,76.7
SUP033,Greenfield Maintenance,2026-Q1,78.4,75.5,86.0,78.3,75.7,78.5
SUP034,Atlas HVAC,2025-Q2,74.9,73.7,81.5,77.9,76.6,76.7
SUP034,Atlas HVAC,2025-Q3,78.5,79.1,78.8,79.6,78.1,78.9
SUP034,Atlas HVAC,2025-Q4,76.2,79.3,76.6,77.8,74.2,77.0
SUP034,Atlas HVAC,2026-Q1,74.9,69.9,81.5,79.6,60.8,74.0
SUP035,Cornerstone Electric,2025-Q2,76.5,80.8,80.3,73.4,74.2,76.8
SUP035,Cornerstone Electric,2025-Q3,87.2,84.9,79.6,79.8,84.9,83.4
SUP035,Cornerstone Electric,2025-Q4,83.1,85.0,93.5,90.5,82.9,86.9
SUP035,Cornerstone Electric,2026-Q1,90.8,79.3,85.0,82.5,73.6,83.0
SUP036,SafeGuard Fire Systems,2025-Q2,79.8,81.1,77.3,81.7,83.5,80.7
SUP036,SafeGuard Fire Systems,2025-Q3,76.9,83.0,85.0,79.6,83.9,81.1
SUP036,SafeGuard Fire Systems,2025-Q4,79.9,71.6,75.8,79.1,77.7,77.1
SUP036,SafeGuard Fire Systems,2026-Q1,62.7,63.1,68.8,62.9,77.7,66.0
SUP037,ClearView Janitorial,2025-Q2,57.2,59.1,58.0,56.5,60.1,58.0
SUP037,ClearView Janitorial,2025-Q3,62.4,60.0,59.7,62.6,65.1,62.0
SUP037,ClearView Janitorial,2025-Q4,66.4,61.8,67.2,60.1,72.7,65.0
SUP037,ClearView Janitorial,2026-Q1,80.6,80.9,83.1,87.1,70.7,81.2
SUP038,Precision Plumbing,2025-Q2,74.6,79.6,78.9,82.5,75.7,78.4
SUP038,Precision Plumbing,2025-Q3,73.1,77.1,78.7,79.0,74.9,76.5
SUP038,Precision Plumbing,2025-Q4,77.5,78.6,79.8,82.5,73.4,78.7
SUP038,Precision Plumbing,2026-Q1,78.2,86.2,87.8,76.4,76.7,80.6
SUP039,Eastside Landscaping,2025-Q2,77.9,80.0,77.7,81.2,76.0,78.8
SUP039,Eastside Landscaping,2025-Q3,76.0,78.4,76.2,75.2,73.1,75.9
SUP039,Eastside Landscaping,2025-Q4,79.7,76.6,74.7,73.7,76.7,76.4
SUP039,Eastside Landscaping,2026-Q1,62.8,66.3,72.9,65.4,59.3,65.1
SUP040,Heritage Painting,2025-Q2,72.4,70.7,81.7,76.7,78.8,75.5
SUP040,Heritage Painting,2025-Q3,80.1,79.8,76.6,80.5,69.2,78.0
SUP040,Heritage Painting,2025-Q4,73.7,70.7,76.7,72.2,75.3,73.4
SUP040,Heritage Painting,2026-Q1,75.5,82.9,90.0,75.4,78.7,79.6
SUP041,Whitfield Consulting,2025-Q2,89.8,84.4,88.1,86.5,88.1,87.4
SUP041,Whitfield Consulting,2025-Q3,93.2,90.8,93.3,91.1,92.3,92.1
SUP041,Whitfield Consulting,2025-Q4,93.0,85.4,89.8,93.7,97.9,91.9
SUP041,Whitfield Consulting,2026-Q1,87.9,72.8,81.3,83.5,81.7,81.9
SUP042,Sterling Advisory,2025-Q2,78.7,82.9,79.0,84.7,89.8,82.8
SUP042,Sterling Advisory,2025-Q3,82.1,79.5,82.3,78.3,78.7,80.2
SUP042,Sterling Advisory,2025-Q4,87.6,83.1,88.0,79.7,87.2,84.7
SUP042,Sterling Advisory,2026-Q1,87.0,81.0,76.3,72.5,76.8,79.0
SUP043,Meridian Legal,2025-Q2,69.7,68.5,72.4,69.4,65.7,69.2
SUP043,Meridian Legal,2025-Q3,71.3,68.0,75.7,73.8,73.3,72.2
SUP043,Meridian Legal,2025-Q4,68.9,75.5,68.2,68.7,78.8,71.5
SUP043,Meridian Legal,2026-Q1,79.9,71.7,80.9,88.0,92.4,82.3
SUP044,Crestline Accounting,2025-Q2,83.8,81.1,86.8,85.2,79.9,83.5
SUP044,Crestline Accounting,2025-Q3,81.8,84.1,87.2,83.0,82.8,83.5
SUP044,Crestline Accounting,2025-Q4,85.1,84.3,82.5,83.9,84.6,84.2
SUP044,Crestline Accounting,2026-Q1,68.5,71.7,75.5,68.5,72.2,70.7
SUP045,Vanguard Staffing,2025-Q2,77.2,77.4,85.0,76.0,86.5,79.5
SUP045,Vanguard Staffing,2025-Q3,80.1,75.8,78.6,74.3,77.2,77.1
SUP045,Vanguard Staffing,2025-Q4,73.7,80.6,81.3,75.1,82.3,77.9
SUP045,Vanguard Staffing,2026-Q1,95.1,89.5,96.3,83.3,79.4,88.9
SUP046,Catalyst Training,2025-Q2,64.6,60.3,68.1,62.8,71.7,64.9
SUP046,Catalyst Training,2025-Q3,60.9,59.4,63.0,61.1,58.8,60.6
SUP046,Catalyst Training,2025-Q4,60.8,68.6,67.4,64.7,66.1,65.1
SUP046,Catalyst Training,2026-Q1,74.8,76.6,76.9,86.8,86.8,80.3
SUP047,Blueprint Marketing,2025-Q2,78.5,75.1,80.5,72.9,82.2,77.3
SUP047,Blueprint Marketing,2025-Q3,71.9,71.2,74.8,75.4,73.9,73.4
SUP047,Blueprint Marketing,2025-Q4,68.4,71.3,69.1,71.4,69.3,70.0
SUP047,Blueprint Marketing,2026-Q1,73.0,72.1,68.3,64.8,75.1,70.4
SUP048,Ironside Recruiting,2025-Q2,70.8,74.8,74.7,75.7,82.2,75.1
SUP048,Ironside Recruiting,2025-Q3,65.1,72.8,71.4,66.6,71.4,68.9
SUP048,Ironside Recruiting,2025-Q4,70.5,64.4,70.0,69.3,73.6,69.4
SUP048,Ironside Recruiting,2026-Q1,39.0,48.4,66.8,76.3,66.0,58.4
SUP049,Northstar Audit,2025-Q2,60.0,65.6,70.5,64.8,66.3,64.8
SUP049,Northstar Audit,2025-Q3,67.0,60.7,66.6,64.7,55.7,63.4
SUP049,Northstar Audit,2025-Q4,62.8,61.8,66.1,63.3,60.5,62.9
SUP049,Northstar Audit,2026-Q1,68.1,61.9,64.0,58.7,72.1,64.5
SUP050,Clearpath Compliance,2025-Q2,82.8,77.3,78.6,83.5,88.5,82.1
SUP050,Clearpath Compliance,2025-Q3,79.5,78.5,75.2,80.0,71.2,77.5
SUP050,Clearpath Compliance,2025-Q4,80.8,76.7,76.7,81.4,86.5,80.4
SUP050,Clearpath Compliance,2026-Q1,68.9,69.7,76.3,66.1,57.4,67.7
