PO_ID,LINE_NUMBER,REQ_ID,PO_DATE,SUPPLIER_ID,SUPPLIER_NAME,CATEGORY,ITEM_CODE,QUANTITY,PO_UNIT_PRICE,LINE_TOTAL,DEPT,REQUESTER,STATUS
PO-0021,1,REQ-0212,2026-04-25,SUPP-15,Magnolia Consulting LLC,Professional Services,AUDIT-DAY,1,1850.00,1850.00,IT,M. Castillo,Open
PO-0022,1,REQ-0270,2025-11-11,SUPP-55,CloudNine Hosting,IT Hardware,LAPTOP-X1,2,1180.00,2360.00,Engineering,S. Obi,Open
PO-0023,1,REQ-0326,2025-12-31,SUPP-58,Pioneer Office Direct,Office Supplies,CHAIR-EX,16,280.00,4480.00,Facilities,H. Okonkwo,Open
PO-0024,1,REQ-0272,2026-01-20,SUPP-04,Northwind Industrial LLC,Components,BRKT-1144,100,23.10,2310.00,Facilities,L. Petersen,Open
PO-0025,1,REQ-0396,2025-11-27,SUPP-09,Beacon Professional Services,Professional Services,AUDIT-DAY,3,1850.00,5550.00,HR,H. Okonkwo,Open
PO-0026,1,REQ-0157,2026-02-25,SUPP-55,CloudNine Hosting,IT Hardware,SVR-3050,2,1450.00,2900.00,IT,Y. Halverson,Open
PO-0027,1,REQ-0306,2025-11-13,SUPP-14,Redwood Office Products,Office Supplies,CHAIR-EX,35,280.00,9800.00,Operations,M. Castillo,Open
PO-0028,1,REQ-0498,2025-12-26,SUPP-08,Atlantic Steel Co,Raw Materials,STEEL-T01,11,720.00,7920.00,Operations,Z. Donovan,Open
PO-0029,1,REQ-0354,2025-12-19,SUPP-18,Riverside Electronic Components,Components,BRKT-1144,48,23.10,1108.80,HR,S. Obi,Open
PO-0030,1,REQ-0036,2026-04-25,SUPP-18,Riverside Electronic Components,Components,RESI-100,5560,0.85,4726.00,Operations,W. Espinoza,Open
PO-0031,1,REQ-0496,2026-01-11,SUPP-55,CloudNine Hosting,IT Hardware,SVR-3050,2,1450.00,2900.00,Engineering,Q. Strickland,Open
PO-0032,1,REQ-0309,2026-02-26,SUPP-58,Pioneer Office Direct,Office Supplies,TONER-77,27,145.00,3915.00,Facilities,T. Renshaw,Open
PO-0033,1,REQ-0007,2025-12-25,SUPP-02,Globex Supply Co,Components,RESI-100,24466,0.85,20796.10,HR,G. Rasmussen,Open
PO-0034,1,REQ-0216,2026-01-24,SUPP-13,Eagle Mechanical Supply,MRO Supplies,FILT-0088,2550,84.00,214200.00,Engineering,O. Beaumont,Open
PO-0035,1,REQ-0243,2026-01-03,SUPP-57,Bay Area Couriers,Logistics,EXPED-HR,804,110.00,88440.00,Engineering,B. Sutherland,Open
PO-0036,1,REQ-0226,2025-12-23,SUPP-15,Magnolia Consulting LLC,Professional Services,CONS-HR,971,175.00,169925.00,Finance,O. Beaumont,Open
PO-0037,1,REQ-0043,2026-01-28,SUPP-51,QuickParts Direct,MRO Supplies,FILT-0088,16,84.00,1344.00,Engineering,S. Obi,Open
PO-0038,1,REQ-0283,2026-03-08,SUPP-05,Summit Office Solutions,Office Supplies,PAPR-0501,73,38.50,2810.50,Sales,R. McAllister,Open
PO-0039,1,REQ-0403,2026-01-18,SUPP-55,CloudNine Hosting,IT Hardware,MNTR-2701,9,320.00,2880.00,Engineering,D. Holloway,Open
PO-0040,1,REQ-0364,2025-12-24,SUPP-18,Riverside Electronic Components,Components,BRKT-1144,5693,23.10,131508.30,Finance,W. Espinoza,Open
PO-0041,1,REQ-0021,2026-01-22,SUPP-02,Globex Supply Co,Components,RESI-100,1523,0.85,1294.55,Sales,X. Chambers,Open
PO-0042,1,REQ-0072,2025-11-10,SUPP-53,OfficeMax Local,Office Supplies,PAPR-0501,44,38.50,1694.00,Engineering,N. Caruso,Open
PO-0043,1,REQ-0145,2026-01-13,SUPP-14,Redwood Office Products,Office Supplies,PAPR-0501,49,38.50,1886.50,Sales,N. Caruso,Open
PO-0044,1,REQ-0219,2026-03-06,SUPP-12,Liberty IT Hardware Corp,IT Hardware,RTR-A55,129,485.00,62565.00,IT,A. Fontaine,Open
PO-0045,1,REQ-0276,2025-11-01,SUPP-19,Crestline Network Hardware,IT Hardware,LAPTOP-X1,2,1180.00,2360.00,Operations,K. Marquez,Open
PO-0046,1,REQ-0192,2026-04-19,SUPP-05,Summit Office Solutions,Office Supplies,TONER-77,162,145.00,23490.00,IT,X. Chambers,Open
PO-0047,1,REQ-0264,2026-01-07,SUPP-18,Riverside Electronic Components,Components,RESI-100,87816,0.85,74643.60,IT,M. Castillo,Open
PO-0048,1,REQ-0121,2026-03-05,SUPP-53,OfficeMax Local,Office Supplies,PAPR-0501,1305,38.50,50242.50,Sales,S. Obi,Open
PO-0049,1,REQ-0182,2025-12-05,SUPP-56,Ironclad Hardware,Components,RESI-100,2773,0.85,2357.05,HR,W. Espinoza,Open
PO-0050,1,REQ-0178,2025-12-24,SUPP-11,Patriot Freight Lines,Logistics,FRGHT-MIL,201,4.85,974.85,IT,Q. Strickland,Open
PO-0051,1,REQ-0490,2025-11-22,SUPP-53,OfficeMax Local,Office Supplies,PAPR-0501,81,38.50,3118.50,Engineering,T. Renshaw,Open
PO-0052,1,REQ-0109,2026-03-08,SUPP-57,Bay Area Couriers,Logistics,FRGHT-MIL,1139,4.85,5524.15,Sales,R. McAllister,Open
PO-0053,1,REQ-0061,2025-11-28,SUPP-01,Cascade Cable Systems,IT Hardware,RTR-A55,20,485.00,9700.00,Sales,Y. Halverson,Open
PO-0054,1,REQ-0372,2026-02-22,SUPP-12,Liberty IT Hardware Corp,IT Hardware,SVR-3050,34,1450.00,49300.00,IT,D. Holloway,Open
PO-0055,1,REQ-0467,2026-02-22,SUPP-07,Acme Components Inc,MRO Supplies,BELT-V40,96,41.50,3984.00,Sales,Z. Donovan,Open
PO-0056,1,REQ-0294,2026-03-25,SUPP-54,TempForce Staffing,Professional Services,LEGAL-HR,10,295.00,2950.00,Engineering,X. Chambers,Open
PO-0057,1,REQ-0454,2026-02-16,SUPP-18,Riverside Electronic Components,Components,RESI-100,275109,0.85,233842.65,Operations,R. McAllister,Open
PO-0058,1,REQ-0478,2026-01-12,SUPP-20,Vanguard Office Supply Co,Office Supplies,CHAIR-EX,2,291.62,583.24,Engineering,R. Tanaka,Open
PO-0059,1,REQ-0189,2025-11-14,SUPP-11,Patriot Freight Lines,Logistics,FRGHT-MIL,570,4.85,2764.50,HR,G. Rasmussen,Open
PO-0060,1,REQ-0479,2026-01-03,SUPP-09,Beacon Professional Services,Professional Services,LEGAL-HR,80,295.00,23600.00,HR,W. Espinoza,Open
PO-0061,1,REQ-0245,2026-01-01,SUPP-58,Pioneer Office Direct,Office Supplies,CHAIR-EX,7,280.00,1960.00,HR,A. Fontaine,Open
PO-0062,1,REQ-0391,2026-04-10,SUPP-03,Pinnacle Filtration LLC,MRO Supplies,BELT-V40,73,41.50,3029.50,IT,L. Petersen,Open
PO-0063,1,REQ-0165,2026-04-05,SUPP-18,Riverside Electronic Components,Components,BRKT-1144,767,23.10,17717.70,HR,D. Holloway,Open
PO-0064,1,REQ-0062,2026-02-22,SUPP-04,Northwind Industrial LLC,Components,CABL-2201,183,12.80,2342.40,Engineering,Q. Strickland,Open
PO-0065,1,REQ-0448,2025-11-22,SUPP-08,Atlantic Steel Co,Raw Materials,STEEL-T01,4,720.00,2880.00,Facilities,O. Beaumont,Open
PO-0066,1,REQ-0132,2026-01-15,SUPP-19,Crestline Network Hardware,IT Hardware,MNTR-2701,537,320.00,171840.00,Procurement,X. Chambers,Open
PO-0067,1,REQ-0262,2026-02-05,SUPP-18,Riverside Electronic Components,Components,CABL-2201,4253,13.50,57415.50,Facilities,E. Calloway,Open
PO-0068,1,REQ-0116,2026-01-27,SUPP-14,Redwood Office Products,Office Supplies,CHAIR-EX,221,280.00,61880.00,HR,D. Holloway,Open
PO-0069,1,REQ-0447,2025-12-25,SUPP-11,Patriot Freight Lines,Logistics,EXPED-HR,1781,110.00,195910.00,HR,R. McAllister,Open
PO-0070,1,REQ-0019,2026-02-21,SUPP-12,Liberty IT Hardware Corp,IT Hardware,LAPTOP-X1,49,1180.00,57820.00,Finance,K. Marquez,Open
PO-0071,1,REQ-0395,2025-12-11,SUPP-01,Cascade Cable Systems,IT Hardware,MNTR-2701,6,320.00,1920.00,HR,Q. Strickland,Open
PO-0072,1,REQ-0042,2026-04-01,SUPP-12,Liberty IT Hardware Corp,IT Hardware,SVR-3050,9,1450.00,13050.00,HR,A. Fontaine,Open
PO-0073,1,REQ-0282,2026-04-23,SUPP-04,Northwind Industrial LLC,Components,BRKT-1144,125,23.10,2887.50,Sales,R. Tanaka,Open
PO-0074,1,REQ-0112,2025-12-09,SUPP-08,Atlantic Steel Co,Raw Materials,POLY-RES,29,9.20,266.80,IT,H. Okonkwo,Open
PO-0075,1,REQ-0223,2025-11-08,SUPP-19,Crestline Network Hardware,IT Hardware,SVR-3050,13,1450.00,18850.00,Engineering,E. Calloway,Open
PO-0076,1,REQ-0402,2025-12-13,SUPP-02,Globex Supply Co,Components,CHIP-A12,140,18.40,2576.00,Procurement,A. Fontaine,Open
PO-0077,1,REQ-0016,2026-01-14,SUPP-12,Liberty IT Hardware Corp,IT Hardware,MNTR-2701,4,320.00,1280.00,IT,U. Vasquez,Open
PO-0078,1,REQ-0166,2026-01-23,SUPP-10,Cornerstone Facilities Group,Facilities,CLEAN-SF,739,1.40,1034.60,Procurement,M. Castillo,Open
PO-0079,1,REQ-0071,2026-02-10,SUPP-51,QuickParts Direct,MRO Supplies,FILT-0088,215,84.00,18060.00,Procurement,R. Tanaka,Open
PO-0080,1,REQ-0417,2025-11-03,SUPP-04,Northwind Industrial LLC,Components,RESI-100,4462,0.85,3792.70,Facilities,K. Marquez,Open
PO-0081,1,REQ-0315,2025-12-19,SUPP-08,Atlantic Steel Co,Raw Materials,ALUM-SQF,715,14.40,10296.00,HR,E. Calloway,Open
PO-0082,1,REQ-0317,2026-04-14,SUPP-03,Pinnacle Filtration LLC,MRO Supplies,WRNCH-022,8573,28.75,246473.75,IT,A. Fontaine,Open
PO-0083,1,REQ-0158,2025-12-25,SUPP-18,Riverside Electronic Components,Components,CABL-2201,335,12.80,4288.00,Engineering,H. Okonkwo,Open
PO-0084,1,REQ-0382,2026-04-11,SUPP-53,OfficeMax Local,Office Supplies,CHAIR-EX,500,280.00,140000.00,Operations,Q. Strickland,Open
PO-0085,1,REQ-0418,2026-04-22,SUPP-56,Ironclad Hardware,Components,CABL-2201,1387,12.80,17753.60,HR,U. Vasquez,Open
PO-0086,1,REQ-0442,2025-12-10,SUPP-14,Redwood Office Products,Office Supplies,PAPR-0501,1585,38.50,61022.50,Engineering,G. Rasmussen,Open
PO-0087,1,REQ-0257,2026-04-23,SUPP-14,Redwood Office Products,Office Supplies,CHAIR-EX,9,280.00,2520.00,Sales,V. Lindgren,Open
PO-0088,1,REQ-0287,2026-02-23,SUPP-57,Bay Area Couriers,Logistics,FRGHT-MIL,18300,4.85,88755.00,IT,G. Rasmussen,Open
PO-0089,1,REQ-0208,2026-02-16,SUPP-19,Crestline Network Hardware,IT Hardware,MNTR-2701,10,320.00,3200.00,Engineering,Q. Strickland,Open
PO-0090,1,REQ-0022,2026-03-25,SUPP-19,Crestline Network Hardware,IT Hardware,RTR-A55,8,485.00,3880.00,Finance,H. Okonkwo,Open
PO-0091,1,REQ-0207,2026-03-27,SUPP-17,Sterling Building Services,Facilities,HVAC-VST,2,425.00,850.00,Operations,H. Okonkwo,Open
PO-0092,1,REQ-0163,2025-11-29,SUPP-12,Liberty IT Hardware Corp,IT Hardware,RTR-A55,20,485.00,9700.00,Sales,X. Chambers,Open
PO-0093,1,REQ-0489,2026-02-15,SUPP-56,Ironclad Hardware,Components,BRKT-1144,12879,23.10,297504.90,Facilities,N. Caruso,Open
PO-0094,1,REQ-0414,2026-04-25,SUPP-55,CloudNine Hosting,IT Hardware,MNTR-2701,20,320.00,6400.00,Facilities,B. Sutherland,Open
PO-0095,1,REQ-0111,2026-01-14,SUPP-05,Summit Office Solutions,Office Supplies,TONER-77,24,145.00,3480.00,Operations,S. Obi,Open
PO-0096,1,REQ-0077,2025-12-12,SUPP-04,Northwind Industrial LLC,Components,CABL-2201,2753,12.80,35238.40,HR,D. Holloway,Open
PO-0097,1,REQ-0094,2026-02-10,SUPP-03,Pinnacle Filtration LLC,MRO Supplies,WRNCH-022,99,28.75,2846.25,Operations,X. Chambers,Open
PO-0098,1,REQ-0069,2026-04-01,SUPP-18,Riverside Electronic Components,Components,CHIP-A12,3300,18.40,60720.00,Procurement,L. Petersen,Open
PO-0099,1,REQ-0179,2026-01-29,SUPP-12,Liberty IT Hardware Corp,IT Hardware,SVR-3050,15,1450.00,21750.00,Finance,M. Castillo,Open
PO-0100,1,REQ-0096,2025-12-28,SUPP-20,Vanguard Office Supply Co,Office Supplies,CHAIR-EX,45,310.93,13991.85,HR,N. Caruso,Open
PO-0101,1,REQ-0380,2026-02-13,SUPP-04,Northwind Industrial LLC,Components,CABL-2201,1139,12.80,14579.20,Procurement,K. Marquez,Open
PO-0102,1,REQ-0363,2025-11-27,SUPP-19,Crestline Network Hardware,IT Hardware,SVR-3050,2,1450.00,2900.00,Operations,E. Calloway,Open
PO-0103,1,REQ-0345,2025-11-30,SUPP-14,Redwood Office Products,Office Supplies,CHAIR-EX,5,280.00,1400.00,Finance,Q. Strickland,Open
PO-0104,1,REQ-0337,2026-03-03,SUPP-07,Acme Components Inc,MRO Supplies,BELT-V40,112,41.50,4648.00,HR,B. Sutherland,Open
PO-0105,1,REQ-0361,2026-02-18,SUPP-14,Redwood Office Products,Office Supplies,CHAIR-EX,2,280.00,560.00,Finance,D. Holloway,Open
PO-0106,1,REQ-0028,2026-01-04,SUPP-13,Eagle Mechanical Supply,MRO Supplies,BELT-V40,1942,41.50,80593.00,Procurement,P. Aldridge,Open
PO-0107,1,REQ-0464,2026-04-25,SUPP-11,Patriot Freight Lines,Logistics,EXPED-HR,33,110.00,3630.00,Engineering,L. Petersen,Open
PO-0108,1,REQ-0424,2026-01-04,SUPP-17,Sterling Building Services,Facilities,CLEAN-SF,14815,1.40,20741.00,Procurement,D. Holloway,Open
PO-0109,1,REQ-0411,2025-11-18,SUPP-08,Atlantic Steel Co,Raw Materials,POLY-RES,4035,9.20,37122.00,IT,U. Vasquez,Open
PO-0110,1,REQ-0079,2026-04-25,SUPP-10,Cornerstone Facilities Group,Facilities,CLEAN-SF,5571,1.40,7799.40,Operations,U. Vasquez,Open
PO-0111,1,REQ-0305,2026-02-28,SUPP-16,Apex Polymer Group,Raw Materials,POLY-RES,512,9.20,4710.40,Engineering,O. Beaumont,Open
PO-0112,1,REQ-0236,2026-03-25,SUPP-19,Crestline Network Hardware,IT Hardware,SVR-3050,2,1450.00,2900.00,Engineering,Z. Donovan,Open
PO-0113,1,REQ-0095,2026-01-13,SUPP-19,Crestline Network Hardware,IT Hardware,SVR-3050,1,1450.00,1450.00,Procurement,R. McAllister,Open
PO-0114,1,REQ-0457,2025-12-12,SUPP-58,Pioneer Office Direct,Office Supplies,CHAIR-EX,140,280.00,39200.00,Finance,J. Whitfield,Open
PO-0115,1,REQ-0124,2026-02-05,SUPP-18,Riverside Electronic Components,Components,RESI-100,82348,0.85,69995.80,Operations,O. Beaumont,Open
PO-0116,1,REQ-0201,2026-02-23,SUPP-08,Atlantic Steel Co,Raw Materials,ALUM-SQF,6274,14.40,90345.60,Operations,H. Okonkwo,Open
PO-0117,1,REQ-0298,2025-12-30,SUPP-16,Apex Polymer Group,Raw Materials,ALUM-SQF,779,14.40,11217.60,Facilities,Y. Halverson,Open
PO-0118,1,REQ-0185,2026-02-22,SUPP-02,Globex Supply Co,Components,RESI-100,78001,0.85,66300.85,Engineering,J. Whitfield,Open
PO-0119,1,REQ-0314,2026-03-08,SUPP-51,QuickParts Direct,MRO Supplies,WRNCH-022,637,28.75,18313.75,IT,T. Renshaw,Open
PO-0120,1,REQ-0170,2026-01-11,SUPP-14,Redwood Office Products,Office Supplies,CHAIR-EX,9,280.00,2520.00,Procurement,E. Calloway,Open
PO-0121,1,REQ-0330,2026-03-21,SUPP-18,Riverside Electronic Components,Components,CHIP-A12,37,18.40,680.80,Engineering,R. Tanaka,Open
PO-0122,1,REQ-0297,2026-01-19,SUPP-17,Sterling Building Services,Facilities,HVAC-VST,31,425.00,13175.00,Procurement,P. Aldridge,Open
PO-0123,1,REQ-0410,2025-12-30,SUPP-05,Summit Office Solutions,Office Supplies,CHAIR-EX,15,280.00,4200.00,Engineering,G. Rasmussen,Open
PO-0124,1,REQ-0203,2025-12-10,SUPP-56,Ironclad Hardware,Components,CABL-2201,119,12.80,1523.20,Facilities,O. Beaumont,Open
PO-0125,1,REQ-0366,2025-12-23,SUPP-54,TempForce Staffing,Professional Services,AUDIT-DAY,9,1850.00,16650.00,Procurement,E. Calloway,Open
PO-0126,1,REQ-0167,2025-11-20,SUPP-01,Cascade Cable Systems,IT Hardware,LAPTOP-X1,8,1180.00,9440.00,Sales,H. Okonkwo,Open
PO-0127,1,REQ-0176,2026-01-25,SUPP-01,Cascade Cable Systems,IT Hardware,MNTR-2701,14,320.00,4480.00,Engineering,N. Caruso,Open
PO-0128,1,REQ-0333,2026-03-07,SUPP-09,Beacon Professional Services,Professional Services,AUDIT-DAY,1,1850.00,1850.00,Procurement,L. Petersen,Open
PO-0129,1,REQ-0198,2026-02-17,SUPP-19,Crestline Network Hardware,IT Hardware,LAPTOP-X1,1,1180.00,1180.00,Procurement,G. Rasmussen,Open
PO-0130,1,REQ-0344,2025-12-14,SUPP-12,Liberty IT Hardware Corp,IT Hardware,SVR-3050,4,1450.00,5800.00,Procurement,W. Espinoza,Open
PO-0131,1,REQ-0320,2026-03-04,SUPP-19,Crestline Network Hardware,IT Hardware,LAPTOP-X1,4,1180.00,4720.00,HR,X. Chambers,Open
PO-0132,1,REQ-0234,2025-12-28,SUPP-11,Patriot Freight Lines,Logistics,EXPED-HR,41,120.11,4924.51,IT,P. Aldridge,Open
PO-0133,1,REQ-0091,2025-12-29,SUPP-55,CloudNine Hosting,IT Hardware,SVR-3050,1,1450.00,1450.00,Facilities,Y. Halverson,Open
PO-0134,1,REQ-0008,2026-01-19,SUPP-19,Crestline Network Hardware,IT Hardware,MNTR-2701,8,320.00,2560.00,Sales,W. Espinoza,Open
PO-0135,1,REQ-0286,2025-12-05,SUPP-06,Heartland Logistics Inc,Logistics,FRGHT-MIL,4967,4.85,24089.95,Procurement,W. Espinoza,Open
PO-0136,1,REQ-0250,2026-03-11,SUPP-13,Eagle Mechanical Supply,MRO Supplies,WRNCH-022,13,28.75,373.75,Engineering,Y. Halverson,Open
PO-0137,1,REQ-0015,2026-03-18,SUPP-06,Heartland Logistics Inc,Logistics,FRGHT-MIL,18516,4.85,89802.60,Engineering,D. Holloway,Open
PO-0138,1,REQ-0324,2025-11-15,SUPP-12,Liberty IT Hardware Corp,IT Hardware,MNTR-2701,4,320.00,1280.00,Engineering,R. Tanaka,Open
PO-0139,1,REQ-0064,2026-03-16,SUPP-09,Beacon Professional Services,Professional Services,AUDIT-DAY,1,1850.00,1850.00,IT,N. Caruso,Open
PO-0140,1,REQ-0196,2026-02-03,SUPP-14,Redwood Office Products,Office Supplies,PAPR-0501,260,38.50,10010.00,HR,N. Caruso,Open
PO-0141,1,REQ-0041,2026-04-25,SUPP-18,Riverside Electronic Components,Components,CABL-2201,19,12.80,243.20,Facilities,R. Tanaka,Open
PO-0142,1,REQ-0068,2026-03-04,SUPP-57,Bay Area Couriers,Logistics,FRGHT-MIL,375,4.85,1818.75,Procurement,G. Rasmussen,Open
PO-0143,1,REQ-0171,2026-03-01,SUPP-19,Crestline Network Hardware,IT Hardware,MNTR-2701,5,320.00,1600.00,Procurement,K. Marquez,Open
PO-0144,1,REQ-0348,2026-01-25,SUPP-10,Cornerstone Facilities Group,Facilities,HVAC-VST,3,425.00,1275.00,Engineering,O. Beaumont,Open
PO-0145,1,REQ-0013,2026-01-12,SUPP-04,Northwind Industrial LLC,Components,CABL-2201,179,12.80,2291.20,HR,Z. Donovan,Open
PO-0146,1,REQ-0037,2026-04-15,SUPP-55,CloudNine Hosting,IT Hardware,SVR-3050,3,1450.00,4350.00,IT,L. Petersen,Open
PO-0147,1,REQ-0097,2026-01-19,SUPP-14,Redwood Office Products,Office Supplies,CHAIR-EX,24,280.00,6720.00,IT,Z. Donovan,Open
PO-0148,1,REQ-0336,2026-02-19,SUPP-11,Patriot Freight Lines,Logistics,EXPED-HR,36,110.00,3960.00,Facilities,W. Espinoza,Open
PO-0149,1,REQ-0271,2026-03-13,SUPP-18,Riverside Electronic Components,Components,BRKT-1144,196,23.10,4527.60,Sales,Q. Strickland,Open
PO-0150,1,REQ-0389,2026-02-26,SUPP-06,Heartland Logistics Inc,Logistics,EXPED-HR,724,110.00,79640.00,IT,D. Holloway,Open
PO-0151,1,REQ-0003,2026-04-10,SUPP-10,Cornerstone Facilities Group,Facilities,CLEAN-SF,15623,1.40,21872.20,Finance,U. Vasquez,Open
PO-0152,1,REQ-0108,2026-03-20,SUPP-13,Eagle Mechanical Supply,MRO Supplies,FILT-0088,7,84.00,588.00,Engineering,L. Petersen,Open
PO-0153,1,REQ-0073,2026-01-11,SUPP-13,Eagle Mechanical Supply,MRO Supplies,LUBE-5G,344,62.00,21328.00,IT,L. Petersen,Open
PO-0154,1,REQ-0136,2026-02-11,SUPP-56,Ironclad Hardware,Components,RESI-100,951,0.85,808.35,Engineering,R. McAllister,Open
PO-0155,1,REQ-0230,2026-02-05,SUPP-19,Crestline Network Hardware,IT Hardware,MNTR-2701,15,320.00,4800.00,IT,M. Castillo,Open
PO-0156,1,REQ-0146,2026-04-24,SUPP-52,FastShip Express LLC,Logistics,EXPED-HR,40,110.00,4400.00,Engineering,W. Espinoza,Open
PO-0157,1,REQ-0439,2025-12-29,SUPP-20,Vanguard Office Supply Co,Office Supplies,TONER-77,52,145.00,7540.00,Facilities,O. Beaumont,Open
PO-0158,1,REQ-0122,2025-11-03,SUPP-15,Magnolia Consulting LLC,Professional Services,AUDIT-DAY,7,1850.00,12950.00,Facilities,W. Espinoza,Open
PO-0159,1,REQ-0143,2025-11-30,SUPP-16,Apex Polymer Group,Raw Materials,STEEL-T01,6,720.00,4320.00,Procurement,M. Castillo,Open
PO-0160,1,REQ-0090,2025-12-18,SUPP-06,Heartland Logistics Inc,Logistics,FRGHT-MIL,500,4.85,2425.00,HR,Z. Donovan,Open
PO-0161,1,REQ-0029,2025-12-12,SUPP-58,Pioneer Office Direct,Office Supplies,PAPR-0501,31,38.50,1193.50,Operations,A. Fontaine,Open
PO-0162,1,REQ-0475,2026-03-31,SUPP-53,OfficeMax Local,Office Supplies,TONER-77,67,145.00,9715.00,HR,V. Lindgren,Open
PO-0163,1,REQ-0466,2026-02-20,SUPP-10,Cornerstone Facilities Group,Facilities,CLEAN-SF,8283,1.40,11596.20,Procurement,Z. Donovan,Open
PO-0164,1,REQ-0128,2026-04-06,SUPP-13,Eagle Mechanical Supply,MRO Supplies,WRNCH-022,520,28.75,14950.00,Facilities,U. Vasquez,Open
PO-0165,1,REQ-0381,2025-11-26,SUPP-04,Northwind Industrial LLC,Components,RESI-100,5003,0.77,3852.31,Procurement,M. Castillo,Open
PO-0166,1,REQ-0033,2025-12-30,SUPP-11,Patriot Freight Lines,Logistics,FRGHT-MIL,165,4.85,800.25,HR,W. Espinoza,Open
PO-0167,1,REQ-0088,2026-02-01,SUPP-19,Crestline Network Hardware,IT Hardware,LAPTOP-X1,2,1180.00,2360.00,Engineering,H. Okonkwo,Open
PO-0168,1,REQ-0074,2025-11-15,SUPP-18,Riverside Electronic Components,Components,BRKT-1144,7943,23.10,183483.30,IT,W. Espinoza,Open
PO-0169,1,REQ-0159,2025-11-22,SUPP-14,Redwood Office Products,Office Supplies,PAPR-0501,43,38.50,1655.50,Engineering,L. Petersen,Open
PO-0170,1,REQ-0440,2026-01-30,SUPP-08,Atlantic Steel Co,Raw Materials,POLY-RES,15789,9.20,145258.80,Engineering,R. Tanaka,Open
PO-0171,1,REQ-0404,2026-04-06,SUPP-10,Cornerstone Facilities Group,Facilities,CLEAN-SF,1353,1.40,1894.20,Finance,O. Beaumont,Open
