INV_ID,INV_DATE,PO_ID,SUPPLIER_ID,SUPPLIER_NAME,ITEM_CODE,INV_QTY,INV_UNIT_PRICE,INV_AMOUNT,DUE_DATE,PAYMENT_DATE,PAYMENT_TERMS
INV-0056,2025-12-09,PO-0186,SUPP-14,Redwood Office Products,TONER-77,22,145.00,3190.00,2026-02-07,2026-02-13,Net 60
INV-0057,2025-12-27,PO-0124,SUPP-56,Ironclad Hardware,CABL-2201,119,12.80,1639.06,2026-02-25,2026-03-03,Net 60
INV-0058,2026-04-25,PO-0085,SUPP-56,Ironclad Hardware,CABL-2201,1387,12.80,17753.60,2026-06-24,,Net 60
INV-0059,2025-12-17,PO-0102,SUPP-19,Crestline Network Hardware,SVR-3050,2,1450.00,2900.00,2026-01-16,2026-01-06,Net 30
INV-0060,2026-04-13,PO-0162,SUPP-53,OfficeMax Local,TONER-77,48,145.00,6960.00,2026-05-28,,Net 45
INV-0061,2026-01-30,PO-9061,SUPP-19,Crestline Network Hardware,MISC-0001,141,46.84,6604.44,2026-03-31,,Net 60
INV-0062,2026-04-24,PO-0009,SUPP-53,OfficeMax Local,TONER-77,95,145.00,13775.00,2026-06-23,,Net 60
INV-0063,2026-02-25,PO-0155,SUPP-19,Crestline Network Hardware,MNTR-2701,15,320.00,4800.00,2026-04-11,2026-03-29,Net 45
INV-0064,2025-12-16,PO-0022,SUPP-55,CloudNine Hosting,LAPTOP-X1,7,1180.00,8260.00,2026-01-15,2026-01-22,Net 30
INV-0065,2026-03-04,PO-0352,SUPP-09,Beacon Professional Services,CONS-HR,36,175.00,6300.00,2026-04-18,,Net 45
INV-0066,2025-11-18,PO-0328,SUPP-13,Eagle Mechanical Supply,BELT-V40,78,41.50,3237.00,2026-01-17,2025-12-06,Net 60
INV-0067,2026-03-14,PO-0289,SUPP-17,Sterling Building Services,HVAC-VST,191,425.00,81175.00,2026-04-13,2026-03-23,2/10 Net 30
INV-0068,2025-12-04,PO-0313,SUPP-16,Apex Polymer Group,POLY-RES,359,9.20,3302.80,2026-01-03,2025-12-31,Net 30
INV-0069,2025-12-23,PO-0377,SUPP-05,Summit Office Solutions,PAPR-0501,107,41.87,4480.09,2026-02-21,2026-02-27,Net 60
INV-0070,2026-01-16,PO-0081,SUPP-08,Atlantic Steel Co,ALUM-SQF,561,14.40,8078.40,2026-02-15,2026-02-07,Net 30
INV-0071,2026-02-28,PO-0144,SUPP-10,Cornerstone Facilities Group,HVAC-VST,8,425.00,3400.00,2026-04-14,2026-04-09,Net 45
INV-0072,2025-12-27,PO-0161,SUPP-58,Pioneer Office Direct,PAPR-0501,31,38.50,1193.50,2026-01-26,2026-01-01,2/10 Net 30
INV-0073,2025-12-27,PO-0250,SUPP-05,Summit Office Solutions,CHAIR-EX,305,280.00,85400.00,2026-01-26,2026-01-16,Net 30
INV-0074,2026-03-07,PO-0281,SUPP-18,Riverside Electronic Components,CABL-2201,227,12.80,2905.60,2026-05-06,,Net 60
INV-0075,2026-01-10,PO-0086,SUPP-14,Redwood Office Products,PAPR-0501,1585,38.50,61022.50,2026-03-11,2026-01-27,Net 60
INV-0076,2025-11-27,PO-0002,SUPP-08,Atlantic Steel Co,ALUM-SQF,309,14.40,4449.60,2025-12-27,,Net 30
INV-0077,2026-04-25,PO-0220,SUPP-51,QuickParts Direct,LUBE-5G,674,62.00,41788.00,2026-06-24,,Net 60
INV-0078,2026-01-31,PO-0120,SUPP-14,Redwood Office Products,CHAIR-EX,14,280.00,3920.00,2026-03-17,2026-02-21,Net 45
INV-0079,2026-01-09,PO-0011,SUPP-05,Summit Office Solutions,TONER-77,95,145.00,13775.00,2026-02-08,2026-02-09,Net 30
INV-0080,2026-01-03,PO-0083,SUPP-18,Riverside Electronic Components,CABL-2201,335,12.80,4288.00,2026-02-17,2026-02-22,Net 45
INV-0081,2026-04-25,PO-0306,SUPP-15,Magnolia Consulting LLC,AUDIT-DAY,1,1850.00,1850.00,2026-06-09,,Net 45
INV-0082,2026-02-27,PO-0216,SUPP-20,Vanguard Office Supply Co,PAPR-0501,1295,38.50,50046.54,2026-03-29,2026-03-26,2/10 Net 30
INV-0083,2026-01-18,PO-0246,SUPP-05,Summit Office Solutions,TONER-77,115,145.00,16675.00,2026-03-19,2026-03-14,Net 60
INV-0084,2026-03-04,PO-0237,SUPP-51,QuickParts Direct,LUBE-5G,2,62.00,124.00,2026-05-03,2026-04-13,Net 60
INV-0085,2026-03-01,PO-0249,SUPP-02,Globex Supply Co,RESI-100,19965,0.95,18966.75,2026-04-30,2026-04-21,Net 60
INV-0086,2026-04-21,PO-0346,SUPP-08,Atlantic Steel Co,STEEL-T01,15,720.00,10800.00,2026-05-21,,Net 30
INV-0087,2026-04-02,PO-0189,SUPP-04,Northwind Industrial LLC,CABL-2201,2000,21.00,42000.00,2026-05-02,,Net 30
INV-0088,2026-04-18,PO-0038,SUPP-05,Summit Office Solutions,PAPR-0501,73,38.50,15500.00,2026-05-18,,2/10 Net 30
INV-0089,2026-04-15,PO-0363,SUPP-20,Vanguard Office Supply Co,CHAIR-EX,8,280.00,2240.00,2026-06-14,,Net 60
INV-0090,2026-04-11,PO-0090,SUPP-19,Crestline Network Hardware,RTR-A55,6,485.00,2910.00,2026-05-11,,2/10 Net 30
INV-0091,2026-01-02,PO-0180,SUPP-10,Cornerstone Facilities Group,CLEAN-SF,1794,1.40,2511.60,2026-03-03,2026-01-28,Net 60
INV-0092,2025-12-08,PO-0042,SUPP-53,OfficeMax Local,PAPR-0501,44,38.50,1694.00,2026-02-06,,Net 60
INV-0093,2026-03-02,PO-0193,SUPP-56,Ironclad Hardware,BRKT-1144,5951,23.10,137468.10,2026-04-01,2026-03-21,2/10 Net 30
INV-0094,2026-01-01,PO-0029,SUPP-18,Riverside Electronic Components,BRKT-1144,48,23.10,1108.80,2026-01-31,2026-01-21,Net 30
INV-0095,2025-12-11,PO-0065,SUPP-08,Atlantic Steel Co,STEEL-T01,4,720.00,2880.00,2026-01-25,,Net 45
INV-0096,2025-12-13,PO-0075,SUPP-19,Crestline Network Hardware,SVR-3050,13,1450.00,18850.00,2026-01-12,2026-01-06,2/10 Net 30
INV-0097,2026-02-19,PO-0232,SUPP-03,Pinnacle Filtration LLC,BELT-V40,90,41.50,3735.00,2026-03-21,,Net 30
INV-0098,2025-12-05,PO-0269,SUPP-08,Atlantic Steel Co,ALUM-SQF,1441,14.40,20750.40,2026-02-03,2026-01-03,Net 60
INV-0099,2026-01-22,PO-0357,SUPP-04,Northwind Industrial LLC,BRKT-1144,370,23.10,8547.00,2026-03-08,2026-02-16,Net 45
INV-0100,2025-12-12,PO-0205,SUPP-03,Pinnacle Filtration LLC,LUBE-5G,283,66.10,18706.30,2026-01-11,2026-01-02,2/10 Net 30
INV-0101,2026-02-04,PO-0225,SUPP-51,QuickParts Direct,FILT-0088,382,75.77,28944.14,2026-03-21,2026-03-14,Net 45
INV-0102,2026-04-07,PO-0287,SUPP-08,Atlantic Steel Co,ALUM-SQF,253,15.29,3868.37,2026-06-06,,Net 60
INV-0103,2026-04-04,PO-0234,SUPP-07,Acme Components Inc,FILT-0088,540,46.67,25200.00,2026-05-04,,Net 30
INV-0104,2026-03-23,PO-0234,SUPP-07,Acme Components Inc,FILT-0088,500,87.50,43750.00,2026-05-22,2026-04-21,Net 60
INV-0105,2026-04-25,PO-0181,SUPP-53,OfficeMax Local,CHAIR-EX,128,280.00,35840.00,2026-05-25,,Net 30
INV-0106,2025-12-25,PO-0096,SUPP-04,Northwind Industrial LLC,CABL-2201,2753,12.80,35238.40,2026-02-08,2026-02-09,Net 45
INV-0107,2026-04-25,PO-0241,SUPP-19,Crestline Network Hardware,LAPTOP-X1,2,1180.00,2360.00,2026-05-25,,Net 30
INV-0108,2026-04-25,PO-0178,SUPP-15,Magnolia Consulting LLC,AUDIT-DAY,24,1850.00,44400.00,2026-05-25,,Net 30
INV-0109,2025-12-13,PO-0350,SUPP-09,Beacon Professional Services,CONS-HR,38,175.00,6650.00,2026-01-12,,Net 30
INV-0110,2026-03-06,PO-0348,SUPP-13,Eagle Mechanical Supply,WRNCH-022,478,28.75,13742.50,2026-05-05,2026-04-16,Net 60
INV-0111,2025-11-03,PO-9111,SUPP-06,Heartland Logistics Inc,MISC-0001,42,216.09,9075.78,2025-12-18,,Net 45
INV-0112,2026-01-25,PO-0197,SUPP-14,Redwood Office Products,PAPR-0501,533,38.50,20520.50,2026-03-26,2026-02-24,Net 60
INV-0113,2026-01-30,PO-0058,SUPP-20,Vanguard Office Supply Co,CHAIR-EX,2,291.62,583.24,2026-03-31,2026-03-15,Net 60
INV-0114,2026-01-21,PO-0145,SUPP-04,Northwind Industrial LLC,CABL-2201,179,12.80,2291.20,2026-02-20,2026-02-15,Net 30
INV-0115,2026-01-21,PO-0125,SUPP-54,TempForce Staffing,AUDIT-DAY,7,1850.00,12950.00,2026-03-07,2026-03-01,Net 45
INV-0116,2025-12-27,PO-0321,SUPP-56,Ironclad Hardware,BRKT-1144,100,23.10,2310.00,2026-02-10,2026-01-27,Net 45
INV-0117,2026-03-22,PO-0149,SUPP-18,Riverside Electronic Components,BRKT-1144,196,23.10,4527.60,2026-04-21,2026-04-07,Net 30
INV-0118,2026-01-20,PO-0060,SUPP-09,Beacon Professional Services,LEGAL-HR,80,295.00,23600.00,2026-02-19,2026-02-15,Net 30
INV-0119,2026-03-12,PO-0214,SUPP-08,Atlantic Steel Co,POLY-RES,52,9.20,478.40,2026-05-11,,Net 60
INV-0120,2026-03-04,PO-0194,SUPP-06,Heartland Logistics Inc,EXPED-HR,31,110.00,3410.00,2026-04-03,2026-03-30,2/10 Net 30
INV-0121,2026-04-14,PO-0189,SUPP-04,Northwind Industrial LLC,CABL-2201,2000,14.20,28400.00,2026-05-14,,2/10 Net 30
INV-0122,2026-04-25,PO-0030,SUPP-18,Riverside Electronic Components,RESI-100,5560,0.85,4726.00,2026-05-25,,Net 30
INV-0123,2025-12-25,PO-0292,SUPP-16,Apex Polymer Group,ALUM-SQF,220,15.49,3407.80,2026-02-08,2026-02-03,Net 45
INV-0124,2026-02-27,PO-0248,SUPP-04,Northwind Industrial LLC,CHIP-A12,1117,19.57,21859.69,2026-04-28,2026-03-25,Net 60
INV-0125,2026-01-12,PO-0185,SUPP-02,Globex Supply Co,RESI-100,929,0.85,789.65,2026-02-11,2026-01-29,2/10 Net 30
INV-0126,2025-12-10,PO-0276,SUPP-56,Ironclad Hardware,CABL-2201,1020,12.80,13056.00,2026-01-09,2026-01-01,2/10 Net 30
INV-0127,2026-04-17,PO-0068,SUPP-14,Redwood Office Products,CHAIR-EX,221,280.00,7600.00,2026-05-17,,2/10 Net 30
INV-0128,2026-04-25,PO-0072,SUPP-12,Liberty IT Hardware Corp,SVR-3050,9,1450.00,13050.00,2026-06-24,,Net 60
INV-0129,2026-01-15,PO-0028,SUPP-08,Atlantic Steel Co,STEEL-T01,9,720.00,6480.00,2026-02-14,2026-02-01,2/10 Net 30
INV-0130,2026-03-13,PO-0261,SUPP-58,Pioneer Office Direct,PAPR-0501,518,38.50,19943.00,2026-04-12,2026-04-01,Net 30
INV-0131,2025-11-22,PO-0266,SUPP-15,Magnolia Consulting LLC,CONS-HR,818,175.00,143150.00,2026-01-06,2026-01-03,Net 45
INV-0132,2025-11-20,PO-0016,SUPP-10,Cornerstone Facilities Group,HVAC-VST,7,425.00,2975.00,2026-01-04,2025-12-21,Net 45
INV-0133,2026-04-01,PO-0196,SUPP-12,Liberty IT Hardware Corp,LAPTOP-X1,12,1180.00,14160.00,2026-05-16,,Net 45
INV-0134,2026-04-06,PO-0152,SUPP-13,Eagle Mechanical Supply,FILT-0088,7,92.09,644.63,2026-05-21,,Net 45
INV-0135,2026-04-11,PO-0222,SUPP-07,Acme Components Inc,FILT-0088,51,84.00,4284.00,2026-06-10,,Net 60
INV-0136,2026-01-02,PO-0284,SUPP-11,Patriot Freight Lines,FRGHT-MIL,559,4.85,2711.15,2026-03-03,,Net 60
INV-0137,2026-03-23,PO-0017,SUPP-03,Pinnacle Filtration LLC,FILT-0088,95,84.00,7980.00,2026-04-22,2026-04-14,Net 30
INV-0138,2026-04-20,PO-0077,SUPP-12,Liberty IT Hardware Corp,MNTR-2701,4,320.00,1280.00,2026-05-20,,2/10 Net 30
INV-0139,2026-03-04,PO-0129,SUPP-19,Crestline Network Hardware,LAPTOP-X1,1,1180.00,1180.00,2026-04-03,2026-04-01,Net 30
INV-0140,2025-12-08,PO-0053,SUPP-01,Cascade Cable Systems,RTR-A55,20,485.00,9700.00,2026-01-22,2026-01-14,Net 45
INV-0141,2026-03-28,PO-0301,SUPP-02,Globex Supply Co,BRKT-1144,841,22.00,18500.00,2026-04-27,,Net 30
INV-0142,2026-03-29,PO-0119,SUPP-51,QuickParts Direct,WRNCH-022,579,28.75,16646.25,2026-05-13,2026-04-22,Net 45
INV-0143,2026-04-21,PO-0359,SUPP-01,Cascade Cable Systems,MNTR-2701,34,320.00,10880.00,2026-05-21,,2/10 Net 30
INV-0144,2025-12-20,PO-0018,SUPP-13,Eagle Mechanical Supply,BELT-V40,383,41.50,15894.50,2026-01-19,,Net 30
INV-0145,2026-04-17,PO-0325,SUPP-08,Atlantic Steel Co,STEEL-T01,5,720.00,3600.00,2026-05-17,,2/10 Net 30
INV-0146,2026-03-25,PO-0224,SUPP-52,FastShip Express LLC,FRGHT-MIL,106,4.85,514.10,2026-04-24,,2/10 Net 30
INV-0147,2025-12-24,PO-0004,SUPP-09,Beacon Professional Services,AUDIT-DAY,7,1950.92,13656.44,2026-02-22,2026-02-14,Net 60
INV-0148,2026-01-10,PO-0206,SUPP-53,OfficeMax Local,PAPR-0501,63,38.50,2425.50,2026-03-11,,Net 60
INV-0149,2025-11-16,PO-0184,SUPP-51,QuickParts Direct,WRNCH-022,1055,28.75,30331.25,2025-12-31,,Net 45
INV-0150,2026-02-11,PO-0353,SUPP-14,Redwood Office Products,CHAIR-EX,24,280.00,6720.00,2026-03-28,2026-03-19,Net 45
INV-0151,2026-04-01,PO-0247,SUPP-09,Beacon Professional Services,LEGAL-HR,7,295.00,2065.00,2026-05-01,,2/10 Net 30
INV-0152,2026-04-06,PO-0302,SUPP-18,Riverside Electronic Components,CABL-2201,228,12.80,2918.40,2026-06-05,,Net 60
INV-0153,2025-12-24,PO-0092,SUPP-12,Liberty IT Hardware Corp,RTR-A55,25,485.00,12125.00,2026-01-23,,Net 30
INV-0154,2026-04-25,PO-0156,SUPP-52,FastShip Express LLC,EXPED-HR,40,110.00,4400.00,2026-05-25,,Net 30
INV-0155,2026-02-13,PO-0203,SUPP-13,Eagle Mechanical Supply,FILT-0088,5,90.00,450.00,2026-04-14,2026-03-29,Net 60
INV-0156,2026-04-25,PO-0171,SUPP-10,Cornerstone Facilities Group,CLEAN-SF,1353,1.40,1894.20,2026-06-09,,Net 45
INV-0157,2026-03-21,PO-0207,SUPP-03,Pinnacle Filtration LLC,WRNCH-022,3276,28.75,94185.00,2026-05-20,2026-04-07,Net 60
INV-0158,2026-01-25,PO-0133,SUPP-55,CloudNine Hosting,SVR-3050,1,1450.00,1450.00,2026-03-26,,Net 60
INV-0159,2026-04-11,PO-0311,SUPP-58,Pioneer Office Direct,PAPR-0501,266,38.50,10241.00,2026-06-10,,Net 60
INV-0160,2025-12-01,PO-0333,SUPP-08,Atlantic Steel Co,POLY-RES,2619,9.20,24094.80,2026-01-30,2026-02-09,Net 60
INV-0161,2026-02-17,PO-0373,SUPP-14,Redwood Office Products,PAPR-0501,173,38.50,6660.50,2026-04-18,2026-04-24,Net 60
INV-0162,2026-02-24,PO-0089,SUPP-19,Crestline Network Hardware,MNTR-2701,10,320.00,3200.00,2026-04-25,2026-04-18,Net 60
INV-0163,2025-12-09,PO-0275,SUPP-12,Liberty IT Hardware Corp,SVR-3050,2,1450.00,2900.00,2026-01-08,2025-12-29,Net 30
INV-0164,2026-04-01,PO-0367,SUPP-01,Cascade Cable Systems,MNTR-2701,54,320.00,17280.00,2026-05-16,,Net 45
INV-0165,2026-01-10,PO-0157,SUPP-20,Vanguard Office Supply Co,TONER-77,52,145.00,7540.00,2026-02-24,,Net 45
INV-0166,2026-03-10,PO-0314,SUPP-06,Heartland Logistics Inc,EXPED-HR,21,125.45,2634.45,2026-05-09,,Net 60
INV-0167,2026-03-27,PO-0351,SUPP-07,Acme Components Inc,WRNCH-022,264,28.75,7590.00,2026-04-26,,Net 30
