GR_ID,PO_ID,GR_DATE,SUPPLIER_ID,SUPPLIER_NAME,ITEM_CODE,PO_QTY,GR_QTY,QUALITY_ACCEPTED
GR-0090,PO-0128,2026-03-14,SUPP-09,Beacon Professional Services,AUDIT-DAY,1,1,Yes
GR-0091,PO-0129,2026-02-25,SUPP-19,Crestline Network Hardware,LAPTOP-X1,1,1,Yes
GR-0092,PO-0133,2026-01-16,SUPP-55,CloudNine Hosting,SVR-3050,1,1,Yes
GR-0093,PO-0134,2026-01-23,SUPP-19,Crestline Network Hardware,MNTR-2701,8,8,Yes
GR-0094,PO-0135,2025-12-12,SUPP-06,Heartland Logistics Inc,FRGHT-MIL,4967,4544,Yes
GR-0095,PO-0136,2026-03-27,SUPP-13,Eagle Mechanical Supply,WRNCH-022,13,13,Yes
GR-0096,PO-0137,2026-04-04,SUPP-06,Heartland Logistics Inc,FRGHT-MIL,18516,18516,Yes
GR-0097,PO-0138,2025-11-19,SUPP-12,Liberty IT Hardware Corp,MNTR-2701,4,4,Yes
GR-0098,PO-0140,2026-02-09,SUPP-14,Redwood Office Products,PAPR-0501,260,260,Yes
GR-0099,PO-0142,2026-03-22,SUPP-57,Bay Area Couriers,FRGHT-MIL,375,375,Yes
GR-0100,PO-0143,2026-03-28,SUPP-19,Crestline Network Hardware,MNTR-2701,5,5,Yes
GR-0101,PO-0144,2026-02-18,SUPP-10,Cornerstone Facilities Group,HVAC-VST,3,3,Yes
GR-0102,PO-0145,2026-01-19,SUPP-04,Northwind Industrial LLC,CABL-2201,179,179,Yes
GR-0103,PO-0146,2026-04-25,SUPP-55,CloudNine Hosting,SVR-3050,3,3,Yes
GR-0104,PO-0147,2026-02-12,SUPP-14,Redwood Office Products,CHAIR-EX,24,24,Yes
GR-0105,PO-0149,2026-03-17,SUPP-18,Riverside Electronic Components,BRKT-1144,196,196,Yes
GR-0106,PO-0150,2026-03-12,SUPP-06,Heartland Logistics Inc,EXPED-HR,724,724,No
GR-0107,PO-0152,2026-04-12,SUPP-13,Eagle Mechanical Supply,FILT-0088,7,7,Yes
GR-0108,PO-0153,2026-01-22,SUPP-13,Eagle Mechanical Supply,LUBE-5G,344,344,Yes
GR-0109,PO-0154,2026-03-04,SUPP-56,Ironclad Hardware,RESI-100,951,951,Yes
GR-0110,PO-0155,2026-03-03,SUPP-19,Crestline Network Hardware,MNTR-2701,15,15,Yes
GR-0111,PO-0156,2026-04-25,SUPP-52,FastShip Express LLC,EXPED-HR,40,40,Yes
GR-0112,PO-0157,2026-01-23,SUPP-20,Vanguard Office Supply Co,TONER-77,52,52,No
GR-0113,PO-0158,2025-11-06,SUPP-15,Magnolia Consulting LLC,AUDIT-DAY,7,7,Yes
GR-0114,PO-0159,2025-12-03,SUPP-16,Apex Polymer Group,STEEL-T01,6,6,Yes
GR-0115,PO-0160,2026-01-11,SUPP-06,Heartland Logistics Inc,FRGHT-MIL,500,500,Yes
GR-0116,PO-0161,2025-12-24,SUPP-58,Pioneer Office Direct,PAPR-0501,31,31,Yes
GR-0117,PO-0162,2026-04-22,SUPP-53,OfficeMax Local,TONER-77,67,48,Yes
GR-0118,PO-0163,2026-03-14,SUPP-10,Cornerstone Facilities Group,CLEAN-SF,8283,8283,Yes
GR-0119,PO-0165,2025-12-02,SUPP-04,Northwind Industrial LLC,RESI-100,5003,5003,Yes
GR-0120,PO-0168,2025-11-30,SUPP-18,Riverside Electronic Components,BRKT-1144,7943,7943,Yes
GR-0121,PO-0169,2025-12-13,SUPP-14,Redwood Office Products,PAPR-0501,43,43,Yes
GR-0122,PO-0170,2026-02-11,SUPP-08,Atlantic Steel Co,POLY-RES,15789,11721,Yes
GR-0123,PO-0171,2026-04-25,SUPP-10,Cornerstone Facilities Group,CLEAN-SF,1353,1353,Yes
GR-0124,PO-0174,2026-02-22,SUPP-51,QuickParts Direct,BELT-V40,78,78,Yes
GR-0125,PO-0175,2026-04-25,SUPP-13,Eagle Mechanical Supply,FILT-0088,24,24,Yes
GR-0126,PO-0176,2026-04-24,SUPP-09,Beacon Professional Services,AUDIT-DAY,2,2,Yes
GR-0127,PO-0178,2026-04-23,SUPP-15,Magnolia Consulting LLC,AUDIT-DAY,24,24,Yes
GR-0128,PO-0179,2025-12-20,SUPP-12,Liberty IT Hardware Corp,LAPTOP-X1,9,9,No
GR-0129,PO-0180,2025-12-28,SUPP-10,Cornerstone Facilities Group,CLEAN-SF,1794,1794,Yes
GR-0130,PO-0181,2026-04-25,SUPP-53,OfficeMax Local,CHAIR-EX,128,128,Yes
GR-0131,PO-0184,2025-12-01,SUPP-51,QuickParts Direct,WRNCH-022,1439,1055,Yes
GR-0132,PO-0185,2026-01-03,SUPP-02,Globex Supply Co,RESI-100,845,845,Yes
GR-0133,PO-0186,2025-12-01,SUPP-14,Redwood Office Products,TONER-77,22,22,Yes
GR-0134,PO-0187,2025-11-17,SUPP-02,Globex Supply Co,BRKT-1144,2366,2079,Yes
GR-0135,PO-0188,2026-04-25,SUPP-18,Riverside Electronic Components,RESI-100,26734,24450,Yes
GR-0136,PO-0189,2026-03-20,SUPP-04,Northwind Industrial LLC,CABL-2201,2000,2000,Yes
GR-0137,PO-0193,2026-02-13,SUPP-56,Ironclad Hardware,BRKT-1144,5951,5951,Yes
GR-0138,PO-0194,2026-03-05,SUPP-06,Heartland Logistics Inc,EXPED-HR,31,31,Yes
GR-0139,PO-0196,2026-04-08,SUPP-12,Liberty IT Hardware Corp,LAPTOP-X1,12,12,Yes
GR-0140,PO-0197,2026-01-16,SUPP-14,Redwood Office Products,PAPR-0501,533,533,Yes
GR-0141,PO-0199,2025-11-28,SUPP-52,FastShip Express LLC,EXPED-HR,143,162,Yes
GR-0142,PO-0201,2026-01-17,SUPP-02,Globex Supply Co,CABL-2201,1901,1901,Yes
GR-0143,PO-0202,2026-04-13,SUPP-14,Redwood Office Products,PAPR-0501,600,600,Yes
GR-0144,PO-0203,2026-02-09,SUPP-13,Eagle Mechanical Supply,FILT-0088,5,5,Yes
GR-0145,PO-0204,2026-02-18,SUPP-56,Ironclad Hardware,RESI-100,9599,9599,Yes
GR-0146,PO-0205,2025-12-31,SUPP-03,Pinnacle Filtration LLC,LUBE-5G,283,283,Yes
GR-0147,PO-0206,2026-01-23,SUPP-53,OfficeMax Local,PAPR-0501,63,63,Yes
GR-0148,PO-0207,2026-03-04,SUPP-03,Pinnacle Filtration LLC,WRNCH-022,3276,3276,Yes
GR-0149,PO-0208,2026-03-15,SUPP-08,Atlantic Steel Co,ALUM-SQF,1627,1627,Yes
GR-0150,PO-0209,2026-02-10,SUPP-10,Cornerstone Facilities Group,HVAC-VST,23,23,Yes
GR-0151,PO-0211,2026-04-16,SUPP-01,Cascade Cable Systems,SVR-3050,45,45,Yes
GR-0152,PO-0212,2026-04-25,SUPP-51,QuickParts Direct,BELT-V40,445,372,Yes
GR-0153,PO-0213,2026-02-28,SUPP-10,Cornerstone Facilities Group,CLEAN-SF,1255,1255,Yes
GR-0154,PO-0214,2026-03-15,SUPP-08,Atlantic Steel Co,POLY-RES,52,52,Yes
GR-0155,PO-0216,2026-02-09,SUPP-20,Vanguard Office Supply Co,PAPR-0501,1295,1295,Yes
GR-0156,PO-0217,2025-11-06,SUPP-03,Pinnacle Filtration LLC,LUBE-5G,77,82,Yes
GR-0157,PO-0218,2025-11-24,SUPP-05,Summit Office Solutions,CHAIR-EX,87,87,Yes
GR-0158,PO-0222,2026-04-25,SUPP-07,Acme Components Inc,FILT-0088,51,51,Yes
GR-0159,PO-0224,2025-12-29,SUPP-52,FastShip Express LLC,FRGHT-MIL,106,106,Yes
GR-0160,PO-0225,2026-01-27,SUPP-51,QuickParts Direct,FILT-0088,449,382,Yes
GR-0161,PO-0226,2026-01-23,SUPP-07,Acme Components Inc,FILT-0088,945,945,Yes
GR-0162,PO-0227,2026-04-07,SUPP-05,Summit Office Solutions,PAPR-0501,517,368,Yes
GR-0163,PO-0228,2026-04-25,SUPP-12,Liberty IT Hardware Corp,LAPTOP-X1,48,43,Yes
GR-0164,PO-0230,2025-11-25,SUPP-56,Ironclad Hardware,BRKT-1144,125,110,Yes
GR-0165,PO-0231,2025-11-29,SUPP-07,Acme Components Inc,WRNCH-022,115,115,Yes
GR-0166,PO-0232,2026-03-01,SUPP-03,Pinnacle Filtration LLC,BELT-V40,90,90,Yes
GR-0167,PO-0233,2025-12-07,SUPP-07,Acme Components Inc,LUBE-5G,33,27,Yes
GR-0168,PO-0234,2026-03-29,SUPP-07,Acme Components Inc,FILT-0088,500,500,Yes
GR-0169,PO-0237,2026-03-10,SUPP-51,QuickParts Direct,LUBE-5G,3,2,Yes
GR-0170,PO-0239,2026-04-05,SUPP-02,Globex Supply Co,RESI-100,2254,2254,Yes
GR-0171,PO-0240,2025-12-08,SUPP-15,Magnolia Consulting LLC,CONS-HR,132,132,Yes
GR-0172,PO-0241,2026-04-25,SUPP-19,Crestline Network Hardware,LAPTOP-X1,2,2,Yes
GR-0173,PO-0243,2026-03-22,SUPP-08,Atlantic Steel Co,POLY-RES,412,412,Yes
GR-0174,PO-0244,2025-12-06,SUPP-13,Eagle Mechanical Supply,BELT-V40,268,228,Yes
GR-0175,PO-0246,2026-02-06,SUPP-05,Summit Office Solutions,TONER-77,115,115,Yes
GR-0176,PO-0247,2026-02-11,SUPP-09,Beacon Professional Services,LEGAL-HR,9,7,Yes
GR-0177,PO-0248,2026-02-21,SUPP-04,Northwind Industrial LLC,CHIP-A12,1117,1117,Yes
GR-0178,PO-0249,2026-03-13,SUPP-02,Globex Supply Co,RESI-100,19965,19965,Yes
GR-0179,PO-0250,2026-01-10,SUPP-05,Summit Office Solutions,CHAIR-EX,305,305,Yes
GR-0180,PO-0252,2026-04-25,SUPP-52,FastShip Express LLC,EXPED-HR,211,211,Yes
GR-0181,PO-0253,2026-01-29,SUPP-01,Cascade Cable Systems,SVR-3050,4,4,No
GR-0182,PO-0254,2025-12-24,SUPP-09,Beacon Professional Services,CONS-HR,497,497,Yes
GR-0183,PO-0255,2025-11-28,SUPP-16,Apex Polymer Group,POLY-RES,235,235,Yes
GR-0184,PO-0256,2026-04-25,SUPP-11,Patriot Freight Lines,EXPED-HR,7,7,Yes
GR-0185,PO-0258,2026-03-11,SUPP-16,Apex Polymer Group,POLY-RES,4973,4973,Yes
GR-0186,PO-0259,2025-12-23,SUPP-57,Bay Area Couriers,EXPED-HR,212,242,Yes
GR-0187,PO-0261,2026-03-02,SUPP-58,Pioneer Office Direct,PAPR-0501,518,518,Yes
GR-0188,PO-0262,2026-01-13,SUPP-51,QuickParts Direct,BELT-V40,54,54,Yes
GR-0189,PO-0263,2026-02-06,SUPP-15,Magnolia Consulting LLC,AUDIT-DAY,2,2,Yes
GR-0190,PO-0264,2026-03-03,SUPP-52,FastShip Express LLC,FRGHT-MIL,14721,14721,Yes
GR-0191,PO-0265,2026-01-29,SUPP-18,Riverside Electronic Components,CABL-2201,2791,2791,Yes
GR-0192,PO-0266,2025-11-10,SUPP-15,Magnolia Consulting LLC,CONS-HR,1142,818,Yes
GR-0193,PO-0268,2025-12-04,SUPP-11,Patriot Freight Lines,EXPED-HR,6,6,Yes
GR-0194,PO-0269,2025-11-24,SUPP-08,Atlantic Steel Co,ALUM-SQF,1441,1441,Yes
GR-0195,PO-0271,2026-03-08,SUPP-52,FastShip Express LLC,FRGHT-MIL,532,401,Yes
GR-0196,PO-0275,2025-11-30,SUPP-12,Liberty IT Hardware Corp,SVR-3050,2,2,Yes
GR-0197,PO-0276,2025-11-21,SUPP-56,Ironclad Hardware,CABL-2201,1020,1020,Yes
GR-0198,PO-0277,2026-04-25,SUPP-17,Sterling Building Services,HVAC-VST,2,2,Yes
GR-0199,PO-0278,2026-01-16,SUPP-08,Atlantic Steel Co,ALUM-SQF,679,679,Yes
GR-0200,PO-0279,2026-03-11,SUPP-04,Northwind Industrial LLC,BRKT-1144,603,603,Yes
GR-0201,PO-0280,2025-12-25,SUPP-03,Pinnacle Filtration LLC,FILT-0088,687,525,Yes
GR-0202,PO-0281,2026-02-22,SUPP-18,Riverside Electronic Components,CABL-2201,227,227,Yes
GR-0203,PO-0282,2026-03-11,SUPP-20,Vanguard Office Supply Co,PAPR-0501,38,38,Yes
GR-0204,PO-0284,2025-12-28,SUPP-11,Patriot Freight Lines,FRGHT-MIL,559,559,No
GR-0205,PO-0285,2026-02-10,SUPP-07,Acme Components Inc,WRNCH-022,801,801,No
GR-0206,PO-0286,2026-03-19,SUPP-17,Sterling Building Services,HVAC-VST,55,55,Yes
GR-0207,PO-0287,2026-04-25,SUPP-08,Atlantic Steel Co,ALUM-SQF,253,253,No
GR-0208,PO-0289,2026-03-14,SUPP-17,Sterling Building Services,HVAC-VST,174,174,Yes
GR-0209,PO-0292,2025-12-20,SUPP-16,Apex Polymer Group,ALUM-SQF,244,220,Yes
GR-0210,PO-0293,2026-02-06,SUPP-02,Globex Supply Co,BRKT-1144,61,61,No
GR-0211,PO-0294,2025-12-01,SUPP-08,Atlantic Steel Co,POLY-RES,30036,30036,Yes
GR-0212,PO-0295,2026-03-22,SUPP-18,Riverside Electronic Components,RESI-100,1749,1969,Yes
GR-0213,PO-0299,2026-01-03,SUPP-53,OfficeMax Local,CHAIR-EX,6,6,Yes
GR-0214,PO-0300,2026-04-19,SUPP-14,Redwood Office Products,PAPR-0501,368,368,Yes
GR-0215,PO-0302,2026-03-29,SUPP-18,Riverside Electronic Components,CABL-2201,208,208,Yes
GR-0216,PO-0304,2026-03-10,SUPP-06,Heartland Logistics Inc,EXPED-HR,463,463,No
GR-0217,PO-0306,2026-04-25,SUPP-15,Magnolia Consulting LLC,AUDIT-DAY,1,1,Yes
GR-0218,PO-0307,2026-03-31,SUPP-12,Liberty IT Hardware Corp,RTR-A55,33,33,Yes
GR-0219,PO-0308,2026-02-18,SUPP-09,Beacon Professional Services,AUDIT-DAY,7,7,Yes
GR-0220,PO-0311,2026-04-11,SUPP-58,Pioneer Office Direct,PAPR-0501,266,266,Yes
GR-0221,PO-0313,2025-11-21,SUPP-16,Apex Polymer Group,POLY-RES,359,359,Yes
GR-0222,PO-0314,2026-03-17,SUPP-06,Heartland Logistics Inc,EXPED-HR,21,21,Yes
GR-0223,PO-0315,2026-04-25,SUPP-51,QuickParts Direct,WRNCH-022,40,40,Yes
GR-0224,PO-0317,2026-01-07,SUPP-12,Liberty IT Hardware Corp,SVR-3050,1,1,Yes
GR-0225,PO-0320,2026-04-11,SUPP-03,Pinnacle Filtration LLC,FILT-0088,3646,2778,Yes
GR-0226,PO-0321,2025-12-26,SUPP-56,Ironclad Hardware,BRKT-1144,100,100,Yes
GR-0227,PO-0322,2026-02-14,SUPP-14,Redwood Office Products,PAPR-0501,81,81,Yes
GR-0228,PO-0324,2025-11-14,SUPP-16,Apex Polymer Group,ALUM-SQF,88,99,Yes
GR-0229,PO-0325,2026-04-08,SUPP-08,Atlantic Steel Co,STEEL-T01,5,5,Yes
GR-0230,PO-0327,2026-04-25,SUPP-10,Cornerstone Facilities Group,HVAC-VST,46,46,Yes
GR-0231,PO-0328,2025-11-23,SUPP-13,Eagle Mechanical Supply,BELT-V40,105,78,Yes
GR-0232,PO-0330,2026-01-23,SUPP-08,Atlantic Steel Co,POLY-RES,474,434,Yes
GR-0233,PO-0332,2026-03-12,SUPP-09,Beacon Professional Services,LEGAL-HR,82,82,Yes
GR-0234,PO-0333,2025-11-13,SUPP-08,Atlantic Steel Co,POLY-RES,2619,2619,Yes
GR-0235,PO-0334,2026-04-25,SUPP-05,Summit Office Solutions,TONER-77,14,14,Yes
GR-0236,PO-0335,2026-04-25,SUPP-03,Pinnacle Filtration LLC,WRNCH-022,545,442,Yes
GR-0237,PO-0338,2025-12-17,SUPP-15,Magnolia Consulting LLC,LEGAL-HR,1,1,Yes
GR-0238,PO-0339,2026-04-13,SUPP-02,Globex Supply Co,CABL-2201,1666,1666,Yes
GR-0239,PO-0341,2026-02-08,SUPP-07,Acme Components Inc,WRNCH-022,41,41,No
GR-0240,PO-0342,2026-02-02,SUPP-09,Beacon Professional Services,LEGAL-HR,55,55,Yes
GR-0241,PO-0344,2026-03-05,SUPP-06,Heartland Logistics Inc,EXPED-HR,136,136,Yes
GR-0242,PO-0345,2026-02-01,SUPP-02,Globex Supply Co,CABL-2201,530,530,No
GR-0243,PO-0346,2026-04-19,SUPP-08,Atlantic Steel Co,STEEL-T01,21,15,Yes
GR-0244,PO-0348,2026-03-09,SUPP-13,Eagle Mechanical Supply,WRNCH-022,478,478,No
GR-0245,PO-0350,2025-11-24,SUPP-09,Beacon Professional Services,CONS-HR,44,38,Yes
GR-0246,PO-0351,2026-03-26,SUPP-07,Acme Components Inc,WRNCH-022,264,264,Yes
GR-0247,PO-0352,2026-02-19,SUPP-09,Beacon Professional Services,CONS-HR,36,36,Yes
GR-0248,PO-0353,2026-02-26,SUPP-14,Redwood Office Products,CHAIR-EX,24,24,No
GR-0249,PO-0354,2025-12-25,SUPP-10,Cornerstone Facilities Group,CLEAN-SF,12705,12705,Yes
GR-0250,PO-0355,2026-01-14,SUPP-08,Atlantic Steel Co,STEEL-T01,17,17,Yes
GR-0251,PO-0356,2026-04-25,SUPP-08,Atlantic Steel Co,POLY-RES,1820,1820,Yes
GR-0252,PO-0357,2026-01-30,SUPP-04,Northwind Industrial LLC,BRKT-1144,370,370,Yes
GR-0253,PO-0358,2025-12-29,SUPP-07,Acme Components Inc,WRNCH-022,355,382,Yes
GR-0254,PO-0359,2026-02-12,SUPP-01,Cascade Cable Systems,MNTR-2701,34,34,Yes
GR-0255,PO-0361,2025-11-21,SUPP-01,Cascade Cable Systems,SVR-3050,5,4,Yes
GR-0256,PO-0362,2026-02-09,SUPP-08,Atlantic Steel Co,POLY-RES,1038,770,Yes
GR-0257,PO-0363,2026-04-05,SUPP-20,Vanguard Office Supply Co,CHAIR-EX,8,8,Yes
GR-0258,PO-0364,2025-11-27,SUPP-01,Cascade Cable Systems,MNTR-2701,16,15,Yes
GR-0259,PO-0365,2025-11-08,SUPP-06,Heartland Logistics Inc,EXPED-HR,61,61,Yes
